WID,Medalist,🏆 Platinum,🥇🥇 Double Gold,🥇 Gold,🥈 Silver,🥉 Bronze,👍 Judges' Pick,Total,First,Last,Years,City,Region,Country,Status,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd,Latitude,Longitude
244,Dragon's Head Cider,1,2,4,2,1,2,12,2017,2022,4,Vashon,Washington,USA,Active,http://www.dragonsheadcider.com/,,https://www.instagram.com/dragonsheadcider/,https://maps.google.com/?cid=2526574753760904159,https://www.yelp.com/biz/dragons-head-cider-vashon,,https://untappd.com/w/dragons-head-cider/36168,47.441428,-122.473876
387,Liberty Ciderworks,0,2,1,2,1,6,12,2017,2022,4,Spokane,Washington,USA,Active,http://libertycider.com/,https://www.facebook.com/LibertyCider,https://www.instagram.com/libertycider/,https://maps.google.com/?cid=14868081944798289423,https://www.yelp.com/biz/liberty-ciderworks-spokane-3,https://www.tripadvisor.com/Restaurant_Review-g58759-d17373965,https://untappd.com/w/liberty-ciderworks/106336,47.655356,-117.418438
165,Brooklyn Cider House,2,1,2,2,1,3,11,2018,2024,3,New Paltz,New York,USA,Active,http://brooklynciderhouse.com/,,https://www.instagram.com/brooklynciderhouse/,https://maps.google.com/?cid=3244654366527486527,,,https://untappd.com/w/brooklyn-cider-house/234267,41.757256,-74.04958
908,Union Hill Cider Company,1,2,2,2,0,4,11,2019,2024,5,East Wenatchee,Washington,USA,Active,https://www.unionhillciderco.com/,https://www.facebook.com/UnionHillCiderCo/,https://www.instagram.com/unionhillciderco/,https://maps.google.com/?cid=15999164221517255413,https://www.yelp.com/biz/union-hill-cider-east-wenatchee,,https://untappd.com/UnionHillCiderCo,47.3880763,-120.2207316
1084,19 Acres Cider Co.,0,4,2,1,0,4,11,2023,2024,2,Sherwood,Oregon,USA,Active,https://19acres.com/,https://www.facebook.com/19AcresCiderCo/,https://www.instagram.com/19acresciderco/,https://maps.google.com/?cid=4476171369322689525,https://www.yelp.com/biz/19-acres-cider-co-sherwood,https://www.tripadvisor.com/Restaurant_Review-g52068-d25236157,https://untappd.com/19AcresHardCider,45.3886798,-122.9315471
550,Schilling Cider,3,5,1,0,0,1,10,2022,2024,3,Auburn,Washington,USA,Active,https://schillingcider.com/,https://www.facebook.com/SchillingCider/,https://www.instagram.com/schillingcider/,https://maps.google.com/?cid=12281308087911884522,,,https://untappd.com/w/schilling-cider/62413,47.347243,-122.233995
294,Glacial Till Vineyard & Winery,2,3,2,0,0,3,10,2020,2023,3,Ashland,Nebraska,USA,Active,http://www.glacialtillvineyard.com/,https://www.facebook.com/glacialtillvineyard,https://www.instagram.com/glacialtillvineyard/,https://maps.google.com/?cid=185099829414435279,https://www.yelp.com/biz/glacial-till-tasting-room-ashland,https://www.tripadvisor.com/Attraction_Review-g29709-d5832186,https://untappd.com/w/glacial-till-vineyard-and-winery/223758,41.038896,-96.368951
415,Meriwether Cider Company,1,3,4,1,0,1,10,2019,2024,5,Garden City,Idaho,USA,Active,https://www.meriwethercider.com/,https://www.facebook.com/meriwethercider,https://www.instagram.com/meriwethercider/,https://maps.google.com/?cid=7830741432069672416,https://www.yelp.com/biz/meriwether-cider-company-garden-city-2,https://www.tripadvisor.com/Attraction_Review-g35459-d10034505,https://untappd.com/w/meriwether-cider-company/222316,43.645176,-116.271227
530,Rootwood Cider Co.,2,1,3,0,1,2,9,2018,2024,5,Manson,Washington,USA,Active,http://www.rootwoodcider.com/,https://www.facebook.com/rootwoodciderco/,https://www.instagram.com/rootwoodcider/,https://maps.google.com/?cid=1905642347995959494,https://www.yelp.com/biz/rootwood-cider-taproom-manson,https://www.tripadvisor.com/Attraction_Review-g58587-d10522833,https://untappd.com/w/rootwood-cider-co/223706,47.88489,-120.159129
255,Eden Ciders,0,3,2,1,1,2,9,2017,2024,5,Newport,Vermont,USA,Active,https://www.edenciders.com/,https://facebook.com/edenspecialtyciders,https://www.instagram.com/edenciders/,https://maps.google.com/?cid=1133141626652589768,https://www.yelp.com/biz/northeast-kingdom-tasting-center-newport,https://www.tripadvisor.com/Restaurant_Review-g57335-d4675348,https://untappd.com/w/eden-specialty-ciders/13108,44.935976,-72.209246
155,Botanist & Barrel,1,2,0,3,0,2,8,2020,2024,4,Cedar Grove,North Carolina,USA,Active,https://www.botanistandbarrel.com/,,https://www.instagram.com/botanistandbarrel/,https://maps.google.com/?cid=1902463006194094884,https://www.yelp.com/biz/botanist-and-barrel-cedar-grove,https://www.tripadvisor.com/Attraction_Review-g49015-d13544284,https://untappd.com/w/botanist-barrel/356633,36.216856,-79.179325
303,Gowan's Heirloom Ciders,1,1,2,1,1,2,8,2017,2020,3,Philo,California,USA,Active,http://www.gowansheirloomcider.com/,https://www.facebook.com/gowanscider/,https://www.instagram.com/gowanscider/,https://maps.google.com/?cid=14585432541984297394,https://www.yelp.com/biz/gowan-s-cider-philo,https://www.tripadvisor.com/Attraction_Review-g32878-d23631277,https://untappd.com/w/gowans-hard-cider/200818,39.0869042,-123.4751758
1887,Offset Ciderworks,0,0,2,0,0,6,8,2020,2024,3,Seattle,Washington,USA,Active,https://shopoffsetciderworks.com/,https://www.facebook.com/offsetciderworks/,https://www.instagram.com/offsetciderworks/,,,,https://untappd.com/w/offset-ciderworks/502452,47.8028091,-122.3228434
133,Black Apple Hard Cider,2,3,1,0,0,1,7,2020,2024,3,Springdale,Arkansas,USA,Active,https://www.blackapplehardcider.com/,https://www.facebook.com/blackapplecrossing/,https://www.instagram.com/blackapplehardcider/,https://maps.google.com/?cid=5449257929643515916,https://www.yelp.com/biz/black-apple-crossing-springdale,https://www.tripadvisor.com/Attraction_Review-g31931-d8814858,https://untappd.com/w/black-apple-crossing/211057,36.18487,-94.127403
185,Castle Hill Cider,2,3,1,0,0,1,7,2018,2023,5,Keswick,Virginia,USA,Active,http://www.castlehillcider.com/,https://www.facebook.com/CastleHillCider,https://www.instagram.com/castlehillcider/,https://maps.google.com/?cid=4112176064200176389,https://www.yelp.com/biz/castle-hill-cider-keswick,https://www.tripadvisor.com/Attraction_Review-g57873-d2359755,https://untappd.com/w/castle-hill-cider/18303,38.0888889,-78.2908333
345,Incline Cider Company,2,1,0,1,0,3,7,2023,2024,2,Auburn,Washington,USA,Active,http://www.inclinecider.com/,https://www.facebook.com/inclinecider/,https://www.instagram.com/inclinecider/,https://maps.google.com/?cid=504944612388443997,https://www.yelp.com/biz/incline-cider-house-tacoma,https://www.tripadvisor.com/Attraction_Review-g58775-d22266571,https://untappd.com/w/incline-cider-company/249584,47.307323,-122.228453
350,Island Orchard Cider,2,0,1,2,0,2,7,2018,2024,4,Ellison Bay,Wisconsin,USA,Active,http://islandorchardcider.com/,https://www.facebook.com/IslandOrchardCider,https://www.instagram.com/islandorchardcider/,https://maps.google.com/?cid=8005585823394699432,https://www.yelp.com/biz/island-orchard-cider-ellison-bay,https://www.tripadvisor.com/Attraction_Review-g59859-d4554998,https://untappd.com/w/island-orchard-cider/36898,45.256318,-87.071244
2037,Empyrical Orchard & Cidery,1,1,2,2,0,1,7,2023,2024,2,Snohomish,Washington,USA,Active,,https://www.facebook.com/profile.php?id=100068960115984,https://www.instagram.com/empyricalcider/,,,,https://untappd.com/w/empyrical-orchard-cidery/507102,47.9125058,-122.0347067
188,Champlain Orchards,0,2,0,3,0,2,7,2018,2024,5,Shoreham,Vermont,USA,Active,https://www.champlainorchards.com/,https://www.facebook.com/ChamplainOrchards/,https://www.instagram.com/champlainorchards/,https://maps.google.com/?cid=12438523521595198148,https://www.yelp.com/biz/champlain-orchards-shoreham-2,https://www.tripadvisor.com/Attraction_Review-g57398-d9867509,https://untappd.com/w/champlain-orchards/20547,43.856854,-73.353028
631,Thor's Hard Cider,0,1,3,0,0,3,7,2020,2023,3,Stillwater,Minnesota,USA,Active,https://www.thorshardcider.com/,https://www.facebook.com/thorshardcider/,https://www.instagram.com/thorshardcider/,https://maps.google.com/?cid=16250618587804183842,https://www.yelp.com/biz/aamodts-apple-farm-stillwater,https://www.tripadvisor.com/Attraction_Review-g43552-d7146001,https://untappd.com/w/thors-hard-cider/345130,45.042138,-92.865744
670,Lake Chelan Winery,0,1,2,2,0,2,7,2018,2023,4,Chelan,Washington,USA,Active,https://lakechelanwinery.com/,https://www.facebook.com/LakeChelanWinery/,https://www.instagram.com/lakechelanwinery/,https://maps.google.com/?cid=14575106688846373159,https://www.yelp.com/biz/lake-chelan-winery-chelan,https://www.tripadvisor.com/Restaurant_Review-g58395-d2291863,https://untappd.com/w/washington-gold-cider/21191,47.873437,-120.106691
738,Chain Yard Cider,0,1,1,2,0,3,7,2018,2019,2,Halifax,Nova Scotia,Canada,Active,https://www.chainyardcider.com/,https://www.facebook.com/chainyardcider/,https://www.instagram.com/chainyardcider/,https://maps.google.com/?cid=4454532663694829560,https://www.yelp.com/biz/chain-yard-urban-cidery-halifax,https://www.tripadvisor.com/Restaurant_Review-g154976-d12547718,https://untappd.com/w/chain-yard-urban-cidery/338806,44.655537,-63.593991
97,Arsenal Cider House,0,0,1,2,3,1,7,2018,2020,3,Pittsburgh,Pennsylvania,USA,Active,https://www.arsenalciderhouse.com/lawrenceville/,https://www.facebook.com/ArsenalCider,https://www.instagram.com/arsenalcider/,https://maps.google.com/?cid=3302243150360255083,https://www.yelp.com/biz/arsenal-cider-house-and-wine-cellar-pittsburgh,https://www.tripadvisor.com/Attraction_Review-g53449-d4558019,https://untappd.com/w/arsenal-cider-house/12282,40.465108,-79.96092
1885,Alma Cider,2,0,1,0,0,3,6,2020,2024,4,Mount Vernon,Washington,USA,Active,https://almacider.com/,https://www.facebook.com/almaciderco/,https://www.instagram.com/almaciderco/,,,,https://untappd.com/w/alma-cider/473877,48.416119,-122.2940351
126,Big B's Hard Cider,1,1,0,2,0,2,6,2017,2020,4,Hotchkiss,Colorado,USA,Active,http://www.bigbs.com/,https://www.facebook.com/visitbigbs,https://www.instagram.com/drinkbigbs,https://maps.google.com/?cid=78577038036310991,https://www.yelp.com/biz/delicious-orchards-hotchkiss,https://www.tripadvisor.com/Restaurant_Review-g33588-d4471856,https://untappd.com/w/big-bs-fabulous-juices/100389,38.860785,-107.626061
389,Liquid Alchemy Beverages,1,0,2,0,0,3,6,2019,2024,3,Wilmington,Delaware,USA,Active,https://www.liquidalchemybeverages.com/,https://www.facebook.com/LiquidAlchemyBeverages/,https://www.instagram.com/liquidalchemybeverages,https://maps.google.com/?cid=17392171192902258223,https://www.yelp.com/biz/liquid-alchemy-beverages-wilmington,https://www.tripadvisor.com/Attraction_Review-g34059-d12048635,https://untappd.com/w/liquid-alchemy-beverages/224415,39.729206,-75.580718
84,Alpenfire Cider,0,2,2,1,1,0,6,2018,2022,2,Port Townsend,Washington,USA,Active,https://www.alpenfirecider.com/,https://www.facebook.com/alpenfirecider,https://www.instagram.com/alpenfirecider/,https://maps.google.com/?cid=13194604853315575065,https://www.yelp.com/biz/alpenfire-cider-and-orchard-port-townsend,,https://untappd.com/w/alpenfire-cider/12510,48.082401,-122.87609
312,Gypsy Circus,0,2,0,1,1,2,6,2017,2022,3,Kingsport,Tennessee,USA,Active,https://gypsycircuscider.com/,https://www.facebook.com/GypsyCircusCider/,https://www.instagram.com/gypsycircuscider/,https://maps.google.com/?cid=4520512866262691085,https://www.yelp.com/biz/gypsy-circus-taproom-kingsport,https://www.tripadvisor.com/Attraction_Review-g55135-d12818214,https://untappd.com/w/gypsy-circus-cider-company/226304,36.520022,-82.51794
664,Vermont Cider Company,0,1,1,0,1,3,6,2017,2022,3,Middlebury,Vermont,USA,Active,http://www.woodchuck.com/,https://www.facebook.com/WoodchuckCider,https://www.instagram.com/woodchuckcider/,https://maps.google.com/?cid=9402882086420367798,https://www.yelp.com/biz/woodchuck-hard-cidery-middlebury,https://www.tripadvisor.com/Attraction_Review-g57245-d7022345,https://untappd.com/w/woodchuck-cidery/611,44.034072,-73.172778
497,Ragged Hill Cider,0,1,1,0,0,4,6,2018,2020,3,West Brookfield,Massachusetts,USA,Active,https://www.raggedhillcider.com/,https://www.facebook.com/RaggedHillCider/,https://www.instagram.com/raggedhillcider/,https://maps.google.com/?cid=12743756096350248911,https://www.yelp.com/biz/ragged-hill-orchard-west-brookfield,https://www.tripadvisor.com/Attraction_Review-g41900-d13976564,https://untappd.com/w/ragged-hill-cider-company/339946,42.269444,-72.168979
103,Avid Cider,0,0,1,1,0,4,6,2018,2024,4,Bend,Oregon,USA,Active,https://avidcider.com/,https://www.facebook.com/AVIDCider/,https://www.instagram.com/avidcidercompany/,,https://www.yelp.com/biz/atlas-cider-co-bend-2,https://www.tripadvisor.com/Attraction_Review-g51766-d6870614,https://untappd.com/w/atlas-cider-company/65739,44.0509307,-121.3144074
236,Diskin Cider,0,0,1,0,0,5,6,2019,2022,3,Nashville,Tennessee,USA,Active,http://www.diskincider.com/,,https://www.instagram.com/diskincider/,https://maps.google.com/?cid=5465208715637137113,,,https://untappd.com/w/diskin-cider/341259,36.140849,-86.769778
998,EdenVale Winery,1,0,1,2,1,0,5,2017,2020,3,Medford,Oregon,USA,Active,http://www.edenvalewines.com/,https://www.facebook.com/EdenValeWinery,https://www.instagram.com/edenvalewinery/,https://maps.google.com/?cid=1337477973398359922,https://www.yelp.com/biz/edenvale-winery-medford-2,https://www.tripadvisor.com/Attraction_Review-g51965-d534330,https://untappd.com/w/edenvale-winery/343164,42.2886086,-122.8477144
957,Yonder Cider,1,0,1,2,0,1,5,2022,2023,2,Seattle,Washington,USA,Active,http://www.yondercider.com/,https://www.facebook.com/yondercider,https://www.instagram.com/yondercider/,https://maps.google.com/?cid=11002201593648505227,https://www.yelp.com/biz/yonder-cider-seattle,,https://untappd.com/w/yonder-cider/474448,47.6646136,-122.3675796
661,Urban Tree Hard Cider,1,0,0,2,0,2,5,2018,2022,4,Atlanta,Georgia,USA,Active,https://urbantreecidery.com/,https://www.facebook.com/UrbanTreeCider/,https://www.instagram.com/urbantreecider/,https://maps.google.com/?cid=8193144976879641306,https://www.yelp.com/biz/urban-tree-cidery-atlanta,https://www.tripadvisor.com/Attraction_Review-g60898-d10201793,https://untappd.com/w/urban-tree-cidery/260157,33.794905,-84.414797
308,Greenwood Cider Company,1,0,0,1,0,3,5,2022,2023,2,Seattle,Washington,USA,Active,https://www.greenwoodcider.com/,https://www.facebook.com/greenwoodcider,https://www.instagram.com/greenwoodcider,https://maps.google.com/?cid=9193094358946814076,https://www.yelp.com/biz/greenwood-cider-company-seattle,,https://untappd.com/w/greenwood-cider/193817,47.631204,-122.375137
750,Cidrerie Milton,0,1,2,0,0,2,5,2022,2022,1,Sainte-Cécile-de-Milton,Quebec,Canada,Active,https://cidreriemilton.com/,https://facebook.com/cidreriemilton,https://instagram.com/cidreriemilton,https://maps.google.com/?cid=9570102942420505240,https://www.yelp.com/biz/les-vergers-de-la-colline-sainte-cecile-de-milton,https://www.tripadvisor.com/Attraction_Review-g11547718-d10105070,https://untappd.com/CidrerieMilton,45.483424,-72.759531
196,Ciderboys,0,1,0,2,0,2,5,2022,2022,1,Stevens Point,Wisconsin,USA,Active,http://www.ciderboys.com/,https://www.facebook.com/Ciderboys,https://www.instagram.com/Ciderboys/,https://maps.google.com/?cid=1756122992587390562,https://www.yelp.com/biz/stevens-point-brewery-stevens-point,https://www.tripadvisor.com/Attraction_Review-g60304-d2265035,https://untappd.com/w/ciderboys-hard-cider/44552,44.510454,-89.573583
585,Square Mile Cider,0,1,0,1,1,2,5,2017,2019,3,Portland,Oregon,USA,Active,https://www.squaremilecider.com/,https://www.facebook.com/SquareMileCider,https://www.instagram.com/squaremilecider/,https://maps.google.com/?cid=1334101927022279814,,,https://untappd.com/w/square-mile-cider-co/62094,45.541124,-122.676595
349,Ironbound Hard Cider,0,1,0,1,0,3,5,2018,2022,3,Asbury,New Jersey,USA,Active,https://www.ironboundhardcider.com/,https://www.facebook.com/ironboundhardcider,https://www.instagram.com/ironboundhardcider,https://maps.google.com/?cid=17370734586891457225,https://www.yelp.com/biz/ironbound-hard-cider-asbury-3,https://www.tripadvisor.com/Attraction_Review-g29747-d16900912,https://untappd.com/w/jersey-cider-works/267396,40.627611,-75.042357
600,Stormalong Cider,0,0,1,1,0,3,5,2020,2024,3,Sherborn,Massachusetts,USA,Active,https://www.stormalong.com/,https://www.facebook.com/stormalongcider/,https://www.instagram.com/stormalongcider/,https://maps.google.com/?cid=9791117786097773397,,,https://untappd.com/w/stormalong-cider/182598,42.231425,-71.362237
449,North Canyon Cider Company,0,0,0,3,1,1,5,2019,2024,5,Camino,California,USA,Active,http://northcanyoncider.com/,https://www.facebook.com/NorthCanyonCiderCo,https://www.instagram.com/NorthCanyonCider,https://maps.google.com/?cid=15474272377040798709,https://www.yelp.com/biz/north-canyon-cider-company-camino-2,,https://untappd.com/w/north-canyon-cider-co/366979,38.760519,-120.713294
864,West Avenue Cider,0,0,0,2,1,2,5,2017,2019,3,Freelton,Ontario,Canada,Active,https://www.westavenue.ca/,https://www.facebook.com/WestAvenueCider,https://www.instagram.com/westavenuecider/,https://maps.google.com/?cid=2732627738094534556,https://www.yelp.com/biz/west-avenue-cider-house-freelton,https://www.tripadvisor.com/Attraction_Review-g154990-d15192590,https://untappd.com/w/west-avenue-cider/72499,43.3699543,-79.9815735
1673,Sidra Riestra,1,1,2,0,0,0,4,2019,2020,2,Sariego,Asturias,Spain,Active,http://www.sidrariestra.com/,https://www.facebook.com/SidraRiestra,https://www.instagram.com/sidrariestra/,https://maps.google.com/?cid=2253085342105400787,,,https://untappd.com/w/riestra/70601,43.416536,-5.580949
87,Angry Orchard,1,1,1,0,0,1,4,2017,2023,2,Walden,New York,USA,Active,https://www.angryorchard.com/,https://www.facebook.com/AngryOrchard/,https://www.instagram.com/angryorchard/,https://maps.google.com/?cid=17467507983407382578,https://www.yelp.com/biz/angry-orchard-walden-2,https://www.tripadvisor.com/Attraction_Review-g48788-d10266026,https://untappd.com/w/angry-orchard-cider-company/16455,41.587128,-74.221692
179,California Cider Company,1,0,1,2,0,0,4,2020,2022,2,Sebastopol,California,USA,Active,http://www.acecider.com/,https://www.facebook.com/AceCider,https://www.instagram.com/acecider/,,https://www.yelp.com/biz/ace-premium-hard-ciders-sebastopol,https://www.tripadvisor.com/Attraction_Review-g33069-d3626497,https://untappd.com/w/ace-cider-the-california-cider-company/331,38.423506,-122.849754
534,Runcible Cider,1,0,1,1,0,1,4,2018,2023,4,Mosier,Oregon,USA,Active,https://www.runciblecider.com/,https://www.facebook.com/runciblecider/,https://www.instagram.com/runciblecider/,https://maps.google.com/?cid=15182592417091165603,https://www.yelp.com/biz/runcible-cider-mosier-2,,https://untappd.com/w/runcible-cider/332214,45.673003,-121.408294
1813,Clarksburg Cider,1,0,1,0,0,2,4,2022,2024,3,Lancaster,New York,USA,Active,https://clarksburgcider.com/,https://www.facebook.com/clarksburgcider,https://www.instagram.com/clarksburgcider/,https://maps.google.com/?cid=2480384765559100652,,,https://untappd.com/Clarksburg,42.9274192,-78.5953396
3349,OutWest Wines & Ciders,1,0,0,2,0,1,4,2024,2024,1,Spokane,Washington,USA,Active,https://www.outwestwines.com/,https://www.facebook.com/outwestwinesandciders/,https://www.instagram.com/outwestwinesandciders/,https://maps.google.com/?cid=17884348236147778138,,,https://untappd.com/OutWestCiders/,47.6619088,-117.4300844
276,Finnriver Farm & Cidery,1,0,0,1,0,2,4,2020,2022,2,Chimacum,Washington,USA,Active,https://www.finnriver.com/,https://www.facebook.com/finnriver,https://www.instagram.com/finnriver/,https://maps.google.com/?cid=1802892066987578987,https://www.yelp.com/biz/finnriver-farm-and-cidery-chimacum,https://www.tripadvisor.com/Attraction_Review-g58399-d10595866,https://untappd.com/w/finnriver-farm-and-cidery/3008,48.0097371,-122.7694043
1757,Odd Brothers Craft Cider,1,0,0,1,0,2,4,2022,2023,2,Homer,Michigan,USA,Active,https://www.oddbrotherscider.com/,https://www.facebook.com/Odd-Brothers-Craft-Cider-793647507656990/,https://www.instagram.com/oddbrotherscider/,,,,https://untappd.com/OddBrothersCraftCider,42.1364887,-84.8664378
685,Wild State Cider,0,1,2,0,0,1,4,2020,2022,2,Duluth,Minnesota,USA,Active,https://www.wildstatecider.com/,https://www.facebook.com/wildstatecider,https://www.instagram.com/wildstatecider,https://maps.google.com/?cid=9071493292280533216,https://www.yelp.com/biz/wild-state-cider-duluth,https://www.tripadvisor.com/Attraction_Review-g43018-d15344648,https://untappd.com/WildStateCider,46.762891,-92.130134
421,Mill Haus Cider,0,1,1,1,0,1,4,2022,2024,3,Eatonville,Washington,USA,Active,https://www.drinkmillhaus.com/,https://www.facebook.com/drinkmillhaus/,https://www.instagram.com/drinkmillhaus/,https://maps.google.com/?cid=13632179647129119778,https://www.yelp.com/biz/mill-haus-cider-eatonville-2,https://www.tripadvisor.com/Restaurant_Review-g58449-d24114866,https://untappd.com/w/mill-haus-hard-cider/408680,46.865264,-122.265067
209,Colorado Cider Company,0,1,1,0,0,2,4,2017,2024,3,Denver,Colorado,USA,Active,http://www.coloradocider.com/,https://www.facebook.com/coloradocider,https://www.instagram.com/coloradocidercompany/,https://maps.google.com/?cid=9606181927626096546,https://www.yelp.com/biz/colorado-cider-denver,https://www.tripadvisor.com/Attraction_Review-g33388-d8505809,https://untappd.com/w/colorado-cider-company/11426,39.71898,-105.01961
241,Double Mountain Brewery & Cidery,0,1,1,0,0,2,4,2023,2024,2,Hood River,Oregon,USA,Active,http://www.doublemountainbrewery.com/,https://www.facebook.com/doublemountainbrewery,https://www.instagram.com/doublemountain,https://maps.google.com/?cid=2446696276607943242,https://www.yelp.com/biz/double-mountain-brewery-hood-river,https://www.tripadvisor.com/Restaurant_Review-g51909-d2186972,https://untappd.com/w/double-mountain-brewery-taproom/462,45.710014,-121.514641
194,Cider Creek Hard Cider,0,1,0,0,0,3,4,2018,2019,2,Canisteo,New York,USA,Active,http://www.cidercreekhardcider.com/,,https://www.instagram.com/cidercreekhardcider/,https://maps.google.com/?cid=7573055340708815679,,https://www.tripadvisor.com/Attraction_Review-g47410-d9865677,https://untappd.com/w/cider-creek-hard-cider/124038,42.316655,-77.60405
432,Mountain West Cider Company,0,1,0,0,0,3,4,2017,2023,2,Salt Lake City,Utah,USA,Active,http://mountainwestcider.com/,https://www.facebook.com/MountainWestHardCider/,https://www.instagram.com/mountainwestcider/,https://maps.google.com/?cid=16538924633378887108,https://www.yelp.com/biz/mountain-west-cider-salt-lake-city,,https://untappd.com/w/mountain-west-hard-cider/235312,40.778772,-111.903037
2039,Kristof Farms,0,0,1,2,0,1,4,2023,2024,2,Yamhill,Oregon,USA,Active,https://www.kristoffarms.com/,https://www.facebook.com/KristofFarms/,https://www.instagram.com/kristoffarms/,,,,https://untappd.com/w/kristof-farms/524122,45.3833849,-123.153384
921,Loch Mór Cider Co.,0,0,1,1,0,2,4,2019,2022,3,Wellington,Ontario,Canada,Active,https://www.lochmorcider.com/,https://www.facebook.com/lochmorciderco,https://www.instagram.com/lochmorciderco/,https://maps.google.com/?cid=9109460907919194612,https://www.yelp.com/biz/loch-m%C3%B3r-cider-prince-edward,https://www.tripadvisor.com/Attraction_Review-g1772406-d17378409,https://untappd.com/LochMorCiderCo,43.9718054,-77.3897867
136,Black Diamond Cider,0,0,1,0,0,3,4,2018,2023,2,Trumansburg,New York,USA,Active,https://blackdiamondcider.com/,https://www.facebook.com/incredapple/,https://www.instagram.com/blackdiamondfarm/,https://maps.google.com/?cid=10338399888952299802,,,https://untappd.com/w/black-diamond-farm/192550,42.547829,-76.655099
