ID,Style,Order,Award,Producer,Product,Town/City,Region,Country,WID,Website,Facebook,Instagram,Google,TripAdvisor,Untappd,Latitude,Longitude
15,Modern Cider ‐ Sweet,6,🥇 Gold,Portland Cider Company,Original Gold,Clackamas,Oregon,United States,490,http://portlandcider.com/,https://www.facebook.com/portlandcider,https://www.instagram.com/portlandcider/,https://maps.google.com/?cid=5897814277091816079,https://www.tripadvisor.com/Restaurant_Review-g51806-d6996793,https://untappd.com/w/portland-cider-company/56260,45.415288,-122.572714
14,Modern Cider ‐ Sweet,6,🥈 Silver,Stonewell Cider,Stonewell Medium Dry,Carrigaline,Cork,Ireland,1265,https://www.stonewellcider.com/,https://www.facebook.com/stonewellcider,https://www.instagram.com/stonewellcider/,https://maps.google.com/?cid=6638378960827420170,,https://untappd.com/Nohoval_Drinks_Company_Ltd,51.8093009,-8.3699975
16,Spanish Style Cider,7,🥈 Silver,Brooklyn Cider House,Solstice,New Paltz,NY,United States,165,http://brooklynciderhouse.com/,,https://www.instagram.com/brooklynciderhouse/,https://maps.google.com/?cid=3244654366527486527,,https://untappd.com/w/brooklyn-cider-house/234267,41.757256,-74.04958
17,Perry,8,🥉 Bronze,Newton Court Cider,Panting Partridge,Leominster,,England,1882,https://www.newtoncourtcider.com/,https://www.facebook.com/newtonscider/,https://www.instagram.com/newtoncourtcider/,https://maps.google.com/?cid=16599711403513185285,https://www.tripadvisor.com/Attraction_Review-g1936778-d7940383,https://untappd.com/NewtonCourtCidery,52.1830142,-2.717924
19,Cider with Berries,9,🥇 Gold,Black Apple Hard Cider,Black Apple - Blackberry,Springdale,Arkansas,United States,133,https://www.blackapplehardcider.com/,https://www.facebook.com/blackapplecrossing/,https://www.instagram.com/blackapplehardcider/,https://maps.google.com/?cid=5449257929643515916,https://www.tripadvisor.com/Attraction_Review-g31931-d8814858,https://untappd.com/w/black-apple-crossing/211057,36.18487,-94.127403
18,Cider with Berries,9,🥈 Silver,Pembrokeshire Cider,Mixed Berry Apple Cider,Pembroke,,Wales,2527,https://pembrokeshirecider.co.uk/,https://www.facebook.com/PembrokeshireCider,https://www.instagram.com/pembrokeshirecider/,https://maps.google.com/?cid=7076376665804890949,,https://untappd.com/w/the-pembrokeshire-cider-co/356892,51.6739323,-4.915836
22,Cider with Other Fruits & Flowers,10,🥇 Gold,Stonewell Cider,Ros,Carrigaline,Cork,Ireland,1265,https://www.stonewellcider.com/,https://www.facebook.com/stonewellcider,https://www.instagram.com/stonewellcider/,https://maps.google.com/?cid=6638378960827420170,,https://untappd.com/Nohoval_Drinks_Company_Ltd,51.8093009,-8.3699975
21,Cider with Other Fruits & Flowers,10,🥈 Silver,"Valle, Ballina y Fernandez",Gaitero Spanish Cider with Red Grape,,Asturias,Spain,1314,https://www.sidraelgaitero.com/,https://www.facebook.com/grupoelgaitero,https://www.instagram.com/grupoelgaitero/,https://maps.google.com/?cid=15753532318992345137,https://www.tripadvisor.com/Attraction_Review-g608997-d3239389,https://untappd.com/brewery/4266,43.4923237,-5.4230532
20,Cider with Other Fruits & Flowers,10,🥉 Bronze,Stormalong Cider,Red Skies at Night,,Massachusetts,United States,600,https://www.stormalong.com/,https://www.facebook.com/stormalongcider/,https://www.instagram.com/stormalongcider/,https://maps.google.com/?cid=9791117786097773397,,https://untappd.com/w/stormalong-cider/182598,42.231425,-71.362237
24,Cider with Botanicals,11,🥇 Gold,OmCider,ODEL,Hjelmeland,,Norway,2753,https://omcider.no/,https://www.facebook.com/OmCiderAS/,https://www.instagram.com/omcideras/,https://maps.google.com/?cid=1800091822223931241,,https://untappd.com/w/omcider/492586,59.2272141,6.2126591
23,Cider with Botanicals,11,🥈 Silver,Stormalong Cider,White Mountain Magic,,Massachusetts,United States,600,https://www.stormalong.com/,https://www.facebook.com/stormalongcider/,https://www.instagram.com/stormalongcider/,https://maps.google.com/?cid=9791117786097773397,,https://untappd.com/w/stormalong-cider/182598,42.231425,-71.362237
27,Rosé Cider,12,🥇 Gold,Alde,Alde Rosé Sider,Hardanger,,Norway,2546,https://www.aldesider.no/,https://www.facebook.com/aldesider,https://www.instagram.com/aldesider/,https://maps.google.com/?cid=7838999053969928967,,https://untappd.com/Alde_hardanger,60.2448984,6.5638617
26,Rosé Cider,12,🥈 Silver,Bauman’s Cider Company,Mountain Rose SV,Portland,Oregon,United States,118,https://baumanscider.com/,https://www.facebook.com/Baumanscider/,https://www.instagram.com/baumanscider/,https://maps.google.com/?cid=10038644588886302965,https://www.tripadvisor.com/Attraction_Review-g51881-d6848567,https://untappd.com/w/baumans-cider-company/253872,45.1079661,-122.8693386
25,Rosé Cider,12,🥉 Bronze,Stassen Cidrerie,Strongbow Rosé Apple,Aube,,Belgium,3125,https://www.cidreriestassen.com/,,,https://maps.google.com/?cid=3414465612960585932,,https://untappd.com/w/stassen-vin-cie/12274,50.7042612,5.8644305
28,Ice Cider,13,🥇 Gold,Lepola Drinks,Vega Ice Cider,Ylönkylä,,Finland,3015,https://lepoladrinks.fi/,https://www.facebook.com/lepoladrinks/,https://www.instagram.com/lepola_drinks/,https://maps.google.com/?cid=10912023971262858580,,https://untappd.com/w/lepola/401095,60.1705262,22.9621416
30,Low & No Cider and Perry,14,🥇 Gold,Cotswold Cider Company,Phantom of the Orchard Lo-Alc 1% Cider,Coleshill,Oxfordshire,England,1349,https://www.cotswoldciderco.com/,https://www.facebook.com/CotswoldCiderCompany,https://www.instagram.com/cotswoldciderco/,,,https://untappd.com/TheCotswoldCiderCompany,51.650203,-1.5959266
29,Low & No Cider and Perry,14,🥈 Silver,Mosterei Möhl,Möhl Easy Apple Cider,Arbon,,Switzerland,3124,https://www.moehl.ch/,https://www.facebook.com/saftvomfass/,https://www.instagram.com/mosterei_moehl/,https://maps.google.com/?cid=2429351855518192196,,https://untappd.com/w/mosterei-mohl/21631,47.5067586,9.410806
33,Open Class,15,🥇 Gold,Stonewell Cider,Tawny 10,Carrigaline,Cork,Ireland,1265,https://www.stonewellcider.com/,https://www.facebook.com/stonewellcider,https://www.instagram.com/stonewellcider/,https://maps.google.com/?cid=6638378960827420170,,https://untappd.com/Nohoval_Drinks_Company_Ltd,51.8093009,-8.3699975
32,Open Class,15,🥈 Silver,Stassen Cidrerie,Stassen Cidre d’Abbaye Blond,Aubel,,Belgium,3125,https://www.cidreriestassen.com/,,,https://maps.google.com/?cid=3414465612960585932,,https://untappd.com/w/stassen-vin-cie/12274,50.7042612,5.8644305
31,Open Class,15,🥉 Bronze,James Creek Cider House,Stargazer Cider - Crossbow,Cameron,NC,United States,354,https://jamescreekciderhouse.com/,https://www.facebook.com/jamescreekciderhouse,https://www.instagram.com/jamescreekciderhouse/,https://maps.google.com/?cid=8654485681895206331,,https://untappd.com/w/james-creek-cider-house/291592,35.336069,-79.245782
