ID,Award,Division,Category,Medalist,Entry,WID,Order,Website,Facebook,Instagram,Google,Untappd,Latitude,Longitude
8,🥇 GOLD,Domestic,Hopped Cider,VinVie Winery & Cidery,Hopped Cider,2010,7,https://vinvie.jp/,https://www.facebook.com/vinvie.jp/,https://www.instagram.com/vinvie.jp/,https://maps.google.com/?cid=10362674152189928272,https://untappd.com/w/vinvie/441053,35.5976837,137.8797641
16,🥈 SILVER,Domestic,Hopped Cider,Shiwa Cidery,Split Water Hopped Cider,2830,7,https://shiwacidery.com/,,https://www.instagram.com/shiwacidery/,,https://untappd.com/ShiwaCidery,39.5600438,141.0834043
9,🥇 GOLD,Domestic,Spiced/Botanical Cider,Shiwa Cidery,Autumn Spice Hard Cider,2830,8,https://shiwacidery.com/,,https://www.instagram.com/shiwacidery/,,https://untappd.com/ShiwaCidery,39.5600438,141.0834043
17,🥈 SILVER,Domestic,Spiced/Botanical Cider,Kikusui Brewing,Posh Ginger,2016,8,https://kikusuisake.co.jp/,https://www.facebook.com/kikusui.nagano,https://www.instagram.com/nagano_kikusui/,https://maps.google.com/?cid=273138642744687145,https://untappd.com/w/kikusui-shuzou/307391,35.5132343,137.8072107
10,🥇 GOLD,Domestic,Wood/Barrel-Aged Cider,Gio Hills Winery,Pha Trộn Cider,2824,9,https://giohills.jp/,,https://www.instagram.com/giohillswinery/,https://maps.google.com/?cid=1515569945995790055,,36.2981653,138.405756
18,🥈 SILVER,Domestic,Wood/Barrel-Aged Cider,Nakata Orchard,Mozu Nakata Orchard Cider,2834,9,https://nakataringo.thebase.in/,https://www.facebook.com/nakatanouen,https://www.instagram.com/nakatanouen/,,,40.5522641,140.5017318
11,🥇 GOLD,Domestic,Specialty Cider or Perry,and CIDER,Rock Trip,2823,10,https://andcider.jp/,https://www.facebook.com/andcider.jp,https://www.instagram.com/andcider/,,,36.7219861,138.2741962
19,🥈 SILVER,Domestic,Specialty Cider or Perry,Izumi Brewery,Sakura Opening Game,2835,10,,https://www.facebook.com/izumibrewery,https://www.instagram.com/izumi_brewery/,https://maps.google.com/?cid=9781390219956310609,https://untappd.com/w/izumi-brewery/390232,35.6386509,139.5794893
23,🥇 GOLD,International,Modern Cider (Dry),Right Bee Cider,Dry,518,1,http://www.rightbeecider.com/,https://www.facebook.com/rightbeecider/,https://www.instagram.com/rightbeecider/,https://maps.google.com/?cid=3785946038058251944,https://untappd.com/w/right-bee-cider/156700,41.914519,-87.736933
32,🥈 SILVER,International,Modern Cider (Dry),Spreyton Cider Company,Kingston Black,1502,1,https://www.spreytonciderco.com.au/,https://www.facebook.com/SpreytonCiderCo,https://www.instagram.com/spreytonciderco/,https://maps.google.com/?cid=4719454766033276507,https://untappd.com/SpreytonCiderCo,-41.2451669,146.3426667
37,🥉 BRONZE,International,Modern Cider (Dry),Right Bee Cider,Semi-Dry,518,1,http://www.rightbeecider.com/,https://www.facebook.com/rightbeecider/,https://www.instagram.com/rightbeecider/,https://maps.google.com/?cid=3785946038058251944,https://untappd.com/w/right-bee-cider/156700,41.914519,-87.736933
24,🥇 GOLD,International,Modern Cider (Sweet),Dancing Cider Company,Sweet Mama,1990,2,https://www.dancingcider.com/,https://www.facebook.com/DancingCider/,https://www.instagram.com/dancingcider/,https://maps.google.com/?cid=7853675129819221848,https://untappd.com/w/dancing-cider/432400,37.0264162,127.8580113
33,🥈 SILVER,International,Modern Cider (Sweet),The Walnut House,Wata Lebanese Cider Doux,2143,2,https://www.wata.com.lb/,https://www.facebook.com/watacider,https://www.instagram.com/watacider/,https://maps.google.com/?cid=4521420921498637695,https://untappd.com/w/wata/513914,34.014342,35.7480401
38,🥉 BRONZE,International,Modern Cider (Sweet),Neon Cider,Auntie Apple Cider,2146,2,https://bestbevhk.com/collections/neonotic-cider,,https://www.instagram.com/neonciders/,https://maps.google.com/?cid=208458777916738113,https://untappd.com/Neonotic,22.249482,114.1676378
25,🥇 GOLD,International,Traditional Cider (Dry),Courtney’s of Whimple,Silly Cow,2144,3,https://courtneys.online/,https://www.facebook.com/courtneysdrinks/,,https://maps.google.com/?cid=15697263033877967876,,50.8650481,-3.225626
34,🥈 SILVER,International,Traditional Cider (Dry),Wignac Cidre,Naturel,2145,3,https://www.wignac.com/,https://www.facebook.com/cidrewignac/,https://www.instagram.com/wignac.cider/,https://maps.google.com/?cid=471404489608206328,,49.6824042,4.6460775
39,🥉 BRONZE,International,Traditional Cider (Dry),Saxby’s Cider,Saxby’s Original Cider,2148,3,https://www.saxbyscider.co.uk/,https://www.facebook.com/SaxbysCider/,https://www.instagram.com/saxbys_cider/,https://maps.google.com/?cid=3023063857963922852,https://untappd.com/SaxbysCider,52.2626457,-0.643926
26,🥇 GOLD,International,Traditional Cider (Sweet),Courtney’s of Whimple,Courtney’s Orchard Cider,2144,4,https://courtneys.online/,https://www.facebook.com/courtneysdrinks/,,https://maps.google.com/?cid=15697263033877967876,,50.8650481,-3.225626
27,🥇 GOLD,International,Traditional Perry,Small Acres Cyder,Sparkling Perry 2021,1175,5,https://www.smallacrescyder.com.au/,https://www.facebook.com/SmallAcresCyder,https://www.instagram.com/smallacrescyder,https://maps.google.com/?cid=1497457670374953580,https://untappd.com/brewery/14584,-33.2818782,148.9909171
28,🥇 GOLD,International,Fruit/Blended Cider,Dancing Cider Company,Rude Berry,1990,6,https://www.dancingcider.com/,https://www.facebook.com/DancingCider/,https://www.instagram.com/dancingcider/,https://maps.google.com/?cid=7853675129819221848,https://untappd.com/w/dancing-cider/432400,37.0264162,127.8580113
35,🥈 SILVER,International,Fruit/Blended Cider,Dancing Cider Company,Honeymoon Bae,1990,6,https://www.dancingcider.com/,https://www.facebook.com/DancingCider/,https://www.instagram.com/dancingcider/,https://maps.google.com/?cid=7853675129819221848,https://untappd.com/w/dancing-cider/432400,37.0264162,127.8580113
40,🥉 BRONZE,International,Fruit/Blended Cider,JK’s Farmhouse Ciders,JK’s Traverse City Cherry,3,6,http://jksfarmhouseciders.com/,https://www.facebook.com/jksfarmhouseciders,https://www.instagram.com/jksfarmhouseciders/,https://maps.google.com/?cid=9785317642581217954,https://untappd.com/w/jks-farmhouse-ciders/2931,43.0274314,-83.9112091
29,🥇 GOLD,International,Hopped Cider,Tālava Sidrs,Abolu Sidrs Ar Apiniem,2142,7,https://www.talava.lv/,https://www.facebook.com/talavassidrs,https://www.instagram.com/talavas_sidrs/,https://maps.google.com/?cid=16414834196985036378,https://untappd.com/TalavasSidrs,57.162926,26.7596704
30,🥇 GOLD,International,Spiced/Botanical Cider,Right Bee Cider,Clementine,518,8,http://www.rightbeecider.com/,https://www.facebook.com/rightbeecider/,https://www.instagram.com/rightbeecider/,https://maps.google.com/?cid=3785946038058251944,https://untappd.com/w/right-bee-cider/156700,41.914519,-87.736933
36,🥈 SILVER,International,Spiced/Botanical Cider,Saigon Cider,Apple & Chilli,2147,8,https://www.saigoncider.com/,https://www.facebook.com/saigoncider/,https://www.instagram.com/saigoncider/,,https://untappd.com/w/saigon-cider/127105,10.8135684,106.6919007
41,🥉 BRONZE,International,Spiced/Botanical Cider,Saxby’s Cider,Saxby’s Rhubarb Cider,2148,8,https://www.saxbyscider.co.uk/,https://www.facebook.com/SaxbysCider/,https://www.instagram.com/saxbys_cider/,https://maps.google.com/?cid=3023063857963922852,https://untappd.com/SaxbysCider,52.2626457,-0.643926
31,🥇 GOLD,International,Specialty Cider or Perry,Dancing Cider Company,Apple Sangria,1990,10,https://www.dancingcider.com/,https://www.facebook.com/DancingCider/,https://www.instagram.com/dancingcider/,https://maps.google.com/?cid=7853675129819221848,https://untappd.com/w/dancing-cider/432400,37.0264162,127.8580113
