Medalist,🥇 Or,🥈 Argent,🏅 Total,Status,Website,Facebook,Instagram,Google,TripAdvisor,Untappd,Latitude,Longitude,Transparency
Cidrerie Claids,0,7,7,Active,https://www.cidrerieclaids.fr/,https://www.facebook.com/cidrerieclaids/,https://www.instagram.com/cidrerieclaids/,https://maps.google.com/?cid=16896075272570280949,,https://untappd.com/w/cidrerie-claids/541066,49.2339556,-1.4258585,0
Théo Capelle,4,2,6,Active,https://www.theo-capelle.com/,https://www.facebook.com/profile.php?id=100054206274447,,https://maps.google.com/?cid=3221607950662529223,https://www.tripadvisor.com/Attraction_Review-g187183-d3406164,https://untappd.com/w/cidrerie-tha-c-o-capelle/124517,49.5292294,-1.7457542,0
Ferme de la Commanderie,2,4,6,Active,http://www.ferme-de-la-commanderie.fr/,https://www.facebook.com/CidrerieLaCommanderie,https://www.instagram.com/cidreriefermedelacommanderie,https://maps.google.com/?cid=2113479186577428756,https://www.tripadvisor.com/Attraction_Review-g2407705-d10109503,https://untappd.com/w/ferme-de-la-commanderie/233207,49.5108604,-1.7174817,0
Le Chai de la Baie,0,6,6,Active,,https://www.facebook.com/jacques.daunay50/,,https://maps.google.com/?cid=12654181407242940379,,https://untappd.com/w/le-chai-de-la-baie/471739,48.7402045,-1.4296969,0
Cidrerie Godefroy,3,2,5,Active,https://www.ecomuseeducidre.fr/,,,https://maps.google.com/?cid=5707167707581907830,https://www.tripadvisor.com/Attraction_Review-g1572450-d3428587,https://untappd.com/w/vincent-et-marieclaire-godefroy/207560,49.6562671,0.378119,0
Cidrerie Traditionnelle du Perche,1,4,5,Active,http://www.cidrerie-traditionnelle-du-perche.fr/,https://www.facebook.com/cidrerietraditionnelleduperche,,https://maps.google.com/?cid=4098308531613353726,,https://untappd.com/w/cidrerie-traditionnelle-du-perche/28040,48.2774308,0.6361493,0
La Ferme de Billy,0,5,5,Active,https://www.ferme-de-billy.com/,https://www.facebook.com/lafermedebilly/,https://www.instagram.com/lafermedebilly/,https://maps.google.com/?cid=11023078698699122653,https://www.tripadvisor.com/Attraction_Review-g7741562-d6974742,https://untappd.com/w/la-ferme-de-billy/247621,49.2134763,-0.4722615,0
Cidrerie Domaine du Ruisseau,3,1,4,Active,,,,https://maps.google.com/?cid=14181024575525431243,,https://untappd.com/w/domaine-du-ruisseau/470036,48.4571495,0.7511747,0
Ferme de la Vallée au Tanneur,1,3,4,Active,,https://www.facebook.com/valleeautanneur,,https://maps.google.com/?cid=1292218678865448801,,https://untappd.com/w/ferme-de-la-vallee-au-tanneur/102219,49.2084438,0.0436273,0
Manoir de Grandouet,1,3,4,Active,https://www.manoir-de-grandouet.fr/,https://www.facebook.com/grandval.fr/,https://www.instagram.com/manoirdegrandouet/,https://maps.google.com/?cid=1664850146101306839,https://www.tripadvisor.com/Attraction_Review-g672825-d6994534,https://untappd.com/brewery/18942,49.158588,0.066211,0
Cidrerie de la Brique,0,4,4,Active,https://cidreriedelabrique.com/,https://www.facebook.com/CidreriedelaBrique/,https://www.instagram.com/cidreriedelabrique/,https://maps.google.com/?cid=7178427047416068956,,https://untappd.com/CidreriedeLaBrique,49.5156759,-1.5231005,0
Écusson,0,4,4,Active,https://www.cidre-ecusson.com/,https://www.facebook.com/CidreEcusson/,https://www.instagram.com/cidreecusson/,,,https://untappd.com/w/cidres-ecusson/15641,48.8279643,2.2657746,0
Domaine Olivier,2,1,3,Active,https://www.ledomaineolivier.com/,,,https://maps.google.com/?cid=12832839833696798380,,https://untappd.com/w/domaine-olivier/337350,48.6498485,-0.5338754,0
Zathinoé,2,1,3,Active,https://zathinoe.fr/,,,https://maps.google.com/?cid=2359582709656446462,,https://untappd.com/w/zathinoe/452758,49.0320526,0.0828382,0
Breton Michel,1,2,3,Active,https://www.cidre-bretonmichel.com/,,,https://maps.google.com/?cid=12939236238538332078,,https://untappd.com/w/breton-michel/222629,48.5669746,-0.3738003,0
Domaine des 5 Autels,1,2,3,Active,https://cinqautels.com/,https://www.facebook.com/5Autels/,https://www.instagram.com/5autels/,https://maps.google.com/?cid=1561300018564057036,https://www.tripadvisor.com/Hotel_Review-g1385431-d1308959,https://untappd.com/w/domaine-des-cinqs-autels/519014,49.0742817,-0.1886941,0
La Maison Ferré,0,3,3,Active,https://www.lamaisonferre.fr/,https://www.facebook.com/cidreduperche,https://www.instagram.com/la_maison_ferre,https://maps.google.com/?cid=13764361049917258070,https://www.tripadvisor.com/Attraction_Review-g4926524-d23694021,https://untappd.com/w/la-maison-ferrac/161574,48.4682596,0.5980003,0
Les Vergers de la Passion,0,3,3,Active,https://les-vergers-de-la-passion-cidrerie.fr/,https://www.facebook.com/LesVergersDeLaPassion.FermeCidricole/,https://www.instagram.com/lesvergersdelapassion/,https://maps.google.com/?cid=9889208295960516000,https://www.tripadvisor.com/Attraction_Review-g13423894-d13413411,https://untappd.com/w/les-vergers-de-la-passion/468828,49.527658,-1.648722,0
Manoir d'Apreval,0,3,3,Active,https://www.apreval.com/,https://www.facebook.com/manoirdapreval/,https://www.instagram.com/manoirdapreval/,https://maps.google.com/?cid=10807770520098333687,https://www.tripadvisor.com/Attraction_Review-g2205406-d9715014,https://untappd.com/w/manoir-d-apreval/228726,49.4063622,0.1751606,0
Cidre de Grévilly,1,1,2,Active,https://cidre-grevilly.jimdofree.com/,,,,,https://untappd.com/w/brigitte-criaud-le-cidre-de-grevilly/212195,49.2944582,-0.7854045,0
Cidrerie Michel Bréavoine,1,1,2,Active,https://www.breavoine.fr/,https://www.facebook.com/cidrebreavoine/,https://www.instagram.com/cidrebreavoine/,https://maps.google.com/?cid=13497264920337240271,,https://untappd.com/w/cidrerie-michel-breavoine/123090,49.300695,0.186955,0
Ferme Marcotte,1,1,2,Active,http://marcotte.coop/,https://www.facebook.com/profile.php?id=100057365473102,,https://maps.google.com/?cid=15515441844251158681,,https://untappd.com/w/ferme-cooperative-marcotte/466175,49.6947533,1.490969,0
Groualle Frères,1,1,2,Active,,https://www.facebook.com/GROUALLEANTHONY,,,,,49.104686,-1.329224,0
Le Clos des Citots,1,1,2,Active,https://www.leclosdescitots.fr/,https://www.facebook.com/profile.php?id=100066990398769,,https://maps.google.com/?cid=3330784351320305206,,https://untappd.com/w/le-clos-des-citots-gerard-lenormand/87074,49.4573681,0.8128167,0
Le P'tit Clos Normand,1,1,2,Active,https://www.boeuf-cidre.com/,https://www.facebook.com/francoisxavier.craquelin/,,https://maps.google.com/?cid=13679042805577864069,,,49.523258,0.636541,0
Les Vergers du Chouquet,1,1,2,Active,,,,https://maps.google.com/?cid=4633427283115041645,,https://untappd.com/w/les-vergers-du-chouquet/50301,48.884448,0.2503795,0
Manoir de Durcet,1,1,2,Active,https://www.breton-manoirdedurcet.fr/,https://www.facebook.com/manoirdedurcet/,https://www.instagram.com/manoirdedurcetgaec/,https://maps.google.com/?cid=3868969713989886200,,https://untappd.com/w/manoir-de-durcet/399555,48.5593722,-0.3313091,0
Ferme de Cavelande,0,2,2,Active,https://www.fermedecavelande.fr/,,,https://maps.google.com/?cid=949032948010559518,,https://untappd.com/w/ferme-de-cavelande/465256,49.2339514,0.0084808,0
GAEC Hédouin,0,2,2,Active,,https://www.facebook.com/gaechedouin/,,https://maps.google.com/?cid=8955816640789328765,,,49.7907638,0.7005957,0
La Ferme des Ruelles,0,2,2,Active,https://www.fermedesruelles.com/,https://www.facebook.com/fermedesruelles,https://www.instagram.com/la_ferme_des_ruelles/,https://maps.google.com/?cid=14485040344949359277,https://www.tripadvisor.com/Hotel_Review-g6623129-d6622401,https://untappd.com/w/la-ferme-des-ruelles/141983,49.1412626,1.5194074,0
Le Costil Rouge,0,2,2,Active,,,,https://maps.google.com/?cid=813458325751135495,,https://untappd.com/w/didier-gilbert/324320,49.101073,-0.151407,0
Les Vergers d'Auvillars,0,2,2,Active,,https://www.facebook.com/profile.php?id=100064493697087,,https://maps.google.com/?cid=6624112631217511275,,https://untappd.com/w/les-vergers-d-auvillars/298717,49.3037222,-0.331588,0
Cidre Écusson,1,0,1,Active,https://www.cidre-ecusson.com/,https://www.facebook.com/CidreEcusson/,https://www.instagram.com/cidreecusson/,https://maps.google.com/?cid=16717845515481593007,,https://untappd.com/w/cidres-ecusson/15641,49.0130825,0.1532477,0
Earl du Manoir,1,0,1,Active,https://cidre-du-manoir-27.fr/,,,https://maps.google.com/?cid=4044711697661996773,,,48.752232,1.002753,0
Le Perrey Picot,1,0,1,Active,,https://www.facebook.com/profile.php?id=100060685033668,,https://maps.google.com/?cid=6767746835247128514,,https://untappd.com/w/le-perrey-picot-didier-gautard/371620,48.9387874,0.1614298,0
Les Celliers Associés,1,0,1,Active,https://www.valderance.com/,https://www.facebook.com/ValdeRance/,,https://maps.google.com/?cid=7883069809343472545,,https://untappd.com/LesCelliersAssocis,48.5085682,-1.9533612,0
Les Vergers de Fumichon,1,0,1,Active,https://www.les-vergers-de-fumichon.fr/,https://www.facebook.com/GAEClegrandfumichon,https://www.instagram.com/vergers_de_fumichon/,https://maps.google.com/?cid=12400587455796714428,,https://untappd.com/w/vergers-de-fumichon/501987,49.3135572,-0.7032603,0
Cave de la Fosse,0,1,1,Inactive,,,,,,,48.616889,0.382124,1
Cidre Richard Fouqué,0,1,1,Active,https://richardfouque.fr/,,,https://maps.google.com/?cid=357260865149493086,,https://untappd.com/w/richard-fouquac/362975,49.6880172,0.5648885,0
Cidrerie Lacour-Veyranne,0,1,1,Active,https://www.cidrerie-lacour-veyranne.com/,,https://www.instagram.com/cidrerie_lacour_veyranne/,https://maps.google.com/?cid=10555645589397417510,,https://untappd.com/w/cidres-lacour-veyranne/531609,48.4586312,0.7267842,0
Cidrerie Le Père Mahieu,0,1,1,Active,https://www.leperemahieu.com/,https://www.facebook.com/peremahieu/,https://www.instagram.com/cidrerieleperemahieu/,https://maps.google.com/?cid=12368038145815947190,https://www.tripadvisor.com/Attraction_Review-g4737571-d2476893,https://untappd.com/w/le-p-re-mahieu/324018,49.5477465,-1.7151626,0
Cidres d'Auteurs,0,1,1,Inactive,,,,,,,48.0883137,-0.7481734,1
Domaine de Rugueville,0,1,1,Active,https://domainederugueville.fr/,https://www.facebook.com/profile.php?id=100057855811467,,https://maps.google.com/?cid=8320768846860943756,https://www.tripadvisor.com/Attraction_Review-g616116-d12491816,https://untappd.com/w/domaine-de-rugueville/222398,49.3610839,-1.6742373,0
Domaine Sicera,0,1,1,Active,https://www.sicera.fr/,https://www.facebook.com/cidresicera,https://www.instagram.com/domaine_sicera/,https://maps.google.com/?cid=5127145163687533245,,https://untappd.com/w/sicera/345757,49.3748041,0.6967289,0
Ferme de Cutesson,0,1,1,Active,,,,https://maps.google.com/?cid=14198095900648884855,,https://untappd.com/w/ferme-de-cutesson/307176,48.9245359,0.2160487,0
Ferme de l'Hermitière,0,1,1,Inactive,,,,,,,48.834672,-1.467015,1
Ferme du Petit Château,0,1,1,Active,,,,,,https://untappd.com/w/la-ferme-du-petit-chateau/404386,49.2899785,-0.6457572,0
Le Domaine du Tertre,0,1,1,Active,https://domaine-du-tertre.com/,https://www.facebook.com/le.tertre.officiel,https://www.instagram.com/domaine.du.tertre/,https://maps.google.com/?cid=10069708901253125019,,https://untappd.com/w/domaine-du-tertre/394887,48.6622435,0.4614076,0
Maison Hérout,0,1,1,Active,https://www.maisonherout.com/,https://www.facebook.com/cidres/,https://www.instagram.com/maisonherout/,https://maps.google.com/?cid=1426598113576371976,,https://untappd.com/w/m-a-herout/164919,49.2940012,-1.303545,0
Total,113,213,326,,,,,,,,,,
