ID,Style,Medal,Medalist,Medalist_Original,Entry,Town,Department,WID,Website,Facebook,Instagram,Google,TripAdvisor,Untappd,Latitude,Longitude
15,AOP Poiré Domfront,🥈 Argent,Pacory,GAEC des Grimaux,Pacory L'Idéal récolte 2022,Mantilly,Orne,1582,https://www.pacory.eu/,https://www.facebook.com/PacoryFermedesGrimaux,https://www.instagram.com/pacoryfermedesgrimaux,https://maps.google.com/?cid=15821520734729613945,,https://untappd.com/brewery/32360,48.5314059,-0.795102
16,Cidre,🥇 Or,Ferme Cidricole Desvoye,Cidrerie Desvoye,Ancestral extra-brut Bio récolte 2023,Beaufour-Druval,Calvados,2161,https://www.cidre-calvados-desvoye.fr/,https://www.facebook.com/profile.php?id=100015340218972,https://www.instagram.com/calvados_desvoye/,https://maps.google.com/?cid=9466556986578009265,https://www.tripadvisor.com/Attraction_Review-g14010617-d21111014,https://untappd.com/w/cidrerie-desvoye/264267,49.209316,0.008439
17,Cidre,🥇 Or,Ferme du Manoir du Val,EARL Courtoux Bourut,Le Manoir du Val Cidre demi-sec du Pays de la Risle Bio récolte 2023,Mesnil-en-Ouche,Eure,3315,https://www.manoirduval.fr/,,,https://maps.google.com/?cid=848420197404289170,,,49.02546,0.722805
18,Cidre,🥇 Or,Ferme Marcotte,Ferme Marcotte,Clos du Bourg Bio récolte 2023,Saint-Saire,Seine-Maritime,3366,http://marcotte.coop/,https://www.facebook.com/profile.php?id=100057365473102,,https://maps.google.com/?cid=15515441844251158681,,https://untappd.com/w/ferme-cooperative-marcotte/466175,49.6947533,1.490969
19,Cidre,🥇 Or,Famille Guesdon,GAEC de la Cave Normande,Tradition récolte 2023,Saint-Cyr du Bailleul,Manche,2697,https://famille-guesdon.com/,https://www.facebook.com/profile.php?id=100057212210806,https://www.instagram.com/lacavenormandeguesdon/,https://maps.google.com/?cid=13182761816105385497,,https://untappd.com/w/guesdon-p-re-et-fils/343009,48.5746579,-0.7975042
20,Cidre,🥇 Or,Cidrerie Michel Bréavoine,SARL Michel Bréavoine,Michel Bréavoine doux récolte 2023,Coudray Rabut,Calvados,1507,https://www.breavoine.fr/,https://www.facebook.com/cidrebreavoine/,https://www.instagram.com/cidrebreavoine/,https://maps.google.com/?cid=13497264920337240271,,https://untappd.com/w/cidrerie-michel-breavoine/123090,49.300695,0.186955
21,Cidre,🥇 Or,Ferme des Noës,SCEA Ferme des Noës,Ferme des Noës Fruité récolte 2022,Saint-Aubin-sur-Gaillon,Eure,2887,https://www.fermedesnoes.com/,,https://www.instagram.com/fermedesnoes/,https://maps.google.com/?cid=16067236232754040277,,https://untappd.com/w/ferme-des-no-s/72679,49.1301268,1.3281105
22,Cidre,🥈 Argent,Cidrerie Claids,Cidrerie Claids,Cidrerie Claids demi-sec récolte 2022,Saint-Patrice-de-Claids,Manche,3317,https://www.cidrerieclaids.fr/,https://www.facebook.com/cidrerieclaids/,https://www.instagram.com/cidrerieclaids/,https://maps.google.com/?cid=16896075272570280949,,https://untappd.com/w/cidrerie-claids/541066,49.2339556,-1.4258585
23,Cidre,🥈 Argent,Le Costil Rouge,Didier Gilbert,Le Costil Rouge demi-sec Bio récolte 2023,Airan,Calvados,3326,,,,https://maps.google.com/?cid=813458325751135495,,https://untappd.com/w/didier-gilbert/324320,49.101073,-0.151407
24,Cidre,🥈 Argent,Ferme du Manoir du Val,EARL Courtoux Bourut,Les Fermes de Gally Bio récolte 2023,Mesnil-en-Ouche,Eure,3315,https://www.manoirduval.fr/,,,https://maps.google.com/?cid=848420197404289170,,,49.02546,0.722805
25,Cidre,🥈 Argent,Ferme du Manoir du Val,EARL Courtoux Bourut,Le Manoir du Val Cidre doux du Pays de la Risle Bio récolte 2023,Mesnil-en-Ouche,Eure,3315,https://www.manoirduval.fr/,,,https://maps.google.com/?cid=848420197404289170,,,49.02546,0.722805
26,Cidre,🥈 Argent,Ferme Marcotte,Ferme Marcotte,Clos du Bourg Bio récolte 2023,Saint-Saire,Seine-Maritime,3366,http://marcotte.coop/,https://www.facebook.com/profile.php?id=100057365473102,,https://maps.google.com/?cid=15515441844251158681,,https://untappd.com/w/ferme-cooperative-marcotte/466175,49.6947533,1.490969
27,Cidre,🥈 Argent,Ferme de Cavelande,François-Xavier LEBOSQUAIN EI,Ferme de Cavelande Bio récolte 2021,Cresseveuille,Calvados,2164,https://www.fermedecavelande.fr/,,,https://maps.google.com/?cid=949032948010559518,,https://untappd.com/w/ferme-de-cavelande/465256,49.2339514,0.0084808
28,Cidre,🥈 Argent,Le Chai de la Baie,Le Chai de la Baie - Jacques Daunay,Le Chai de la Baie Summer cider Bio récolte 2023,Sartilly Baie Bocage,Manche,3368,,https://www.facebook.com/jacques.daunay50/,,https://maps.google.com/?cid=12654181407242940379,,https://untappd.com/w/le-chai-de-la-baie/471739,48.7402045,-1.4296969
29,Cidre,🥈 Argent,Manoir d'Apreval,Manoir d'Apreval,Manoir d'Apreval L'Enchanteur Bio récolte 2023,Pennedepie,Calvados,1377,https://www.apreval.com/,https://www.facebook.com/manoirdapreval/,https://www.instagram.com/manoirdapreval/,https://maps.google.com/?cid=10807770520098333687,https://www.tripadvisor.com/Attraction_Review-g2205406-d9715014,https://untappd.com/w/manoir-d-apreval/228726,49.4063622,0.1751606
30,Cidre,🥈 Argent,Ferme de la Sapinière,SCEA Cidricole de la Sapinière,Le Verger du Littoral Bio récolte 2022,Saint-Laurent-sur-Mer,Calvados,1913,https://www.producteur-cidre.com/,https://www.facebook.com/fermedelasapiniere/,,https://maps.google.com/?cid=13033032790677741913,https://www.tripadvisor.com/Attraction_Review-g1462420-d4961506,https://untappd.com/w/ferme-de-la-sapini-re/124296,49.3561555,-0.8754963
31,Cidre,🥈 Argent,Ferme des Noës,SCEA Ferme des Noës,Ferme des Noës Fruité récolte 2023,Saint-Aubin-sur-Gaillon,Eure,2887,https://www.fermedesnoes.com/,,https://www.instagram.com/fermedesnoes/,https://maps.google.com/?cid=16067236232754040277,,https://untappd.com/w/ferme-des-no-s/72679,49.1301268,1.3281105
32,Cidre,🥈 Argent,Domaine de la Galotière,SCEA La Galotière,La Galotière brut Bio récolte 2023,Crouttes,Orne,1183,https://www.lagalotiere.fr/,https://www.facebook.com/lagalotiere,,https://maps.google.com/?cid=3334578271943351430,https://www.tripadvisor.com/Attraction_Review-g608796-d12550194,https://untappd.com/w/domaine-de-la-galotiere/38855,48.923403,0.138481
33,Cidre,🥈 Argent,Ferme des Martellières,SCEA Les Vergers des Martellières,Les Martellières demi-sec Bio récolte 2023,Juvigny Val d'Andaine,Orne,3322,https://www.les-martellieres.com/,https://www.facebook.com/LesMartellieres.ProduitsCidricoles,,https://maps.google.com/?cid=13628777607608573968,,https://untappd.com/w/les-martellieres/291057,48.497685,-0.532571
34,Cidre,🥈 Argent,Ecomusée de la Pomme et du Cidre,Vincent Godefroy,Cidrerie Godefroy Cuvée Louise demi-sec récolte 2023,Bretteville du Grand Caux,Seine-Maritime,1577,https://www.ecomuseeducidre.fr/,,,https://maps.google.com/?cid=5707167707581907830,https://www.tripadvisor.com/Attraction_Review-g1572450-d3428587,https://untappd.com/w/vincent-et-marieclaire-godefroy/207560,49.6562671,0.378119
35,Cidre de glace,🥇 Or,Les Vergers du Quesnay,EARL Saint-JOSEPH,Les Vergers du Quesnay Bio récolte 2022,Pissy-Pôville,Seine-Maritime,3370,https://www.lesvergersduquesnay.fr/,https://www.facebook.com/profile.php?id=100058435991351,https://www.instagram.com/les_vergers_du_quesnay/,https://maps.google.com/?cid=15904214834922492181,,https://untappd.com/w/les-vergers-du-quesnay/228234,49.5329228,1.0095949
36,Cidre de glace,🥇 Or,Domaine des Hauts-Vents,SCEA des Hauts Vents - Alain CABOULET,Domaine des Hauts Vents récolte 2023,Saint-Ouen du Tilleul,Eure,2889,http://hautsvents.com/,https://www.facebook.com/CidreriedomaineDesHautsVents,https://www.instagram.com/domainedeshautsvents/,https://maps.google.com/?cid=3890633221204655265,https://www.tripadvisor.com/Attraction_Review-g661275-d6654230,https://untappd.com/w/domaine-des-hauts-vents/70064,49.3011577,0.9456953
37,Cidre de glace,🥈 Argent,Domaine de la Galotière,SCEA La Galotière,La Galotière Bio récolte 2022,Crouttes,Orne,1183,https://www.lagalotiere.fr/,https://www.facebook.com/lagalotiere,,https://maps.google.com/?cid=3334578271943351430,https://www.tripadvisor.com/Attraction_Review-g608796-d12550194,https://untappd.com/w/domaine-de-la-galotiere/38855,48.923403,0.138481
38,Cidre du Pays de Caux,🥇 Or,Le P'tit Clos Normand,EARL des Coudréaux - François-Xavier Craquelin,Le P'tit Clos Normand brut Bio récolte 2023,Rives en Seine,Seine-Maritime,3369,https://www.boeuf-cidre.com/,https://www.facebook.com/francoisxavier.craquelin/,,https://maps.google.com/?cid=13679042805577864069,,,49.523258,0.636541
39,Cidre du Pays de Caux,🥈 Argent,Les Normandises du Pradon,EARL du Pradon,Domaine du Pradon brut récolte 2022,Gonfreville l'Orcher,Seine-Maritime,3308,http://lesnormandisesdupradon.com/,https://www.facebook.com/lesnormandisesdupradon/,https://www.instagram.com/lesnormandisesdupradon/,https://maps.google.com/?cid=5034289693754776537,,https://untappd.com/w/ferme-du-pradon/228438,49.5159748,0.2338077
40,Cidre rosé,🥇 Or,Domaine Duclos Fougeray,SCEA Fougeray-Duclos,Denise L'Amoureuse récolte 2020,Saint-Michel d'Halescourt,Seine-Maritime,1178,https://www.duclosfougeray.com/,https://www.facebook.com/domaine.duclosfougeray,https://www.instagram.com/domaine_duclos_fougeray/,https://maps.google.com/?cid=12398185041013701779,,https://untappd.com/brewery/103532,49.6100938,1.664631
41,Cidre rosé,🥈 Argent,Les Vergers de Ducy,Domaine de La Flaguerie - Les Verger de Ducy,Les Vergers de Ducy récolte 2023,Ducy Sainte-Marguerite,Calvados,3321,https://lesvergersdeducy.fr/,https://www.facebook.com/LesVergersdeDucy/,,https://maps.google.com/?cid=5658619103463764772,https://www.tripadvisor.com/Attraction_Review-g5105596-d5012299,https://untappd.com/w/les-vergers-de-ducy/68480,49.2169875,-0.6242584
42,Cidre rosé,🥈 Argent,Cidrerie Dujardin,Les Celliers Associés,Dujardin rosé récolte 2023,Condé sur Vire,Manche,1142,http://www.cidres-dujardin.fr/,,,https://maps.google.com/?cid=10438887429258835490,,https://untappd.com/w/cidrerie-dujardin/20309,49.1198831,-0.721687
43,Cidre rosé,🥈 Argent,Le Pressoir d'Or,SARL Le Pressoir d'Or,Le Pressoir d'Or récolte 2023,Frenelle en Vexin,Eure,2689,http://www.pressoirdor.com/,,https://www.instagram.com/lepressoirdor/,https://maps.google.com/?cid=11174929092699381803,,https://untappd.com/w/le-pressoir-d-or/210218,49.2934642,1.4849943
44,Cidre tranquille,🥈 Argent,Le Pressoir d'Or,SARL Le Pressoir d'Or,Le Pressoir d'Or L'Adoré récolte 2023,Frenelle en Vexin,Eure,2689,http://www.pressoirdor.com/,,https://www.instagram.com/lepressoirdor/,https://maps.google.com/?cid=11174929092699381803,,https://untappd.com/w/le-pressoir-d-or/210218,49.2934642,1.4849943
45,IGP Cidre de Normandie,🥇 Or,Les Vergers de Ducy,Domaine de La Flaguerie - Les Verger de Ducy,La Flaguerie demi-sec Bio récolte 2023,Ducy Sainte-Marguerite,Calvados,3321,https://lesvergersdeducy.fr/,https://www.facebook.com/LesVergersdeDucy/,,https://maps.google.com/?cid=5658619103463764772,https://www.tripadvisor.com/Attraction_Review-g5105596-d5012299,https://untappd.com/w/les-vergers-de-ducy/68480,49.2169875,-0.6242584
46,IGP Cidre de Normandie,🥈 Argent,Manoir de Durcet,Manoir de Durcet,Manoir de Durcet doux récolte 2023,Magny le Désert,Orne,2487,https://www.breton-manoirdedurcet.fr/,https://www.facebook.com/manoirdedurcet/,https://www.instagram.com/manoirdedurcetgaec/,https://maps.google.com/?cid=3868969713989886200,,https://untappd.com/w/manoir-de-durcet/399555,48.5593722,-0.3313091
47,IGP Cidre de Normandie,🥈 Argent,Le Pressoir d'Or,SARL Le Pressoir d'Or,Le Pressoir d'Or Bio récolte 2023,Frenelle en Vexin,Eure,2689,http://www.pressoirdor.com/,,https://www.instagram.com/lepressoirdor/,https://maps.google.com/?cid=11174929092699381803,,https://untappd.com/w/le-pressoir-d-or/210218,49.2934642,1.4849943
48,IGP Cidre de Normandie,🥈 Argent,Le Pressoir d'Or,SARL Le Pressoir d'Or,Le Pressoir d'Or brut Bio récolte 2023,Frenelle en Vexin,Eure,2689,http://www.pressoirdor.com/,,https://www.instagram.com/lepressoirdor/,https://maps.google.com/?cid=11174929092699381803,,https://untappd.com/w/le-pressoir-d-or/210218,49.2934642,1.4849943
49,IGP Cidre de Normandie,🥈 Argent,Domaine Duclos Fougeray,SCEA Fougeray-Duclos,Denise La Brute Bio récolte 2020,Saint-Michel d'Halescourt,Seine-Maritime,1178,https://www.duclosfougeray.com/,https://www.facebook.com/domaine.duclosfougeray,https://www.instagram.com/domaine_duclos_fougeray/,https://maps.google.com/?cid=12398185041013701779,,https://untappd.com/brewery/103532,49.6100938,1.664631
50,IGP Cidre de Normandie pasteurisé,🥇 Or,Cidre Viard-Bayeux,Cidrerie Bayeux / Viard,Bayeux Cuvée signature doux récolte 2023,Guéron,Calvados,3318,https://cidrebayeux.com/,https://www.facebook.com/CidresBayeux,https://www.instagram.com/cidrerie_bayeux/,https://maps.google.com/?cid=13233255599279949282,https://www.tripadvisor.com/Attraction_Review-g187181-d3454062,https://untappd.com/w/cidrerie-viard/26008,49.2436576,-0.7038301
51,IGP Cidre de Normandie pasteurisé,🥇 Or,Cidre Écusson,ECLOR Boissons,Ecusson doux Bio récolte 2023,Livarot Pays d'Auge,Calvados,1143,https://www.cidre-ecusson.com/,https://www.facebook.com/CidreEcusson/,https://www.instagram.com/cidreecusson/,https://maps.google.com/?cid=16717845515481593007,,https://untappd.com/w/cidres-ecusson/15641,49.0130825,0.1532477
52,IGP Cidre de Normandie pasteurisé,🥈 Argent,Cidre Viard-Bayeux,Cidrerie Bayeux / Viard,La Pomme d'Aure doux récolte 2023,Guéron,Calvados,3318,https://cidrebayeux.com/,https://www.facebook.com/CidresBayeux,https://www.instagram.com/cidrerie_bayeux/,https://maps.google.com/?cid=13233255599279949282,https://www.tripadvisor.com/Attraction_Review-g187181-d3454062,https://untappd.com/w/cidrerie-viard/26008,49.2436576,-0.7038301
53,IGP Cidre de Normandie pasteurisé,🥈 Argent,Cidre Viard-Bayeux,Cidrerie Bayeux / Viard,Bayeux Cuvée signature brut récolte 2023,Guéron,Calvados,3318,https://cidrebayeux.com/,https://www.facebook.com/CidresBayeux,https://www.instagram.com/cidrerie_bayeux/,https://maps.google.com/?cid=13233255599279949282,https://www.tripadvisor.com/Attraction_Review-g187181-d3454062,https://untappd.com/w/cidrerie-viard/26008,49.2436576,-0.7038301
54,Poiré,🥇 Or,Ferme Cidricole Desvoye,Cidrerie Desvoye,Les Marnières Bio récolte 2022,Beaufour-Druval,Calvados,2161,https://www.cidre-calvados-desvoye.fr/,https://www.facebook.com/profile.php?id=100015340218972,https://www.instagram.com/calvados_desvoye/,https://maps.google.com/?cid=9466556986578009265,https://www.tripadvisor.com/Attraction_Review-g14010617-d21111014,https://untappd.com/w/cidrerie-desvoye/264267,49.209316,0.008439
55,Poiré,🥇 Or,Le Perrey Picot,David Gautard,Bio récolte 2023,Saint-Germain de Montgommery,Calvados,2903,,https://www.facebook.com/profile.php?id=100060685033668,,https://maps.google.com/?cid=6767746835247128514,,https://untappd.com/w/le-perrey-picot-didier-gautard/371620,48.9387874,0.1614298
56,Poiré,🥇 Or,Domaine Olivier,Thierry Olivier,Domaine Olivier Bio récolte 2022,La Ferrière aux Étangs,Orne,3372,https://www.ledomaineolivier.com/,,,https://maps.google.com/?cid=12832839833696798380,,https://untappd.com/w/domaine-olivier/337350,48.6498485,-0.5338754
57,Poiré,🥈 Argent,Les Vergers de Ducy,Domaine de La Flaguerie - Les Verger de Ducy,La Flaguerie Bio récolte 2022,Ducy Sainte-Marguerite,Calvados,3321,https://lesvergersdeducy.fr/,https://www.facebook.com/LesVergersdeDucy/,,https://maps.google.com/?cid=5658619103463764772,https://www.tripadvisor.com/Attraction_Review-g5105596-d5012299,https://untappd.com/w/les-vergers-de-ducy/68480,49.2169875,-0.6242584
58,Poiré,🥈 Argent,Pacory,GAEC des Grimaux,Pacory Vif et pétillant récolte 2023,Mantilly,Orne,1582,https://www.pacory.eu/,https://www.facebook.com/PacoryFermedesGrimaux,https://www.instagram.com/pacoryfermedesgrimaux,https://maps.google.com/?cid=15821520734729613945,,https://untappd.com/brewery/32360,48.5314059,-0.795102
59,Poiré,🥈 Argent,Breton Michel,Michel Breton,Bio récolte 2023,La Ferté Macé,Orne,3309,https://www.cidre-bretonmichel.com/,,,https://maps.google.com/?cid=12939236238538332078,,https://untappd.com/w/breton-michel/222629,48.5669746,-0.3738003
60,Poiré,🥈 Argent,Domaine des Hauts-Vents,SCEA des Hauts Vents - Alain CABOULET,Domaine des Hauts Vents récolte 2023,Saint-Ouen du Tilleul,Eure,2889,http://hautsvents.com/,https://www.facebook.com/CidreriedomaineDesHautsVents,https://www.instagram.com/domainedeshautsvents/,https://maps.google.com/?cid=3890633221204655265,https://www.tripadvisor.com/Attraction_Review-g661275-d6654230,https://untappd.com/w/domaine-des-hauts-vents/70064,49.3011577,0.9456953
