ID,Category,Award,Medalist,Entry,Points,Country
12,Sparkling,🏆 Best of Category,Farmhouse Torgglerhof,Anderdog Apfelcider,112,Italy
15,Sparkling,🥇 Gold,Veitlbauer Genussmosthof,Apfel Schampus,111,Austria
19,Sparkling,🥇 Gold,Maley,Sidro Classicum Rifugio Teodulo,110,Italy
23,Sparkling,🥇 Gold,Azienda Agricola dell Fatti Laura,Melagodo Spumante di Mela Extra Dry,110,Italy
34,Sparkling,🥈 Silver,Angry Orchard,The Muse,105,United States
36,Sparkling,🥈 Silver,Legacy Irish Cider,Legacy Irish Cider Medium Dry,104,Ireland
39,Sparkling,🥈 Silver,Weidmann & Groh,Grohsecco,103,Germany
40,Sparkling,🥈 Silver,Azienda Agricola Docendo Discitur,2018 Alma Cider Extra Brut,102,Italy
44,Sparkling,🥈 Silver,Angry Orchard,2017 Baldwin,101,United States
45,Sparkling,🥈 Silver,Sidra Somarroza,Somarroza Sidra Espumosa Dulce,101,Spain
48,Sparkling,🥈 Silver,Ulvik Frukt & Cideri,Kvitanesen Poesider,100,Norway
49,Sparkling,🥈 Silver,Manufactur Apfeltraum,Roter Adam Selection Ortenberg,100,Germany
50,Sparkling,🥈 Silver,Obstbau & Kelterei Schmitt,Apfelperlwein,100,Germany
51,Sparkling,🥈 Silver,Egge Gaard,Liersider,100,Norway
52,Sparkling,🥈 Silver,Egge Gaard,Ektesider,100,Norway
58,Sparkling,🥈 Silver,Abavas Winery,Abavas Apple Premium Brut,99,Latvia
59,Sparkling,🥈 Silver,Ramborn Cider Co.,Ramborn Original Medium Dry Cider,99,Luxembourg
60,Sparkling,🥈 Silver,Obsthof und Weingut Franz Xaver,Frecher Franz,99,Germany
61,Sparkling,🥈 Silver,Grupo El Gaitero,Pomarina Brut,99,Spain
64,Sparkling,🥈 Silver,Sidro Vittoria,Sidro Vittoria Italien Bloom,98,Italy
65,Sparkling,🥈 Silver,Farmhouse Torgglerhof,Mali Apfelcider,98,Italy
66,Sparkling,🥈 Silver,A. K. Cider,Cider Sweet Strong,98,Czech Republic
72,Sparkling,🥉 Honor,Grupo El Gaitero,El Gaitero Spanish Cider,96,Spain
81,Sparkling,🥉 Honor,Petritegi Sagardoak 2011,Petritegi Aparduna 18 Meses,93,Spain
88,Sparkling,🥉 Honor,Abavas Winery,Abavas Apple Medium Cider,89,Latvia
90,Sparkling,🥉 Honor,Angry Orchard,Crisp Apple,89,United States
91,Sparkling,🥉 Honor,Ulvik Frukt & Cideri,Gravenstein Hakastadsider,88,Norway
92,Sparkling,🥉 Honor,Adam & Eva Bodensee Cider,Eva,88,Germany
96,Sparkling,🥉 Honor,Maley,Cidre Jorasses Classicum,87,Italy
97,Sparkling,🥉 Honor,Floribunda,Cider alla Mela,86,Italy
103,Sparkling,🥉 Honor,Angry Orchard,2017 Newtown Pippin,84,United States
109,Sparkling,🥉 Honor,Hogan's Cider,Hogan's Killer Sharp Cider,81,England
111,Sparkling,🥉 Honor,Adam & Eva Bodensee Cider,Adam,80,Germany
4,Mixed & Flavoured,🏆 Best of Category,Hogan's Cider,Hogan's Libertine Cider,117,England
7,Mixed & Flavoured,🥇 Gold,Blakstoc Cider,Wild Tree Hoppy Cider,114,Austria
8,Mixed & Flavoured,🥇 Gold,Bear Cider,Bear Cider Dry Hopped,114,Netherlands
16,Mixed & Flavoured,🥇 Gold,Blakstoc Cider,Ginger for my Honey,111,Austria
24,Mixed & Flavoured,🥇 Gold,Mosterei Möhl,Ciderclan Punch Apple Cider,110,Switzerland
25,Mixed & Flavoured,🥇 Gold,Prosequ Quitte pur,Quittenwein,110,Austria
28,Mixed & Flavoured,🥇 Gold,Blakstoc Cider,Quincy Jo & Hops Edition,109,Austria
30,Mixed & Flavoured,🥈 Silver,InCide Drinks,InCider Holunder,108,Germany
31,Mixed & Flavoured,🥈 Silver,Balholm,Handverkcider med Humle,107,Norway
35,Mixed & Flavoured,🥈 Silver,Abavas Winery,Abavas Hopped Apple Cider,105,Latvia
43,Mixed & Flavoured,🥈 Silver,Reverend Nat's,Reverend Nat's Revival Hard Apple,102,United States
46,Mixed & Flavoured,🥈 Silver,Grupo El Gaitero,El Gaitero with Red Grape Juice,101,Spain
53,Mixed & Flavoured,🥈 Silver,Mosterei Möhl,Ciderclan Grape Apple Cider,100,Switzerland
54,Mixed & Flavoured,🥈 Silver,Reverend Nat's,Reverend Nat's Viva la Pineapple,100,United States
55,Mixed & Flavoured,🥈 Silver,Echt Brombachseer,Echt Brombachseer Apfel-Rosé,100,Germany
69,Mixed & Flavoured,🥈 Silver,Peripherique pq world,Wilder Hirsch Holunder,97,Germany
74,Mixed & Flavoured,🥉 Honor,Reverend Nat's,Reverend Nat's Sacrilege Sour Cherry,96,United States
76,Mixed & Flavoured,🥉 Honor,Haldenhof,Hofmost Apfel-Quitte,95,Germany
80,Mixed & Flavoured,🥉 Honor,Ramborn Cider Co.,Ramborn Cascade Hopped Cider,94,Luxembourg
82,Mixed & Flavoured,🥉 Honor,Blakstoc Cider,Buddhas Hard Lemon Cider,93,Austria
105,Mixed & Flavoured,🥉 Honor,Sidra Somarroza,La Sidruca Limón,83,Spain
110,Mixed & Flavoured,🥉 Honor,Trinkkultur MSG,Pica Pica Cider Apfel Birne,81,Germany
22,Sparkling Mixed & Flavoured,🏆 Best of Category,Gutshof Kraatz,2017 Birnensecco,110,Germany
33,Sparkling Mixed & Flavoured,🥈 Silver,Haußler – Hinterespig,Prickel-Kirsch,106,Germany
37,Sparkling Mixed & Flavoured,🥈 Silver,Weidmann & Groh,Cydonia,104,Germany
41,Sparkling Mixed & Flavoured,🥈 Silver,Ramborn Cider Co.,Ramborn Perry,102,Luxembourg
42,Sparkling Mixed & Flavoured,🥈 Silver,Haldenhof,Ostalb-Secco Cassis,102,Germany
68,Sparkling Mixed & Flavoured,🥈 Silver,Egge Gaard,Rosesider,97,Norway
73,Sparkling Mixed & Flavoured,🥉 Honor,Tori Joesuu Siidri – Ja Veinitalu Oy,Tori Siidritall,96,Estonia
79,Sparkling Mixed & Flavoured,🥉 Honor,Haußler – Hinterespig,Naturmädel – mein Cider,94,Germany
89,Sparkling Mixed & Flavoured,🥉 Honor,Floribunda,Cider alla Cotogna,89,Italy
93,Sparkling Mixed & Flavoured,🥉 Honor,Abavas Winery,Abavas Rhubarb Sparkling Wine,88,Latvia
94,Sparkling Mixed & Flavoured,🥉 Honor,Pomolo Obstweine,Apfel-Mispelsecco,88,Germany
99,Sparkling Mixed & Flavoured,🥉 Honor,Hogan's Cider,Hogan's Vintage Cider,85,England
107,Sparkling Mixed & Flavoured,🥉 Honor,Ramborn Cider Co.,Ramborn Apple and Quince Blend,82,Luxembourg
2,Ice Cider,🏆 Best of Category,Sidra Cortina,Sidra de Hielo,118,Spain
5,Ice Cider,🥇 Gold,Amorella Kirsch-Manufaktur,2018 Amorella Kirsch Reserve,116,Germany
9,Ice Cider,🥇 Gold,Manufaktur Jörg Geiger,!Wehmut,114,Germany
10,Ice Cider,🥇 Gold,A. K. Cider,” Š ” Rosa Canina Wine,114,Czech Republic
11,Ice Cider,🥇 Gold,Ramborn Cider Co.,2016 Ramborn Bourbon Barrel Aged Still Cider,113,Luxembourg
13,Ice Cider,🥇 Gold,Egge Gaard,Iseple,112,Norway
14,Ice Cider,🥇 Gold,Egge Gaard,Ung,111,Norway
17,Ice Cider,🥇 Gold,Zapiain,2015 Bizi-Goxo,111,Spain
20,Ice Cider,🥇 Gold,Krenzers Rhön,Krenzers Apfeldessertwein Barriquefass,110,Germany
29,Ice Cider,🥈 Silver,Krenzers Rhön,Krenzers Apfel Dessertwein Rambour-Äpfel,108,Germany
47,Ice Cider,🥈 Silver,Fruchtweine Narzt,Marillenwein,101,Austria
70,Ice Cider,🥈 Silver,Angry Orchard,Ice Cider 2014/2017,97,United States
78,Ice Cider,🥉 Honor,Krenzers Rhön,Krenzers Apfel Klassik halbtrocken,94,Germany
85,Ice Cider,🥉 Honor,Götti,Götti Bourbon Cider,91,Switzerland
106,Ice Cider,🥉 Honor,Angry Orchard,Wooden Sleeper,83,United States
