ID,Category,Award,Medalist,Entry,Points,Country,Order
105,Still,🥉 Honor,Born in teh Wetterau,Apfelwein pur,86,Germany,
106,Still,🥉 Honor,JM Cider House,Red Brook Original,85,Czech Republic,
110,Still,🥉 Honor,Finnbarra Cider,Medium Dry,84,Ireland,
115,Still,🥉 Honor,Grupo El Gaitero,Sidra Natural,82,Spain,
116,Still,🥉 Honor,Adeca Co.,Cider Tsugaru Nouveau,81,Japan,
3,Sparkling,🏆 Best of Category,Apfelundwein – Oberjosbach,2014 Selektion Ontario-Apfel Flaschengärung,115,Germany,
13,Sparkling,🥇 Gold,Akre Gard,Edel Eplesider 12%,110,Norway,
14,Sparkling,🥇 Gold,Staatsweingut Weinsberg,Apfelsecco,110,Germany,
21,Sparkling,🥇 Gold,Kelterei Gerog Herberth,Apfel-Klassiker herb,109,Germany,
23,Sparkling,🥈 Silver,Egge Gaard,Ekte Sider,108,Norway,
24,Sparkling,🥈 Silver,Egge Gaard,Liersider,108,Norway,
32,Sparkling,🥈 Silver,Les Vergers de Kermao,Cidre AOP Cournouaille,104,France,
43,Sparkling,🥈 Silver,Menez Brug,Cidre AOP Cournouaille,102,France,
45,Sparkling,🥈 Silver,Obsthof Krieger,Bohnapfelschaumwein trocken,102,Germany,
46,Sparkling,🥈 Silver,La Française d'Exportation,French Cider Brut,102,France,
47,Sparkling,🥈 Silver,Grupo El Gaitero,Pomarina Brut,102,Spain,
49,Sparkling,🥈 Silver,Domaine Lesuffleur,Friandel,99,France,
58,Sparkling,🥈 Silver,Mosterei Möhl,Cuvée Jean-Georges,98,Switzerland,
59,Sparkling,🥈 Silver,Manufactur Apfeltraum,Roter Adam Selection Altes Land,98,Germany,
64,Sparkling,🥉 Honor,Maley,Cidre Matterhorn,96,Italy,
66,Sparkling,🥉 Honor,Grupo El Gaitero,Sidra Brut Natur,96,Spain,
72,Sparkling,🥉 Honor,Quebrada del Chucao,Cidre Brut,94,Chile,
74,Sparkling,🥉 Honor,Angry Orchard,Crisp Apple,94,United States,
75,Sparkling,🥉 Honor,Hofkellerei Maffei,Iduna Apfel Cider,93,Italy,
78,Sparkling,🥉 Honor,Tamura Farm,Kogyoko & Toki,92,Japan,
81,Sparkling,🥉 Honor,Angry Orchard,Orchard Cuvée 02,92,United States,
87,Sparkling,🥉 Honor,Floribunda,Cider alla Mela,90,Italy,
92,Sparkling,🥉 Honor,Hubert Bonell,Paladeus,89,Italy,
96,Sparkling,🥉 Honor,Maley,Cidre du Saint Bernard,88,Italy,
98,Sparkling,🥉 Honor,Apfelundwein – Oberjosbach,Winterapfel Hilde Flaschengärung,87,Germany,
107,Sparkling,🥉 Honor,Hubert Bonell,Paladeus Gold,85,Italy,
109,Sparkling,🥉 Honor,Angry Orchard,Dear Brittany,85,United States,
111,Sparkling,🥉 Honor,Azienda Agricola dell Fatti Laura,Melagodo Extra Dry,84,Italy,
113,Sparkling,🥉 Honor,Tamura Farm,Kurenai no yume,83,Japan,
114,Sparkling,🥉 Honor,Tamura Farm,Kogyoku,82,Japan,
5,Mixed & Flavoured,🏆 Best of Category,Haußler – Hinterespig,Apfel-Quitte-Secco,114,Germany,
6,Mixed & Flavoured,🏆 Best of Category,Pomolo Obstweine,Apfel-Mispel-Secco,114,Germany,
10,Mixed & Flavoured,🥇 Gold,Finnbarra Cider,Rós,111,Ireland,
11,Mixed & Flavoured,🥇 Gold,Horn Cider,Freju*,110,Denmark,
12,Mixed & Flavoured,🥇 Gold,Pomolo Obstweine,Apfel-Quitte-Secco,110,Germany,
15,Mixed & Flavoured,🥇 Gold,La Française d'Exportation,French Cider – Pear,110,France,
16,Mixed & Flavoured,🥇 Gold,Gutshof Kraatz,Schaumwein Mostbirne,109,Germany,
18,Mixed & Flavoured,🥇 Gold,Akre Gard,Edel Rosésicer,109,Norway,
19,Mixed & Flavoured,🥇 Gold,Tempted Cider Company,Edelflower Cider,109,Ireland,
20,Mixed & Flavoured,🥇 Gold,Kelterei Georg Herberth,Pink Apple,109,Germany,
22,Mixed & Flavoured,🥇 Gold,Hohenloher Schaumweine,Campano Qui,109,Germany,
27,Mixed & Flavoured,🥈 Silver,Hohenloher Schaumweine,Pyrus,107,Germany,
29,Mixed & Flavoured,🥈 Silver,Angry Orchard,Rosé,106,United States,
34,Mixed & Flavoured,🥈 Silver,Prosequ Quitte pur,Quittenschaumwein,104,Austria,
36,Mixed & Flavoured,🥈 Silver,Abavas Family Winery,Hopped Apple Cider,103,Latvia,
37,Mixed & Flavoured,🥈 Silver,Egge Gaard,Rosé Sider,103,Norway,
41,Mixed & Flavoured,🥈 Silver,Echt Brombachseer,Bohnapfel mit Quitte,103,Germany,
44,Mixed & Flavoured,🥈 Silver,Ramborn Cider Co.,Cascade Hopped Cider,102,Luxembourg,
51,Mixed & Flavoured,🥈 Silver,Pomolo Obstweine,Apfel-Speierling-Secco,99,Germany,
52,Mixed & Flavoured,🥈 Silver,Manufaktur Conrad,Birnenwein-Cuvée,99,Germany,
55,Mixed & Flavoured,🥈 Silver,The Cotswold Cider Co.,Blow Horn Spice,98,England,
61,Mixed & Flavoured,🥈 Silver,Bembel-with-Care,Apfelwein Gold,97,Germany,
62,Mixed & Flavoured,🥈 Silver,Angry Orchard,The Muse,97,United States,
65,Mixed & Flavoured,🥉 Honor,Angry Orchard,Understood in Motion 01,96,United States,
69,Mixed & Flavoured,🥉 Honor,Hofkellerei Maffei,Iduna Apfel Quitten Cider,94,Italy,
70,Mixed & Flavoured,🥉 Honor,Cold Hand Winery,Prunella Sparkling Plums,94,Denmark,
76,Mixed & Flavoured,🥉 Honor,Mosterei Möhl,Swizly,93,Switzerland,
84,Mixed & Flavoured,🥉 Honor,Ramborn Cider Co.,Perry,91,Luxembourg,
85,Mixed & Flavoured,🥉 Honor,Blakstoc Cider,Wild Tree Hoppy Cider,91,Austria,
86,Mixed & Flavoured,🥉 Honor,Bayside Brands,Rosé Cider,90,England,
88,Mixed & Flavoured,🥉 Honor,JM Cider House,Red Brook – Red Fruit,90,Czech Republic,
89,Mixed & Flavoured,🥉 Honor,Kystin,Cuvée XVII,90,France,
99,Mixed & Flavoured,🥉 Honor,Amorella Kirsch Manufaktur,Amorella Kirschschaumwein halbtrocken,87,Germany,
102,Mixed & Flavoured,🥉 Honor,Tatuv Sad,Chmeleny,87,Czech Republic,
103,Mixed & Flavoured,🥉 Honor,Dr. Höhl's,Pomp Classic,86,Germany,
104,Mixed & Flavoured,🥉 Honor,Echt Brombachseer,Allmühlfränkischer Apfel Rosé,86,Germany,
112,Mixed & Flavoured,🥉 Honor,Longways Cider Co.,Elderflower Frizzante,83,Ireland,
2,Ice Cider,🏆 Best of Category,Mosterei Seiz,Perano Birnendessertwein,119,Germany,
4,Ice Cider,🥇 Gold,Zapiain,Bizi-Goxo,115,Spain,
7,Ice Cider,🥇 Gold,Appelsche,Main Appelretiv Medium,114,Germany,
8,Ice Cider,🥇 Gold,Finnbarra Cider,Tawny,112,Ireland,
9,Ice Cider,🥇 Gold,Egge Gaard,Iseple,111,Norway,
17,Ice Cider,🥇 Gold,Amorella Kirsch Manufaktur,Amorella Kirsch-Dessertwein,109,Germany,
26,Ice Cider,🥈 Silver,Cold Hand Winery,Prunus Nigra,108,Denmark,
28,Ice Cider,🥈 Silver,Mosterei Seiz,Manzano Apfeldessertwein,107,Germany,
35,Ice Cider,🥈 Silver,Cold Hand Winery,2013 Malus Danica,104,Denmark,
39,Ice Cider,🥈 Silver,Akre Gard,Edel Is-sider,103,Norway,
40,Ice Cider,🥈 Silver,Grand Pré Winery,Pomme d'Or Ice Cider,103,Canada,
48,Ice Cider,🥈 Silver,Cold Hand Winery,Pyrus Danica,101,Denmark,
68,Ice Cider,🥉 Honor,Mosterei Seiz,Membrillo Quittendessertwein,95,Germany,
73,Ice Cider,🥉 Honor,Echt Brombachseer,Brombachseer Bergapfel,94,Germany,
80,Ice Cider,🥉 Honor,Krenzer Rhön,Whiskeyfass halbtrocken Klimawandel,92,Germany,
82,Ice Cider,🥉 Honor,Brinkhall Sparkling Oy,Eeva M.,91,Finland,
95,Ice Cider,🥉 Honor,Appelsche,Main Appelretiv herb,89,Germany,
101,Ice Cider,🥉 Honor,Tamura Farm,Extremely Sweet,87,Japan,
108,Ice Cider,🥉 Honor,Krenzers Rhön,2007 Whiskeyfass edelsüß,85,Germany,
