ID,Category,Award,Medalist,Country,Entry,Points,WID,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
14,Still,🥈 SILVER,Rote Pumpe,Germany,Bad Nauheimer Goldstein,104.5,3060,https://rote-pumpe.de/,https://www.facebook.com/RotePumpeStrausswirtschaft/,https://www.instagram.com/rotepumpe/,https://maps.google.com/?cid=11686005875191354066,https://www.tripadvisor.com/Restaurant_Review-g198575-d12423100,https://untappd.com/w/rote-pumpe-kelterei-gbr/332443
15,Still,🥈 SILVER,Weidmann & Groh,Germany,Goldparmäne,104,1343,https://weidmann-groh.de/,https://www.facebook.com/pages/WEIDMANN-GROH/138116339592327,,https://maps.google.com/?cid=6569120976887073603,,https://untappd.com/w/weidmann-groh/73065
16,Still,🥈 SILVER,Petritegi,Spain,Alai,102,1171,https://www.petritegi.com/,https://www.facebook.com/Petritegi/,https://www.instagram.com/petritegi,https://maps.google.com/?cid=16425101977693923721,https://www.tripadvisor.com/Restaurant_Review-g1064182-d2266030,https://untappd.com/brewery/51639
17,Still,🥈 SILVER,Die Mostbarone,Austria,Gourmetmost Preh,101.5,1548,https://www.seppelbauer.at/,https://www.facebook.com/pages/Seppelbauers-Obstparadies/208933892492272,https://www.instagram.com/seppelbauer/,,,https://untappd.com/w/mostheuriger-seppelbauer-datzberger/309349
18,Still,🥈 SILVER,Kelterei Nagel,Germany,Apfelwein,101.5,3061,https://www.kelterei-nagel.de/,https://www.facebook.com/kelterei.nagel/,https://www.instagram.com/kelterei.nagel/,https://maps.google.com/?cid=7391262693371148059,,https://untappd.com/w/kelterei-nagel/498918
19,Still,🥈 SILVER,Pomologik,Sweden,Signe Tillisch,101,2397,https://www.pomologik.se/,https://www.facebook.com/pomologik,https://www.instagram.com/Pomologik/,https://maps.google.com/?cid=17836181822390207936,,https://untappd.com/Pomologik_swe
20,Still,🥈 SILVER,Kühbrein,Austria,KühbreinMost Schafnase,99.5,2396,https://www.kuehbreinmost.at/,https://www.facebook.com/KuhbreinMost/,https://www.instagram.com/kuehbrein__/,https://maps.google.com/?cid=6347288815375920345,,https://untappd.com/w/k-hbrein/425089
21,Still,🥈 SILVER,Bereziartua,Spain,Bereziartua Edición Gourmet,99.5,1168,https://www.bereziartuasagardoa.com/,https://www.facebook.com/Bereziartua,https://www.instagram.com/SBereziartua/,https://maps.google.com/?cid=4287840169739792051,https://www.tripadvisor.com/Restaurant_Review-g1064182-d6740859,https://untappd.com/brewery/7553
22,Still,🥈 SILVER,Kühbrein,Austria,KühbreinMost Champagner Renette,99.5,2396,https://www.kuehbreinmost.at/,https://www.facebook.com/KuhbreinMost/,https://www.instagram.com/kuehbrein__/,https://maps.google.com/?cid=6347288815375920345,,https://untappd.com/w/k-hbrein/425089
23,Still,🥈 SILVER,Valle Ballina y Fernandez,Spain,Sidra El Gaitero Natural,96.5,1314,https://www.sidraelgaitero.com/,https://www.facebook.com/grupoelgaitero,https://www.instagram.com/grupoelgaitero/,https://maps.google.com/?cid=15753532318992345137,https://www.tripadvisor.com/Attraction_Review-g608997-d3239389,https://untappd.com/brewery/4266
24,Still,🥉 HONOR,Abuls,Latvia,Kerr Single Variety,96,2361,https://www.abuls.lv/,https://www.facebook.com/sidrsAbuls/,https://www.instagram.com/abuls_sidrs/,https://maps.google.com/?cid=12371654123090416644,,https://untappd.com/Abuls
25,Still,🥉 HONOR,Kelterei Nöll,Germany,Sortenreiner Apfeltischwein Cox Orange,94.5,1228,https://www.noell-apfelwein.de/,,https://www.instagram.com/kelterei_noell/,https://maps.google.com/?cid=15101379986682699392,,https://untappd.com/w/kelterei-noll/77471
26,Still,🥉 HONOR,Bereziartua,Spain,Sidra Bereziartua,92,1168,https://www.bereziartuasagardoa.com/,https://www.facebook.com/Bereziartua,https://www.instagram.com/SBereziartua/,https://maps.google.com/?cid=4287840169739792051,https://www.tripadvisor.com/Restaurant_Review-g1064182-d6740859,https://untappd.com/brewery/7553
27,Still,🥉 HONOR,Hardanger Saft og Siderfabrikk,Norway,Hardangersider Tørr,92,3010,https://hardangersider.no/,https://www.facebook.com/HardangerSaftogSiderfabrikk/,https://www.instagram.com/hardangersaftogsiderfabrikk/,https://maps.google.com/?cid=12869878933054305699,https://www.tripadvisor.com/Attraction_Review-g7159542-d4893441,https://untappd.com/w/hardanger-saft-og-siderfabrikk/42913
28,Still,🥉 HONOR,Obstbau & Kelterei Schmitt,Germany,Viez von der Saar,90.5,2710,https://www.obstbau-schmitt.de/,,,https://maps.google.com/?cid=17233320390791040809,,
29,Still,🥉 HONOR,Die Mostbarone,Austria,Gourmetmost Brous,88.5,1548,https://www.seppelbauer.at/,https://www.facebook.com/pages/Seppelbauers-Obstparadies/208933892492272,https://www.instagram.com/seppelbauer/,,,https://untappd.com/w/mostheuriger-seppelbauer-datzberger/309349
30,Still,🥉 HONOR,Kelterei Possmann,Germany,Frau Rauscher Naturtrüber Äpfelwein,88.5,1146,https://www.possmann.de/,https://www.facebook.com/possmann.apfelwein/,https://www.instagram.com/possmann_apfelwein/,https://maps.google.com/?cid=7171120638194976908,https://www.tripadvisor.com/Attraction_Review-g187337-d591782,https://untappd.com/w/kelterei-possmann/6861
31,Still,🥉 HONOR,Haußler Hinterespig,Germany,Hohenloher Moschd Der Fruchtige,88,3053,https://www.haussler-hinterespig.de/,https://www.facebook.com/HausslerHinterespig/,https://www.instagram.com/Hausslerhinterespig/,https://maps.google.com/?cid=3418392653274902613,,https://untappd.com/w/haussler-hinterespig/405644
32,Still,🥉 HONOR,Bereziartua,Spain,Bereziartua Eco,87.5,1168,https://www.bereziartuasagardoa.com/,https://www.facebook.com/Bereziartua,https://www.instagram.com/SBereziartua/,https://maps.google.com/?cid=4287840169739792051,https://www.tripadvisor.com/Restaurant_Review-g1064182-d6740859,https://untappd.com/brewery/7553
33,Still,🥉 HONOR,Die Mostbarone,Austria,Gourmetmost Exibatur,86.5,1548,https://www.seppelbauer.at/,https://www.facebook.com/pages/Seppelbauers-Obstparadies/208933892492272,https://www.instagram.com/seppelbauer/,,,https://untappd.com/w/mostheuriger-seppelbauer-datzberger/309349
34,Still,🥉 HONOR,Kelterei Herberth,Germany,Herberth Braeburn,86.5,1330,http://www.herberth.de/,,https://www.instagram.com/kelterei_herberth/,https://maps.google.com/?cid=2797968598057029562,,https://untappd.com/w/kelterei-herberth/77482
35,Still,🥉 HONOR,Gutshof Kraatz,Germany,Zwei Schwestern,86,2825,https://gutshof-kraatz.de/,https://www.facebook.com/GutshofKraatz/,https://www.instagram.com/gutshof_kraatz/,https://maps.google.com/?cid=4340203013602665820,https://www.tripadvisor.com/Restaurant_Review-g12097270-d10525275,https://untappd.com/w/kelterei-gutshof-kraatz/210948
36,Still,🥉 HONOR,Sidra Somarroza,Spain,Capricho de Somarroza,85.5,1921,https://sidrasomarroza.es/,https://www.facebook.com/sidrasomarroza,https://www.instagram.com/sidrasomarroza/,https://maps.google.com/?cid=7109045394192195825,,https://untappd.com/w/somarroza/147830
37,Still,🥉 HONOR,Birkenhof Hofheim,Germany,Taunus Cidre,83.5,3054,https://www.taunusobst.de/,https://www.facebook.com/taunusobst,https://www.instagram.com/birkenhof.hofheim/,https://maps.google.com/?cid=7818052659804734828,,
38,Spirit,🥇 GOLD,Stahringer Streuobstmosterei,Germany,Birnoh,118,3030,https://streuobstmosterei.de/,,,https://maps.google.com/?cid=13148909559243530151,,https://untappd.com/w/stahringer-streuobstmosterei/467525
39,Spirit,🥇 GOLD,EBD Group,Estonia,Atla Reserve,116,3169,https://www.atla-naps.ee/,https://www.facebook.com/estoniabd,,https://maps.google.com/?cid=880060392694261182,,
40,Spirit,🥇 GOLD,Die Mostbarone,Austria,Prima Pira Birnenbrand,112,1548,https://www.seppelbauer.at/,https://www.facebook.com/pages/Seppelbauers-Obstparadies/208933892492272,https://www.instagram.com/seppelbauer/,,,https://untappd.com/w/mostheuriger-seppelbauer-datzberger/309349
41,Spirit,🥈 SILVER,Pomologik,Sweden,Ingrid Marie XO,105,2397,https://www.pomologik.se/,https://www.facebook.com/pomologik,https://www.instagram.com/Pomologik/,https://maps.google.com/?cid=17836181822390207936,,https://untappd.com/Pomologik_swe
42,Spirit,🥉 HONOR,Hardanger Saft og Siderfabrikk,Norway,Hardanger Eplebrennevin Apal,92.5,3010,https://hardangersider.no/,https://www.facebook.com/HardangerSaftogSiderfabrikk/,https://www.instagram.com/hardangersaftogsiderfabrikk/,https://maps.google.com/?cid=12869878933054305699,https://www.tripadvisor.com/Attraction_Review-g7159542-d4893441,https://untappd.com/w/hardanger-saft-og-siderfabrikk/42913
43,Spirit,🥉 HONOR,La Maison Ferré,France,La Réserve de Pierre,87.5,2551,https://www.lamaisonferre.fr/,https://www.facebook.com/cidreduperche,https://www.instagram.com/la_maison_ferre,https://maps.google.com/?cid=13764361049917258070,https://www.tripadvisor.com/Attraction_Review-g4926524-d23694021,https://untappd.com/w/la-maison-ferrac/161574
44,Sparkling,🥇 GOLD,Natur und Mohr,Germany,Obstschäumle Weinbirnen-Secco,118.5,3058,https://naturundmohr.de/,https://www.facebook.com/naturundmohrshop/,https://www.instagram.com/naturundmohr/,https://maps.google.com/?cid=1442772049758910733,,
45,Sparkling,🥇 GOLD,Sommerbauer Edelmost,Austria,Sommerbauer Edelmost Apfelschaumwein,117,3063,https://www.sommerbauer-most.at/,https://www.facebook.com/sommerbaueredelmost/,https://www.instagram.com/sommerbaueredelmost/,https://maps.google.com/?cid=12366001650524549047,,
46,Sparkling,🥇 GOLD,Rosecker Streuobst,Germany,Rosecker Perry Pear-Cider,116,3064,https://rosecker.de/,https://www.facebook.com/profile.php?id=100063624007399,https://www.instagram.com/rosecker_streuobst/,,,https://untappd.com/w/rosecker/476876
47,Sparkling,🥇 GOLD,Ebbelboi,Germany,Ebbelboi Cider Original,115.5,2804,https://www.ebbelboi.com/,,https://www.instagram.com/ebbelboi.de/,https://maps.google.com/?cid=12712207984342946205,,https://untappd.com/w/ebbelboi/540160
48,Sparkling,🥇 GOLD,Guillaume & Co,Switzerland,Sweet Simplon,115,3065,https://www.guillaumecider.ch/,,https://www.instagram.com/guillaumecider/,https://maps.google.com/?cid=1089223546118021147,,
49,Sparkling,🥇 GOLD,Nerø Frukt og Sider,Norway,Vill & Villig,114.5,2606,https://www.nerofrukt.no/,https://www.facebook.com/people/NeR%C3%B8-Frukt-og-Sider/100070115946607/,https://www.instagram.com/nerofrukt/,https://maps.google.com/?cid=2060180241711172985,,https://untappd.com/w/nero-frukt-og-sider/467847
50,Sparkling,🥇 GOLD,Rosecker Streuobst,Germany,Rosecker Cloudy Cider,114.5,3064,https://rosecker.de/,https://www.facebook.com/profile.php?id=100063624007399,https://www.instagram.com/rosecker_streuobst/,,,https://untappd.com/w/rosecker/476876
51,Sparkling,🥇 GOLD,Quinta da Moscadinha,Portugal,Quinta da Moscadinha Sparkling Aged Cider,114.5,3031,https://quintadamoscadinha.com/,https://www.facebook.com/quintadamoscadinha,https://www.instagram.com/moscadinha,https://maps.google.com/?cid=1405442820439409429,https://www.tripadvisor.com/Hotel_Review-g1190962-d23314913,https://untappd.com/w/quinta-da-moscadinha/538582
52,Sparkling,🥇 GOLD,Valle Ballina y Fernandez,Spain,Gaitero Spanish Cider 100% Apple,114,1314,https://www.sidraelgaitero.com/,https://www.facebook.com/grupoelgaitero,https://www.instagram.com/grupoelgaitero/,https://maps.google.com/?cid=15753532318992345137,https://www.tripadvisor.com/Attraction_Review-g608997-d3239389,https://untappd.com/brewery/4266
53,Sparkling,🥇 GOLD,Cidrerie du Pays d'Auray,France,Cidre Fermier,113,2543,,,,https://maps.google.com/?cid=9205038680508918633,,https://untappd.com/w/cidrerie-du-pays-d-auray-frana-ois-maho/423523
54,Sparkling,🥇 GOLD,Odelsgut,Norway,Odelsgut,113,3022,https://www.odelsgut.no/,https://www.facebook.com/odelsgut,https://www.instagram.com/odelsgut.no/,https://maps.google.com/?cid=17030345032725079712,https://www.tripadvisor.com/Attraction_Review-g226929-d25132141,https://untappd.com/w/odelsgut/542853
55,Sparkling,🥇 GOLD,VOG Products,Italy,Alpl,112,3066,https://www.alplsparkling.com/,,https://www.instagram.com/alpl_sparkling/,https://maps.google.com/?cid=18244086340000282331,,
56,Sparkling,🥇 GOLD,Sabiles Sidrs,Latvia,Gardener's Craft Cider Pear & Apple,111.5,2364,https://www.gardeners.lv/,https://www.facebook.com/sabiles.sidrs/,https://www.instagram.com/sabiles.sidrs/,https://maps.google.com/?cid=2950487918260459648,https://www.tripadvisor.com/Restaurant_Review-g2049841-d14914753,https://untappd.com/w/sabiles-sidrs/201189
57,Sparkling,🥇 GOLD,Stahringer Streuobstmosterei,Germany,Brisanti Blau,111.5,3030,https://streuobstmosterei.de/,,,https://maps.google.com/?cid=13148909559243530151,,https://untappd.com/w/stahringer-streuobstmosterei/467525
58,Sparkling,🥇 GOLD,Cider Sekt,Czechia,Cider Talk Semi Sweet,111,2745,https://www.cidersekt.cz/,https://www.facebook.com/cidertalk/,https://www.instagram.com/cidertalk/,https://maps.google.com/?cid=1744130511388226457,,https://untappd.com/w/provoco/396367
59,Sparkling,🥇 GOLD,Die Mostbarone,Austria,Baroncider Birne,111,1548,https://www.seppelbauer.at/,https://www.facebook.com/pages/Seppelbauers-Obstparadies/208933892492272,https://www.instagram.com/seppelbauer/,,,https://untappd.com/w/mostheuriger-seppelbauer-datzberger/309349
60,Sparkling,🥇 GOLD,Valle Ballina y Fernandez,Spain,Sidra El Gaitero Black Label,110.5,1314,https://www.sidraelgaitero.com/,https://www.facebook.com/grupoelgaitero,https://www.instagram.com/grupoelgaitero/,https://maps.google.com/?cid=15753532318992345137,https://www.tripadvisor.com/Attraction_Review-g608997-d3239389,https://untappd.com/brewery/4266
61,Sparkling,🥇 GOLD,Kelterei Possmann,Germany,Possmann 1881,110,1146,https://www.possmann.de/,https://www.facebook.com/possmann.apfelwein/,https://www.instagram.com/possmann_apfelwein/,https://maps.google.com/?cid=7171120638194976908,https://www.tripadvisor.com/Attraction_Review-g187337-d591782,https://untappd.com/w/kelterei-possmann/6861
62,Sparkling,🥇 GOLD,Cider Sekt,Czechia,Cider Talk Bitter Sweet,109.5,2745,https://www.cidersekt.cz/,https://www.facebook.com/cidertalk/,https://www.instagram.com/cidertalk/,https://maps.google.com/?cid=1744130511388226457,,https://untappd.com/w/provoco/396367
63,Sparkling,🥇 GOLD,Cidrerie Michel Jodoin,Canada,Boire la vie en Rose Brut,109.5,749,https://www.micheljodoin.ca/,https://www.facebook.com/CidrerieMichelJodoin/,https://www.instagram.com/cidreriemicheljodoin/,https://maps.google.com/?cid=12740295882599829633,https://www.tripadvisor.com/Attraction_Review-g1893510-d2227956,https://untappd.com/w/cidrerie-michel-jodoin/18179
64,Sparkling,🥇 GOLD,Moststub'n Binderberg,Austria,Birnencider,109.5,3059,https://binderberg.at/,,,https://maps.google.com/?cid=17913530165367274614,https://www.tripadvisor.com/Restaurant_Review-g1912628-d9610169,
65,Sparkling,🥇 GOLD,Egge Gård,Norway,Egge Gård Liersider,109,1663,https://egge.as/,https://www.facebook.com/eggegaard,https://www.instagram.com/eggegaard/,https://maps.google.com/?cid=12102226315088356258,https://www.tripadvisor.com/Attraction_Review-g2416366-d3474312,https://untappd.com/brewery/41885
66,Sparkling,🥈 SILVER,Sidra Somarroza,Spain,Rubí de Somarroza,108,1921,https://sidrasomarroza.es/,https://www.facebook.com/sidrasomarroza,https://www.instagram.com/sidrasomarroza/,https://maps.google.com/?cid=7109045394192195825,,https://untappd.com/w/somarroza/147830
67,Sparkling,🥈 SILVER,Appleblood Cider,Italy,Stayman Winesap 2022,106.5,3028,https://applebloodcider.com/,https://www.facebook.com/applebloodcider,https://www.instagram.com/applebloodcider/,https://maps.google.com/?cid=14977227174949746380,,https://untappd.com/w/apple-blood-cider/474058
68,Sparkling,🥈 SILVER,Ramborn Cider Co.,Luxembourg,Ramborn Garden Quince,106.5,2698,https://www.ramborn.com/,https://www.facebook.com/RambornUS/,https://www.instagram.com/rambornciderco/,https://maps.google.com/?cid=16691194016355154342,https://www.tripadvisor.com/Attraction_Review-g206525-d12591209,https://untappd.com/Ramborn
69,Sparkling,🥈 SILVER,Gutshof Kraatz,Germany,Birnensecco,106,2825,https://gutshof-kraatz.de/,https://www.facebook.com/GutshofKraatz/,https://www.instagram.com/gutshof_kraatz/,https://maps.google.com/?cid=4340203013602665820,https://www.tripadvisor.com/Restaurant_Review-g12097270-d10525275,https://untappd.com/w/kelterei-gutshof-kraatz/210948
70,Sparkling,🥈 SILVER,Hardanger Saft og Siderfabrikk,Norway,Hardanger Sider Med Hylleblom,105.5,3010,https://hardangersider.no/,https://www.facebook.com/HardangerSaftogSiderfabrikk/,https://www.instagram.com/hardangersaftogsiderfabrikk/,https://maps.google.com/?cid=12869878933054305699,https://www.tripadvisor.com/Attraction_Review-g7159542-d4893441,https://untappd.com/w/hardanger-saft-og-siderfabrikk/42913
71,Sparkling,🥈 SILVER,Cidrerie Milton,Canada,Honeycrisp Sour,105,750,https://cidreriemilton.com/,https://facebook.com/cidreriemilton,https://instagram.com/cidreriemilton,https://maps.google.com/?cid=9570102942420505240,https://www.tripadvisor.com/Attraction_Review-g11547718-d10105070,https://untappd.com/CidrerieMilton
72,Sparkling,🥈 SILVER,Valle Ballina y Fernandez,Spain,Pomarina Brut,104.5,1314,https://www.sidraelgaitero.com/,https://www.facebook.com/grupoelgaitero,https://www.instagram.com/grupoelgaitero/,https://maps.google.com/?cid=15753532318992345137,https://www.tripadvisor.com/Attraction_Review-g608997-d3239389,https://untappd.com/brewery/4266
73,Sparkling,🥈 SILVER,Bugarden,Norway,Minerva,104.5,3004,https://www.bugarden.no/,,,https://maps.google.com/?cid=18164183612083637326,,
74,Sparkling,🥈 SILVER,Pomologik,Sweden,Cidre Nouveau,104.5,2397,https://www.pomologik.se/,https://www.facebook.com/pomologik,https://www.instagram.com/Pomologik/,https://maps.google.com/?cid=17836181822390207936,,https://untappd.com/Pomologik_swe
75,Sparkling,🥈 SILVER,Knapps Cider,Germany,Knapps Original Cider,104,3067,https://www.knapps-cider.de/,,,https://maps.google.com/?cid=9767917118710491602,,
76,Sparkling,🥈 SILVER,Odelsgut,Norway,Odelsgut,103.5,3022,https://www.odelsgut.no/,https://www.facebook.com/odelsgut,https://www.instagram.com/odelsgut.no/,https://maps.google.com/?cid=17030345032725079712,https://www.tripadvisor.com/Attraction_Review-g226929-d25132141,https://untappd.com/w/odelsgut/542853
77,Sparkling,🥈 SILVER,Ciderhuset Balholm,Norway,Vestr,103.5,1534,https://www.ciderhuset.no/,https://www.facebook.com/ciderhuset,https://www.instagram.com/ciderhuset/,https://maps.google.com/?cid=12671775028436675444,https://www.tripadvisor.com/Restaurant_Review-g616211-d1991697,https://untappd.com/w/ciderhuset-balholm/64016
78,Sparkling,🥈 SILVER,Obstkelterei van Nahmen,Germany,van Nahmen Apfel-Cidre 4%,103,3055,https://www.vannahmen.de/,https://www.facebook.com/vanNahmen/,https://www.instagram.com/van_nahmen/,https://maps.google.com/?cid=7921764717680991434,https://www.tripadvisor.com/Attraction_Review-g1078333-d21378894,https://untappd.com/w/privatkelterei-van-nahmen/141926
79,Sparkling,🥈 SILVER,Petritegi,Spain,Aparduna Reserva,102.5,1171,https://www.petritegi.com/,https://www.facebook.com/Petritegi/,https://www.instagram.com/petritegi,https://maps.google.com/?cid=16425101977693923721,https://www.tripadvisor.com/Restaurant_Review-g1064182-d2266030,https://untappd.com/brewery/51639
80,Sparkling,🥈 SILVER,Pomologik,Sweden,Ice Ice Baby,102,2397,https://www.pomologik.se/,https://www.facebook.com/pomologik,https://www.instagram.com/Pomologik/,https://maps.google.com/?cid=17836181822390207936,,https://untappd.com/Pomologik_swe
81,Sparkling,🥈 SILVER,Brennerei Bühler,Germany,Apfelcider,101,3068,https://www.brennerei-buehler.de/,,https://www.instagram.com/brennereibuehler,https://maps.google.com/?cid=2345095139748704475,,
82,Sparkling,🥈 SILVER,Valle Ballina y Fernandez,Spain,Sidra El Gaitero Extra,100.5,1314,https://www.sidraelgaitero.com/,https://www.facebook.com/grupoelgaitero,https://www.instagram.com/grupoelgaitero/,https://maps.google.com/?cid=15753532318992345137,https://www.tripadvisor.com/Attraction_Review-g608997-d3239389,https://untappd.com/brewery/4266
83,Sparkling,🥈 SILVER,Meichle Obst- und Weinbau,Germany,Apfelperle Cidre,100.5,3056,https://www.meichle-hagnau.de/,,,,,
84,Sparkling,🥈 SILVER,Die Mostbarone,Austria,Baroncider Apfel,100.5,1548,https://www.seppelbauer.at/,https://www.facebook.com/pages/Seppelbauers-Obstparadies/208933892492272,https://www.instagram.com/seppelbauer/,,,https://untappd.com/w/mostheuriger-seppelbauer-datzberger/309349
85,Sparkling,🥈 SILVER,Pomologik,Sweden,Cider State of Mind,100,2397,https://www.pomologik.se/,https://www.facebook.com/pomologik,https://www.instagram.com/Pomologik/,https://maps.google.com/?cid=17836181822390207936,,https://untappd.com/Pomologik_swe
86,Sparkling,🥈 SILVER,Boller Fruchtsäfte,Germany,Boller Friedrich Apfel-Cider,100,3050,https://www.boller-fruchtsaefte.de/,https://www.facebook.com/profile.php?id=100076589842840,https://www.instagram.com/bollerfruchtsaefte/,https://maps.google.com/?cid=13421689225094744861,,https://untappd.com/w/boller-fruchtsafte/161037
87,Sparkling,🥈 SILVER,Sidra Somarroza,Spain,Sidra Espumosa Dulce Somarroza,99.5,1921,https://sidrasomarroza.es/,https://www.facebook.com/sidrasomarroza,https://www.instagram.com/sidrasomarroza/,https://maps.google.com/?cid=7109045394192195825,,https://untappd.com/w/somarroza/147830
88,Sparkling,🥈 SILVER,Sandalen Gård,Norway,Knedrepar,98.5,3032,https://sandalengard.no/,https://www.facebook.com/sandalengard,https://www.instagram.com/sandalengard/,https://maps.google.com/?cid=16897274204164201537,,https://untappd.com/SandalenGrd
89,Sparkling,🥈 SILVER,Ramborn Cider Co.,Luxembourg,Ramborn Organic Cider,97.5,2698,https://www.ramborn.com/,https://www.facebook.com/RambornUS/,https://www.instagram.com/rambornciderco/,https://maps.google.com/?cid=16691194016355154342,https://www.tripadvisor.com/Attraction_Review-g206525-d12591209,https://untappd.com/Ramborn
90,Sparkling,🥈 SILVER,Brinkhall Sparkling,Finland,Brinkhall Prestige,97.5,1917,https://bsp.fi/,https://www.facebook.com/brinkhalls,https://www.instagram.com/brinkhallsparkling/,https://maps.google.com/?cid=10856204128601037922,,https://untappd.com/BrinkhallSparkling
91,Sparkling,🥈 SILVER,OmCider,Norway,Einar Sin,97.5,2753,https://omcider.no/,https://www.facebook.com/OmCiderAS/,https://www.instagram.com/omcideras/,https://maps.google.com/?cid=1800091822223931241,,https://untappd.com/w/omcider/492586
92,Sparkling,🥈 SILVER,Valle Ballina y Fernandez,Spain,Sidra Valle Ballina y Fernandez,96.5,1314,https://www.sidraelgaitero.com/,https://www.facebook.com/grupoelgaitero,https://www.instagram.com/grupoelgaitero/,https://maps.google.com/?cid=15753532318992345137,https://www.tripadvisor.com/Attraction_Review-g608997-d3239389,https://untappd.com/brewery/4266
93,Sparkling,🥈 SILVER,Hardanger Saft og Siderfabrikk,Norway,Hardangersider Dronning,96.5,3010,https://hardangersider.no/,https://www.facebook.com/HardangerSaftogSiderfabrikk/,https://www.instagram.com/hardangersaftogsiderfabrikk/,https://maps.google.com/?cid=12869878933054305699,https://www.tripadvisor.com/Attraction_Review-g7159542-d4893441,https://untappd.com/w/hardanger-saft-og-siderfabrikk/42913
94,Sparkling,🥉 HONOR,Cidrerie Milton,Canada,CID Rosé,96.5,750,https://cidreriemilton.com/,https://facebook.com/cidreriemilton,https://instagram.com/cidreriemilton,https://maps.google.com/?cid=9570102942420505240,https://www.tripadvisor.com/Attraction_Review-g11547718-d10105070,https://untappd.com/CidrerieMilton
95,Sparkling,🥉 HONOR,Brinkhall Sparkling,Finland,Raike-Eppulainen,95,1917,https://bsp.fi/,https://www.facebook.com/brinkhalls,https://www.instagram.com/brinkhallsparkling/,https://maps.google.com/?cid=10856204128601037922,,https://untappd.com/BrinkhallSparkling
