ID,Year,Category,Award,Medalist_Original,Product,Points,Country,WID,Medalist
79,2018,Mixed & Flavoured,🥈 Silver,Pomolo Obstweine,Apfel-Speierling-Secco,99,Germany,1336,Pomolo Obstweine
80,2018,Mixed & Flavoured,🥈 Silver,Manufaktur Conrad,Birnenwein-Cuvée,99,Germany,2971,Kelterei Marc Conrad
81,2018,Mixed & Flavoured,🥈 Silver,The Cotswold Cider Co.,Blow Horn Spice,98,England,1349,Cotswold Cider Company
82,2018,Mixed & Flavoured,🥈 Silver,Bembel-with-Care,Apfelwein Gold,97,Germany,1326,Bembel With Care
83,2018,Mixed & Flavoured,🥈 Silver,Angry Orchard,The Muse,97,United States,87,Angry Orchard
84,2018,Mixed & Flavoured,🥉 Honor,Angry Orchard,Understood in Motion 01,96,United States,87,Angry Orchard
85,2018,Mixed & Flavoured,🥉 Honor,Hofkellerei Maffei,Iduna Apfel Quitten Cider,94,Italy,3157,Maffei
86,2018,Mixed & Flavoured,🥉 Honor,Cold Hand Winery,Prunella Sparkling Plums,94,Denmark,1986,Cold Hand Winery
87,2018,Mixed & Flavoured,🥉 Honor,Mosterei Möhl,Swizly,93,Switzerland,3124,Mosterei Möhl
88,2018,Mixed & Flavoured,🥉 Honor,Ramborn Cider Co.,Perry,91,Luxembourg,2698,Ramborn Cider Co.
89,2018,Mixed & Flavoured,🥉 Honor,Blakstoc Cider,Wild Tree Hoppy Cider,91,Austria,2812,BlakStoc
90,2018,Mixed & Flavoured,🥉 Honor,Bayside Brands,Rosé Cider,90,England,3584,Bayside Brands
91,2018,Mixed & Flavoured,🥉 Honor,JM Cider House,Red Brook – Red Fruit,90,Czech Republic,3384,Redbrook Cider
92,2018,Mixed & Flavoured,🥉 Honor,Kystin,Cuvée XVII,90,France,1618,Kystin
93,2018,Mixed & Flavoured,🥉 Honor,Amorella Kirsch Manufaktur,Amorella Kirschschaumwein halbtrocken,87,Germany,3573,Amorella Kirsch
94,2018,Mixed & Flavoured,🥉 Honor,Tatuv Sad,Chmeleny,87,Czech Republic,2762,Tátův Sad
95,2018,Mixed & Flavoured,🥉 Honor,Dr. Höhl's,Pomp Classic,86,Germany,3586,Dr. Höhl's
96,2018,Mixed & Flavoured,🥉 Honor,Echt Brombachseer,Allmühlfränkischer Apfel Rosé,86,Germany,3565,Echt Brombachseer
97,2018,Mixed & Flavoured,🥉 Honor,Longways Cider Co.,Elderflower Frizzante,83,Ireland,3338,Longways Cider Company
98,2018,Ice Cider,🏆 Best of Category,Mosterei Seiz,Perano Birnendessertwein,119,Germany,3057,Mosterei Seiz
99,2018,Ice Cider,🥇 Gold,Zapiain,Bizi-Goxo,115,Spain,1172,Zapiain
100,2018,Ice Cider,🥇 Gold,Appelsche,Main Appelretiv Medium,114,Germany,X,Appelsche
101,2018,Ice Cider,🥇 Gold,Finnbarra Cider,Tawny,112,Ireland,1265,Stonewell Cider
102,2018,Ice Cider,🥇 Gold,Egge Gaard,Iseple,111,Norway,1663,Egge Gård
103,2018,Ice Cider,🥇 Gold,Amorella Kirsch Manufaktur,Amorella Kirsch-Dessertwein,109,Germany,3573,Amorella Kirsch
104,2018,Ice Cider,🥈 Silver,Cold Hand Winery,Prunus Nigra,108,Denmark,1986,Cold Hand Winery
105,2018,Ice Cider,🥈 Silver,Mosterei Seiz,Manzano Apfeldessertwein,107,Germany,3057,Mosterei Seiz
106,2018,Ice Cider,🥈 Silver,Cold Hand Winery,2013 Malus Danica,104,Denmark,1986,Cold Hand Winery
107,2018,Ice Cider,🥈 Silver,Akre Gard,Edel Is-sider,103,Norway,2544,Åkre Gård
108,2018,Ice Cider,🥈 Silver,Grand Pré Winery,Pomme d'Or Ice Cider,103,Canada,767,Domaine de Grand Pré
109,2018,Ice Cider,🥈 Silver,Cold Hand Winery,Pyrus Danica,101,Denmark,1986,Cold Hand Winery
110,2018,Ice Cider,🥉 Honor,Mosterei Seiz,Membrillo Quittendessertwein,95,Germany,3057,Mosterei Seiz
111,2018,Ice Cider,🥉 Honor,Echt Brombachseer,Brombachseer Bergapfel,94,Germany,3565,Echt Brombachseer
112,2018,Ice Cider,🥉 Honor,Krenzer Rhön,Whiskeyfass halbtrocken Klimawandel,92,Germany,1332,Krenzers Rhön
113,2018,Ice Cider,🥉 Honor,Brinkhall Sparkling Oy,Eeva M.,91,Finland,1917,Brinkhall Sparkling
114,2018,Ice Cider,🥉 Honor,Appelsche,Main Appelretiv herb,89,Germany,X,Appelsche
115,2018,Ice Cider,🥉 Honor,Tamura Farm,Extremely Sweet,87,Japan,3220,Tamura Farm
116,2018,Ice Cider,🥉 Honor,Krenzers Rhön,2007 Whiskeyfass edelsüß,85,Germany,1332,Krenzers Rhön
117,2019,Still,🏆 Best of Category,Domaine Lesuffleur,La Folletière 2016,117,France,3339,Domaine Lesuffleur
118,2019,Still,🥇 Gold,Weidmann & Groh,2018 Boskop,114,Germany,1343,Weidmann & Groh
119,2019,Still,🥇 Gold,Weidmann & Groh,2018 Bohnapfel,110,Germany,1343,Weidmann & Groh
120,2019,Still,🥇 Gold,Sidra Cortina,Sidra Natural Ecologica,110,Spain,1472,Sidra Cortina
121,2019,Still,🥇 Gold,Weidmann & Groh,2018 Speierling Apfelwein,109,Germany,1343,Weidmann & Groh
122,2019,Still,🥇 Gold,Zapiain,2017 Zapiain Premium Euskal Sagardoa D.O.,109,Spain,1172,Zapiain
123,2019,Still,🥈 Silver,Gutshof Kraatz,2018 Vor dem Walde,106,Germany,2825,Gutshof Kraatz
124,2019,Still,🥈 Silver,Ulvik Frukt & Cideri,Gamal Tradisjon,103,Norway,1414,Ulvik Frukt & Cideri
125,2019,Still,🥈 Silver,Arantast,Eth Paom,99,Spain,3579,Arantast
126,2019,Still,🥈 Silver,Trinkkultur MSG,Pica Pica Apfel Cider,99,Germany,3580,Pica Pica
127,2019,Still,🥈 Silver,Kelterei Herberth,Herberth Braeburn,98,Germany,1330,Kelterei Herberth
128,2019,Still,🥈 Silver,Angry Orchard,Understood in Motion 03,98,United States,87,Angry Orchard
129,2019,Still,🥈 Silver,Samuel Smith,Samuel Smith's Organic Cider,97,England,3342,Samuel Smith's Brewery
130,2019,Still,🥉 Honor,Matsch und Brei,E Sauber Stöfche,96,Germany,1333,Matsch & Brei
131,2019,Still,🥉 Honor,Veitlbauer Genussmosthof,Apfelwein Pinova,95,Austria,3052,Genussmosthof Veitlbauer
132,2019,Still,🥉 Honor,Sidra Somarroza,Somarozza Sidra Natural,94,Spain,1921,Sidra Somarroza
133,2019,Still,🥉 Honor,Gutshof Kraatz,2018 Gold-Renetten,92,Germany,2825,Gutshof Kraatz
134,2019,Still,🥉 Honor,Grupo El Gaitero,El Gaitero Natural,91,Spain,1314,Sidra El Gaitero
135,2019,Still,🥉 Honor,A. K. Cider,Limonka,89,Czech Republic,3383,A.K. Cider
136,2019,Still,🥉 Honor,Zapiain,2017 Zapiain Gorenek Sidra Natural,89,Spain,1172,Zapiain
137,2019,Still,🥉 Honor,Gutshof Kraatz,2018 Adams-Parmäne,87,Germany,2825,Gutshof Kraatz
138,2019,Still,🥉 Honor,Mosterei Möhl,Ciderclan Juicy Apple Cider,85,Switzerland,3124,Mosterei Möhl
139,2019,Still,🥉 Honor,Obsthof und Weingut Franz Xaver,Apfelwein Xaver,84,Germany,3572,Franz Xaver Hof
140,2019,Still,🥉 Honor,Veitlbauer Genussmosthof,Apfelwein Topaz,84,Austria,3052,Genussmosthof Veitlbauer
141,2019,Still,🥉 Honor,Sidra Somarroza,El Capricho de Somarroza,84,Spain,1921,Sidra Somarroza
142,2019,Still,🥉 Honor,Mosterei Möhl,Ciderclan Straight Apple Cider,83,Switzerland,3124,Mosterei Möhl
143,2019,Still,🥉 Honor,Sidras Bereziartua,Bereziartua Sidra Natural,81,Spain,1168,Bereziartua
144,2019,Sparkling,🏆 Best of Category,Farmhouse Torgglerhof,Anderdog Apfelcider,112,Italy,3029,Apfelhotel Torgglerhof
145,2019,Sparkling,🥇 Gold,Veitlbauer Genussmosthof,Apfel Schampus,111,Austria,3052,Genussmosthof Veitlbauer
146,2019,Sparkling,🥇 Gold,Maley,Sidro Classicum Rifugio Teodulo,110,Italy,1517,Maley
147,2019,Sparkling,🥇 Gold,Azienda Agricola dell Fatti Laura,Melagodo Spumante di Mela Extra Dry,110,Italy,3078,Sidro MelaGodo
148,2019,Sparkling,🥈 Silver,Angry Orchard,The Muse,105,United States,87,Angry Orchard
149,2019,Sparkling,🥈 Silver,Legacy Irish Cider,Legacy Irish Cider Medium Dry,104,Ireland,3341,Legacy Irish Cider
150,2019,Sparkling,🥈 Silver,Weidmann & Groh,Grohsecco,103,Germany,1343,Weidmann & Groh
151,2019,Sparkling,🥈 Silver,Azienda Agricola Docendo Discitur,2018 Alma Cider Extra Brut,102,Italy,2036,Docendo Discitur
152,2019,Sparkling,🥈 Silver,Angry Orchard,2017 Baldwin,101,United States,87,Angry Orchard
153,2019,Sparkling,🥈 Silver,Sidra Somarroza,Somarroza Sidra Espumosa Dulce,101,Spain,1921,Sidra Somarroza
154,2019,Sparkling,🥈 Silver,Ulvik Frukt & Cideri,Kvitanesen Poesider,100,Norway,1414,Ulvik Frukt & Cideri
155,2019,Sparkling,🥈 Silver,Manufactur Apfeltraum,Roter Adam Selection Ortenberg,100,Germany,3263,Roter Adam
156,2019,Sparkling,🥈 Silver,Obstbau & Kelterei Schmitt,Apfelperlwein,100,Germany,2710,Obstbau & Kelterei Schmitt
157,2019,Sparkling,🥈 Silver,Egge Gaard,Liersider,100,Norway,1663,Egge Gård
158,2019,Sparkling,🥈 Silver,Egge Gaard,Ektesider,100,Norway,1663,Egge Gård
159,2019,Sparkling,🥈 Silver,Abavas Winery,Abavas Apple Premium Brut,99,Latvia,2363,Abavas
160,2019,Sparkling,🥈 Silver,Ramborn Cider Co.,Ramborn Original Medium Dry Cider,99,Luxembourg,2698,Ramborn Cider Co.
161,2019,Sparkling,🥈 Silver,Obsthof und Weingut Franz Xaver,Frecher Franz,99,Germany,3572,Franz Xaver Hof
162,2019,Sparkling,🥈 Silver,Grupo El Gaitero,Pomarina Brut,99,Spain,1314,Sidra El Gaitero
163,2019,Sparkling,🥈 Silver,Sidro Vittoria,Sidro Vittoria Italien Bloom,98,Italy,3147,Sidro Vittoria
164,2019,Sparkling,🥈 Silver,Farmhouse Torgglerhof,Mali Apfelcider,98,Italy,3029,Apfelhotel Torgglerhof
165,2019,Sparkling,🥈 Silver,A. K. Cider,Cider Sweet Strong,98,Czech Republic,3383,A.K. Cider
166,2019,Sparkling,🥉 Honor,Grupo El Gaitero,El Gaitero Spanish Cider,96,Spain,1314,Sidra El Gaitero
167,2019,Sparkling,🥉 Honor,Petritegi Sagardoak 2011,Petritegi Aparduna 18 Meses,93,Spain,1171,Petritegi
168,2019,Sparkling,🥉 Honor,Abavas Winery,Abavas Apple Medium Cider,89,Latvia,2363,Abavas
169,2019,Sparkling,🥉 Honor,Angry Orchard,Crisp Apple,89,United States,87,Angry Orchard
170,2019,Sparkling,🥉 Honor,Ulvik Frukt & Cideri,Gravenstein Hakastadsider,88,Norway,1414,Ulvik Frukt & Cideri
171,2019,Sparkling,🥉 Honor,Adam & Eva Bodensee Cider,Eva,88,Germany,3503,Adam & Eva
172,2019,Sparkling,🥉 Honor,Maley,Cidre Jorasses Classicum,87,Italy,1517,Maley
173,2019,Sparkling,🥉 Honor,Floribunda,Cider alla Mela,86,Italy,2029,Floribunda
174,2019,Sparkling,🥉 Honor,Angry Orchard,2017 Newtown Pippin,84,United States,87,Angry Orchard
175,2019,Sparkling,🥉 Honor,Hogan's Cider,Hogan's Killer Sharp Cider,81,England,1150,Hogan's Cider
176,2019,Sparkling,🥉 Honor,Adam & Eva Bodensee Cider,Adam,80,Germany,3503,Adam & Eva
177,2019,Mixed & Flavoured,🏆 Best of Category,Hogan's Cider,Hogan's Libertine Cider,117,England,1150,Hogan's Cider
178,2019,Mixed & Flavoured,🥇 Gold,Blakstoc Cider,Wild Tree Hoppy Cider,114,Austria,2812,BlakStoc
179,2019,Mixed & Flavoured,🥇 Gold,Bear Cider,Bear Cider Dry Hopped,114,Netherlands,1930,Bear Cider
180,2019,Mixed & Flavoured,🥇 Gold,Blakstoc Cider,Ginger for my Honey,111,Austria,2812,BlakStoc
181,2019,Mixed & Flavoured,🥇 Gold,Mosterei Möhl,Ciderclan Punch Apple Cider,110,Switzerland,3124,Mosterei Möhl
182,2019,Mixed & Flavoured,🥇 Gold,Prosequ Quitte pur,Quittenwein,110,Austria,3585,Prosequ
183,2019,Mixed & Flavoured,🥇 Gold,Blakstoc Cider,Quincy Jo & Hops Edition,109,Austria,2812,BlakStoc
184,2019,Mixed & Flavoured,🥈 Silver,InCide Drinks,InCider Holunder,108,Germany,3570,InCide Drinks
185,2019,Mixed & Flavoured,🥈 Silver,Balholm,Handverkcider med Humle,107,Norway,1534,Ciderhuset Balholm
186,2019,Mixed & Flavoured,🥈 Silver,Abavas Winery,Abavas Hopped Apple Cider,105,Latvia,2363,Abavas
187,2019,Mixed & Flavoured,🥈 Silver,Reverend Nat's,Reverend Nat's Revival Hard Apple,102,United States,514,Reverend Nat's Hard Cider
188,2019,Mixed & Flavoured,🥈 Silver,Grupo El Gaitero,El Gaitero with Red Grape Juice,101,Spain,1314,Sidra El Gaitero
189,2019,Mixed & Flavoured,🥈 Silver,Mosterei Möhl,Ciderclan Grape Apple Cider,100,Switzerland,3124,Mosterei Möhl
190,2019,Mixed & Flavoured,🥈 Silver,Reverend Nat's,Reverend Nat's Viva la Pineapple,100,United States,514,Reverend Nat's Hard Cider
191,2019,Mixed & Flavoured,🥈 Silver,Echt Brombachseer,Echt Brombachseer Apfel-Rosé,100,Germany,3565,Echt Brombachseer
192,2019,Mixed & Flavoured,🥈 Silver,Peripherique pq world,Wilder Hirsch Holunder,97,Germany,3577,Wilder Hirsch
193,2019,Mixed & Flavoured,🥉 Honor,Reverend Nat's,Reverend Nat's Sacrilege Sour Cherry,96,United States,514,Reverend Nat's Hard Cider
194,2019,Mixed & Flavoured,🥉 Honor,Haldenhof,Hofmost Apfel-Quitte,95,Germany,3267,Haldenhof
195,2019,Mixed & Flavoured,🥉 Honor,Ramborn Cider Co.,Ramborn Cascade Hopped Cider,94,Luxembourg,2698,Ramborn Cider Co.
196,2019,Mixed & Flavoured,🥉 Honor,Blakstoc Cider,Buddhas Hard Lemon Cider,93,Austria,2812,BlakStoc
197,2019,Mixed & Flavoured,🥉 Honor,Sidra Somarroza,La Sidruca Limón,83,Spain,1921,Sidra Somarroza
198,2019,Mixed & Flavoured,🥉 Honor,Trinkkultur MSG,Pica Pica Cider Apfel Birne,81,Germany,3580,Pica Pica
199,2019,Sparkling Mixed & Flavoured,🏆 Best of Category,Gutshof Kraatz,2017 Birnensecco,110,Germany,2825,Gutshof Kraatz
200,2019,Sparkling Mixed & Flavoured,🥈 Silver,Haußler – Hinterespig,Prickel-Kirsch,106,Germany,3053,Haußler Hinterespig
201,2019,Sparkling Mixed & Flavoured,🥈 Silver,Weidmann & Groh,Cydonia,104,Germany,1343,Weidmann & Groh
202,2019,Sparkling Mixed & Flavoured,🥈 Silver,Ramborn Cider Co.,Ramborn Perry,102,Luxembourg,2698,Ramborn Cider Co.
203,2019,Sparkling Mixed & Flavoured,🥈 Silver,Haldenhof,Ostalb-Secco Cassis,102,Germany,3267,Haldenhof
204,2019,Sparkling Mixed & Flavoured,🥈 Silver,Egge Gaard,Rosesider,97,Norway,1663,Egge Gård
205,2019,Sparkling Mixed & Flavoured,🥉 Honor,Tori Joesuu Siidri – Ja Veinitalu Oy,Tori Siidritall,96,Estonia,3036,Tori Siidritalu
206,2019,Sparkling Mixed & Flavoured,🥉 Honor,Haußler – Hinterespig,Naturmädel – mein Cider,94,Germany,3053,Haußler Hinterespig
207,2019,Sparkling Mixed & Flavoured,🥉 Honor,Floribunda,Cider alla Cotogna,89,Italy,2029,Floribunda
208,2019,Sparkling Mixed & Flavoured,🥉 Honor,Abavas Winery,Abavas Rhubarb Sparkling Wine,88,Latvia,2363,Abavas
209,2019,Sparkling Mixed & Flavoured,🥉 Honor,Pomolo Obstweine,Apfel-Mispelsecco,88,Germany,1336,Pomolo Obstweine
210,2019,Sparkling Mixed & Flavoured,🥉 Honor,Hogan's Cider,Hogan's Vintage Cider,85,England,1150,Hogan's Cider
211,2019,Sparkling Mixed & Flavoured,🥉 Honor,Ramborn Cider Co.,Ramborn Apple and Quince Blend,82,Luxembourg,2698,Ramborn Cider Co.
212,2019,Ice Cider,🏆 Best of Category,Sidra Cortina,Sidra de Hielo,118,Spain,1472,Sidra Cortina
213,2019,Ice Cider,🥇 Gold,Amorella Kirsch-Manufaktur,2018 Amorella Kirsch Reserve,116,Germany,3573,Amorella Kirsch
214,2019,Ice Cider,🥇 Gold,Manufaktur Jörg Geiger,!Wehmut,114,Germany,1322,Jörg Geiger
215,2019,Ice Cider,🥇 Gold,A. K. Cider,” Š ” Rosa Canina Wine,114,Czech Republic,3383,A.K. Cider
216,2019,Ice Cider,🥇 Gold,Ramborn Cider Co.,2016 Ramborn Bourbon Barrel Aged Still Cider,113,Luxembourg,2698,Ramborn Cider Co.
217,2019,Ice Cider,🥇 Gold,Egge Gaard,Iseple,112,Norway,1663,Egge Gård
218,2019,Ice Cider,🥇 Gold,Egge Gaard,Ung,111,Norway,1663,Egge Gård
219,2019,Ice Cider,🥇 Gold,Zapiain,2015 Bizi-Goxo,111,Spain,1172,Zapiain
220,2019,Ice Cider,🥇 Gold,Krenzers Rhön,Krenzers Apfeldessertwein Barriquefass,110,Germany,1332,Krenzers Rhön
221,2019,Ice Cider,🥈 Silver,Krenzers Rhön,Krenzers Apfel Dessertwein Rambour-Äpfel,108,Germany,1332,Krenzers Rhön
222,2019,Ice Cider,🥈 Silver,Fruchtweine Narzt,Marillenwein,101,Austria,3567,Fruchtweine Narzt
223,2019,Ice Cider,🥈 Silver,Angry Orchard,Ice Cider 2014/2017,97,United States,87,Angry Orchard
224,2019,Ice Cider,🥉 Honor,Krenzers Rhön,Krenzers Apfel Klassik halbtrocken,94,Germany,1332,Krenzers Rhön
225,2019,Ice Cider,🥉 Honor,Götti,Götti Bourbon Cider,91,Switzerland,3583,Götti Cider
226,2019,Ice Cider,🥉 Honor,Angry Orchard,Wooden Sleeper,83,United States,87,Angry Orchard
227,2020,Still,🏆 Best of Category,Weidmann & Groh,2019 Boskop,118,Germany,1343,Weidmann & Groh
228,2020,Still,🥇 Gold,Zapiain,2018 Zapiain Premium Euskal Sagardoa D.O.,117,Spain,1172,Zapiain
229,2020,Still,🥇 Gold,Weidmann & Groh,2019 Speierling halbtrocken,114,Germany,1343,Weidmann & Groh
230,2020,Still,🥇 Gold,Backstabber,Cider Classic,113,Switzerland,2826,Backstabber Finest Cider
231,2020,Still,🥇 Gold,Weidmann & Groh,2019 Goldparmäne,113,Germany,1343,Weidmann & Groh
