Name,Type,Status,Town_City,Region,Country,Website,looks_like,awards,competitions,years,example_ciders,region_as_published,closest_map_name,closest_score
Oak Tree Orchard,Cider,Active,,,,,,3,glintcap,2026,The Apricot Hop; The Modern Dry; The Rural Berry,,Stone Tree Farm & Cidery,0.467
Smokin Banjo Wine Co,Cider,Active,,,,,,3,glintcap,2026,Banjo Blues; Transfusion; Sweet Heat,,Banjo Cider,0.382
South Porch Cider,Cider,Active,,,,,,3,glintcap,2026,Oaked; Starkel Crab; Lemon Blueberry Bar,,South City Ciderworks,0.467
Stars Front Cider,Cider,Active,,,,,,3,glintcap,2026,Airborne Red; American AF Apple Pie; Px Apple,,Front Road Ciderworks,0.467
Chapron Cidres Sorre,Cider,Active,,35,,,,2,concours-regional-cidricole-de-bretagne,2025,,35,Cidre Sorre,0.36
Small Cider,Cider,Active,,,Sweden,,,2,glintcap; international-cider-awards,2026,Buy Up The Sunset,Sweden,Small Acres Cyder,0.55
Azienda Agricola Substrato,Cider,Active,,,Italy,,no trading name - check before adding,1,international-cider-awards,2026,Granato,Italy,Azienda Agricola Bambini Sandro,0.521
Bigfoot Cider Co.,Cider,Active,,OR,,,,1,cidercraft-awards,2026,Forest Fire,OR,,
Brecon Beacons Cider,Cider,Active,,Powys,,,,1,museum-of-cider,2026,,Powys,,
Cidrerie GUILLET Frères,Cider,Active,,44,,,,1,concours-regional-cidricole-de-bretagne,2026,,44,Groualle Frères,0.531
Cidrerie Yves Maho,Cider,Active,,56,,,,1,concours-regional-cidricole-de-bretagne,2025,,56,Cidre Maho,0.546
Everleigh Vineyards and Brewing Co,Cider,Active,,,,,,1,glintcap,2026,Alpha Cider,,Teaghlaigh Vineyards,0.422
Forbuden Frukt,Cider,Active,,,Norway,,no trading name - check before adding,1,international-cider-awards,2026,Skamløs,Norway,Ulvik Frukt & Cideri,0.35
Forty Acres Ltd,Cider,Active,,,Italy,,,1,international-cider-awards,2026,Angioletti Selezione Italian Cider,Italy,Small Acres Cyder,0.418
Gatlinburg Brewing Company,Cider,Active,,Tennessee,,,,1,us-open-cider-championship,2025,Bobbie Sue’s Blackberry Lemonade,Tennessee,Hamburg Brewing Company,0.515
Hares Hatch,Cider,Active,,Herefordshire,,,person? amateur class - consider X rather than a map entry,1,museum-of-cider,2026,,Herefordshire,,
Harry Whiting,Cider,Active,,Somerset,,,person? amateur class - consider X rather than a map entry,1,museum-of-cider,2026,,Somerset,Harry's Cider,0.44
Heineken Beverages SA (Pty) Ltd,Cider,Active,,,South Africa,,,1,international-cider-awards,2026,Savanna Light,South Africa,Xaiko Beverages,0.36
Hudson North Cider Co.,Cider,Active,,NY,,,,1,cidercraft-awards,2026,Big Apple,NY,North Idaho Cider,0.478
NoWhere,Cider,Active,,WA,,,no trading name - check before adding,1,cidercraft-awards,2026,Alpenglow,WA,,
Roland Woodman,Cider,Active,,North Wales,,,person? amateur class - consider X rather than a map entry,1,museum-of-cider,2026,,North Wales,The Woodman,0.567
Smokin Banjo,Cider,Active,,TN,,,no trading name - check before adding,1,cidercraft-awards,2026,Sweet Heat,TN,Banjo Cider,0.535
Tom Wallis,Cider,Active,,Herefordshire,,,person? amateur class - consider X rather than a map entry,1,museum-of-cider,2026,,Herefordshire,The Tom Cobley Tavern,0.239
Verdant Cider,Cider,Active,,,,,,1,glintcap,2026,Heritage Dry Cider,,,
Wyders Cider,Cider,Active,,Vermont,,,,1,us-open-cider-championship,2025,Pear,Vermont,,
YSLA Craft Cider,Cider,Active,,Ukraine,,,,1,cidercraft-awards,2026,Yellow Pear,Ukraine,The Craft & Co,0.567
