category_raw,rows,style_group
Dessert & Fortified,10,
Cidre du Perche,10,
Poiré Brut,10,
Cidre de Normandie IGP Demi-Sec,10,
Spiced/Botanical Cider,10,
Sweet Still Cider,10,
Semi-Dry Carbonated Cider,10,
Strawberry,10,
Applewine / Ice Cider,10,
Apple or Pear Spirit,9,
Cider or Perry with Herbs/Spices,9,
Imperial,9,
Cidre du Pays de Caux,9,
Wood or Barrel Aged,9,
Spiced/Herbed Cider,9,
Perry Still,9,
Most Original Cider,9,
Semi Dry Cider,9,
Cider Vermouth,9,
Apple or Pear Spirits - Eau de Vie,8,
Aged Spirit,8,
Cidre Cornouaille AOP,8,
Low Alcohol Cider,8,
Pear Cider & Perry,8,
English Sweet Cider,8,
Dry Carbonated Cider,8,
Sweet Perry made using water and/or sugar in production,7,
Traditional Medium Perry,7,
Traditional Method Traditional Cider,7,
Cocktail-Inspired,7,
Heritage – Dry,7,
Imperial Cider – (WITH Adjuncts),7,
Non-Alcoholic Cider,7,
Cidre de Glace,7,
Cidre rosé,7,
Cidre Artisanal Doux,7,
Iced Cider,7,
Heritage Dry Cider,7,
Wild/Non-Sac,7,
Fruit Co-Fermented,7,
Blackberry,7,
Tradtional Method Traditional Cider,6,
Apple or Pear Spirits - Aged Spirit,6,
New World ‘Method Traditional’ Cider (disgorged),6,
Cidre de Grande Maison Brut,6,
Specialty Cider or Perry,6,
Wood/Barrel-Aged Cider,6,
Common Dry Cider,6,
Modern Dry,6,
Heritage Dry,6,
Single Varietal Cider - Dessert/Culinary,6,
Bottle Conditioned Cider,6,
Sparkling Brut Nature Cider,6,
Heritage Cider – Dry,6,
Perry & Pear Cider,6,
Black Currant,6,
Blueberry,6,
Pear,6,
Traditional Cider - MT (Disgorged),5,
Spiced – Pepper,5,
AOP Cidre du Perche,5,
Cidre de glace,5,
Cidre de Grande Maison Doux,5,
Common Sweet Cider,5,
Modern Sweet,5,
Heirloom Dry Cider,5,
Low-Tannin Ciders - Dry,5,
Bottle Conditioned Perry,5,
Traditional Basque Cider,5,
1/3 Liter Cider,5,
Other Ciders,5,
Heritage Cider – Sweet,5,
Traditional Method Traditional Perry,4,
New World ‘Method Traditional’ Perry (disgorged),4,
MT Traditional Cider (Disgorged),4,
Traditional Cider - Medium-Sweet,4,
New World Perry - Méthode Traditionnelle (Disgorged),4,
New World Perry - Sweet,4,
New World Cider - MT (Disgorged),4,
Heritage – Sweet,4,
Imperial Cider (With Adjuncts),4,
Co-Ferment,4,
Dessert / Fortified,4,
Perry & Flavoured Cider - Still,4,
IGP Cidre de Normandie pasteurisé,4,
Cidre Artisanal Extra-Brut,4,
Bottle Fermented Cider,4,
Heritage Sweet Cider,4,
French,4,
English Dry,4,
Heritage Sweet,4,
Single Varietal Cider - Bittersweet/Bittersharp,4,
Heirloom Sweet Cider,4,
High-Tannin Perries,4,
Low-Tannin Perries,4,
Fruit Post-Fermentation Addition - Sweet,4,
High-Tannin Ciders - Dry,4,
British Champion Farmhouse Cider — The Worshipful Company of Pewterer's Perpetual Cup,4,
Best Cider Adjudged (Classes 5 & 9) — The Arthur Davis Cider Cup,4,
Cider Newcomer Award — The Vigo Trophy,4,
Supreme British Champion Cider — The Rupert Best Cup,4,
Best in Show,4,
Best in Gloucestershire,4,
Traditional Cider – Dry (English),4,
Applewine / Ice Cider / Imperial Cider,4,
Pepper,4,
Pineapple Cider,4,
Apple Pie Spiced Cider,4,
Cherry Cider,4,
Dry Cider made using water and/or sugar in production,3,
Sweet Cider made using water and/or sugar in production,3,
MT New World Cider (Disgorged),3,
MT Traditional Perry (Disgorged),3,
New World Perry - Dry,3,
New World Perry - Medium-Sweet,3,
Cidre Aromatisé,3,
Flavoured Cider up to 5.0% ABV,3,
Cider 5.1% ABV and above,3,
Cider up to 5.0% ABV,3,
Other Flavours Cider,3,
Fruit Flavoured Cider,3,
Fruit Flavoured - Fruits & Flowers,3,
Fruit Flavoured Cider - Berries,3,
No & Low Cider and Perry (0.5-2.9% ABV),3,
Cider with Other Fruits & Flowers,3,
Fruit Flavoured Cider – Berries,3,
Culinary/Dessert Cider – Dry,3,
Spiced/Herbed,3,
Fruit – Stone Fruit,3,
Fruit – Other Fruit,3,
Fruit – Cane Fruit,3,
Perry – Modern,3,
English Sweet,3,
Fruit Cider - Other,3,
Fruit Cider - Stone Fruit,3,
Single Varietal - Crab,3,
Fruit-Post Fermentation Dry,3,
Specialty Other,3,
Low-Tannin Ciders Sweet,3,
Botanical Herbed,3,
Low-Tannin Ciders Dry,3,
Specialty Low Alcohol/Alcohol Removed,3,
Red-Fleshed Ciders Dry,3,
High-Tannin Ciders Dry,3,
Specialty Fortified,3,
Botanical Hopped,3,
High-Tannin Ciders Sweet,3,
Botanical Spiced,3,
Fruit Post-Fermentation Sweet,3,
Fruit Post-Fermentation Addition - Dry,3,
Specialty - Fortified,3,
Wood / Oaked,3,
Low-Tannin Ciders - Sweet,3,
Red Fleshed,3,
Botanical - Herbed,3,
Botanical - Hopped,3,
Botanical - Spiced,3,
Specialty - Low Alcohol / Alcohol Removed,3,
High-Tannin Ciders - Sweet,3,
New Expression Cider,3,
Still Cider,3,
Hopped / Herbal,3,
Traditional Cider – Sweet (French),3,
Apple/Pumpkin Pie Spiced,3,
Mimosa,3,
Grape,3,
Pie/Cobbler,3,
Apple Cider Donut,3,
Mango,3,
Raspberry,3,
Rosé / Brut,3,
Pomegranate Cider,3,
Pumpkin Spice Cider,3,
Herbal Cider,3,
Raspberry Cider,3,
Cranberry Cider,3,
Fruit & Berry Cider,3,
Peach Cider,3,
Apple Wine/Ice,3,
Strawberry Cider,3,
Wood-Aged Cider,3,
Blueberry Cider,3,
Apple Pear,3,
MT New World Perry (Disgorged),2,
Cidre et Poiré de Glace,2,
Fruit Flavoured - Herbs & Spices,2,
Cider with Berries,2,
Modern Cider ‐ Sweet,2,
Perry Cider- Class 4 (2% – 8.5% abv),2,
Flavoured – Other Fruit & Flowers,2,
Wood/Barrel-Aged Specialty Cider,2,
Culinary/Dessert Cider – Medium/Sweet,2,
Wild/Non-Sac Cider,2,
Perry – Traditional,2,
Fruit Cider - Cane Fruit,2,
Fruit Cider - Cherry,2,
Red Fleshed Cider,2,
Specialty - Other,2,
Best Iced Cider,2,
Best Fruit Cider — The Weston's Cider Organic Cider Cup,2,
British Champion Perry — The Lawrence Reilly Perry Cup,2,
Albert Rixen Newcomer,2,
Best in Herefordshire,2,
Best in Worcestershire,2,
International Cider,2,
Semi-Dry Cider,2,
Cider Cocktail,2,
Passionfruit,2,
Ice Cider / Apple Wine,2,
Orange/Blood Orange Cider,2,
Single Varietal Cider,2,
Fortified Cider or Perry,1,
Traditional Medium Sweet Perry,1,
Traditional ‘Method Traditional’ Perry (disgorged),1,
Traditional Dry Perry,1,
Traditional Perry - Méthode Traditionnelle (Disgorged),1,
Traditional Perry - Medium,1,
Cidre tranquille,1,
Flavoured Cider 5.1% ABV and above,1,
Pear / Pear Cider,1,
Fruit Flavoured Cider - Other Fruits & Flowers,1,
Spanish Style Cider,1,
Ice Ciders,1,
Fruit Wines & Perries,1,
Wood or Barrel-Aged,1,
Flavored Ciders,1,
Fruit – Pear,1,
Fruit – Cherry,1,
Fruit Cider - Pear,1,
Single Varietal - Bittersweet/Bittersharp,1,
Single Varietal - Dessert/Culinary,1,
Single Varietal Cider - Red Flesh Apples,1,
Red-Fleshed Ciders Sweet,1,
Bottle Fermented Perry,1,
Semi-Sweet Sparkling Cider,1,
Best Distilled Spirit,1,
Sweet Carbonated Cider,1,
Carbonated Cider,1,
Nonalcoholic Cider,1,
