ID,Class,Product,Producer,State,Award,Score
95,Traditional ‘Method Traditional’ Cider (disgorged),Flying Brick Cider Co MC Cider,Flying Brick Cider Co,VIC,Gold,97.0
96,Traditional ‘Method Traditional’ Cider (disgorged),St Ronan's Method Traditional Apple Cider,DJP Ronin Pty Ltd,VIC,Gold,95.0
97,Traditional ‘Method Traditional’ Cider (disgorged),Denmark Heritage Cider Company Blend 16 Natural,Denmark Heritage Cider Company,WA,Gold,93.0
98,Traditional ‘Method Traditional’ Cider (disgorged),Small Acres Cyder 2015 Cat's Pyjamas,Small Acres Cyder,NSW,Silver,85.3
99,Traditional ‘Method Traditional’ Cider (disgorged),3 Sons Cider - Methode Traditonal,3 Sons Cider,ACT,Bronze,84.1
100,Traditional ‘Method Traditional’ Cider (disgorged),Denmark Heritage Cider Co. Blend 2017 Medium Dry,Denmark Heritage Cider Company,WA,Bronze,83.7
101,Traditional ‘Method Traditional’ Cider (disgorged),Denmark Heritage Cider Company Blend 16 Medium,Denmark Heritage Cider Company,WA,Bronze,83.0
102,Traditional ‘Method Traditional’ Cider (disgorged),Denmark Heritage Cider Company Blend 15 Medium Dry,Denmark Heritage Cider Company,WA,Bronze,80.2
103,Traditional ‘Method Traditional’ Cider (disgorged),Willie Smith's Methode Traditionelle,William Smith and Sons,TAS,Bronze,80.0
104,Traditional ‘Method Traditional’ Cider (disgorged),Adam’s Evening Extra Special Night Tonic,Pulp & Juice P/L,VIC,Bronze,79.7
105,Traditional ‘Method Traditional’ Cider (disgorged),Denmark Heritage Cider Co. Blend 2017 Natural Dry,Denmark Heritage Cider Company,WA,Bronze,79.6
106,Traditional ‘Method Traditional’ Cider (disgorged),Denmark Heritage Cider Co. Blend 2017. Rich.,Denmark Heritage Cider Company,WA,Bronze,78.3
107,New World Dry Perry,Ninch Cider Parsons Bay Perry,Ninch Cider,TAS,Bronze,80.8
108,New World Dry Perry,Devil's Orchard Pear Cider,ALDI Stores (Australia),NSW,Bronze,79.5
109,New World Medium Perry,Yarra Valley Cider Pure Pear,Yarra Valley Cider,VIC,Silver,87.0
110,New World Medium Perry,Napoleone Pear Cider,Napoleone Cider,VIC,Bronze,79.5
111,New World Medium Perry,Sydney Brewery Manly Perry,Winadell T/A Schwartz Brewery (Sydney Brewery),NSW,Bronze,78.7
112,New World Medium Perry,Flying Brick Cider Co Pear Cider,Flying Brick Cider Co,VIC,Bronze,77.7
113,New World Medium Sweet Perry,"The Hills Cider Company, Pear",The Hills Cider Company,SA,Silver,87.0
114,New World Medium Sweet Perry,Fils de Pomme - L'Epatant,Fils de Pomme Australia Pty Ltd,NSW,Silver,85.0
115,New World Medium Sweet Perry,The Barossa Cider Co - Squashed Pear Cider,The Barossa Valley Cider Company,SA,Silver,85.0
116,New World Medium Sweet Perry,Frank's Summer Pear Cider,Franklin Cider Company,TAS,Bronze,81.5
117,New World Medium Sweet Perry,Harcourt Pear Cider,Harcourt Perry and Cider Makers P/L,VIC,Bronze,79.0
118,New World Sweet Perry,Mr Finch Pear,Coles Liquor Group,VIC,Bronze,80.8
119,New World ‘Method Traditional’ Perry (disgorged),Small Acres Cyder 2017 Sparkling Perry,Small Acres Cyder,NSW,Gold,92.5
120,New World ‘Method Traditional’ Perry (disgorged),Pear,Carmel Cider Company,WA,Silver,86.0
121,New World ‘Method Traditional’ Perry (disgorged),St Ronan's Method Traditional Pear Cider,DJP Ronin Pty Ltd,VIC,Bronze,79.0
122,New World ‘Method Traditional’ Perry (disgorged),Napoleone Pear Method Traditional,Napoleone Cider,VIC,Bronze,78.0
123,Traditional Dry Perry,LOBO Dry Pear,LOBO Juice and Cider Pty Ltd,SA,Silver,86.0
124,Traditional ‘Method Traditional’ Perry (disgorged),Frank's Methode Traditionelle,Franklin Cider Company,TAS,Bronze,83.0
125,Experimental Cider or Perry,Sydney Brewery Agave Ginger Cider,Winadell T/A Schwartz Brewery (Sydney Brewery),NSW,Silver,85.0
126,Experimental Cider or Perry,"Runamuk ""Trickster""",Runamuk Cider Co.,WA,Bronze,82.3
127,Experimental Cider or Perry,Pure Peninsula Honey Manuka Honey Cider,Pure Peninsula Honey,VIC,Bronze,81.3
128,Experimental Cider or Perry,Mercury Hard Cider Crushed Raspberry,Carlton & United Breweries,VIC,Bronze,80.3
129,Experimental Cider or Perry,Spreyton Cider Co - Bitter Cider,Spreyton Fresh P/L,TAS,Bronze,80.3
130,Experimental Cider or Perry,Funk Cider - Sex Machine,Funk Cider,WA,Bronze,80.2
131,Experimental Cider or Perry,Darraweit Valley Cider - Oaked Apple Cider,Darraweit Valley Cider,VIC,Bronze,80.1
132,Apple and Pear Blends,LOBO Apple and Pear Cider,LOBO Juice and Cider Pty Ltd,SA,Silver,86.0
133,Apple and Pear Blends,Mock Red Hill Apple & Pear Cider,Mock Red Hill,VIC,Silver,85.0
134,Apple and Pear Blends,The Barossa Cider Co - Cloudy Cider,The Barossa Valley Cider Company,SA,Bronze,82.0
135,Apple and Pear Blends,Darraweit Valley Cider - Apple &Pear Cider,Darraweit Valley Cider,VIC,Bronze,79.3
136,Apple and Pear Blends,Apple and Pear,Carmel Cider Company,WA,Bronze,77.5
137,Cider or Perry with Fruit,EASY RIDER Blood Orange Cider,Rusty Bike Wines & Ciders,SA,Silver,89.0
138,Cider or Perry with Fruit,"Hart's Farm Quince, Pear & Apple Cider",Marah Enterprises Pty Ltd,VIC,Bronze,83.0
139,Cider or Perry with Fruit,Cheeky Tiki - Orange and Ginger Cider,Ohana Winery & Cheeky Tiki Cider,QLD,Bronze,82.0
140,Cider or Perry with Fruit,Cheeky Cactus,Cheeky Grog Co. Pty Ltd,VIC,Bronze,80.0
141,Cider or Perry with Fruit,Zeffer Cider Co. Apple and Passionfruit Cider,Zeffer Cider Co.,NZ,Bronze,79.7
142,Cider or Perry with Fruit,Fils de Pomme - La Coquette,Fils de Pomme Australia Pty Ltd,NSW,Bronze,78.0
143,Cider or Perry with Fruit,Funk Cider - Pineapple Cider,Funk Cider,WA,Bronze,78.0
144,Cider or Perry with Fruit,Cheeky Tiki - Passionfruit Cider,Ohana Winery & Cheeky Tiki Cider,QLD,Bronze,78.0
145,Cider or Perry with Fruit,FKA Passionfruit Cider,Tower Estate,NSW,Bronze,78.0
146,Cider or Perry with Fruit,Byron Bay Wild Cider,Ancient Wisdom,NSW,Bronze,77.7
147,Cider or Perry with Fruit,Spreyton Cider Co - Apple and Raspberry Cider,Spreyton Fresh P/L,TAS,Bronze,77.5
148,Lighter Strength Cider or Perry,Daylesford Cider - Heritage Light,Daylesford Cider,VIC,Bronze,81.0
149,Pommeau,Charles Oates Distilling Pommeau,William Smith and Sons,TAS,Silver,87.0
150,Pommeau,Small Acres Cyder 2011 Pommeau,Small Acres Cyder,NSW,Bronze,79.0
151,Apple or Pear Spirits - Eau de Vie,Charles Oates Distilling Apple Blanco,William Smith and Sons,TAS,Gold,92.5
152,Apple or Pear Spirits - Eau de Vie,Core Cider Tractor Juice,Core Cider,WA,Silver,85.0
153,Apple or Pear Spirits - Eau de Vie,On the Shoulders of Giants Genuine Apple Spirit,Manjimup Cider Co,WA,Silver,85.0
154,Apple or Pear Spirits - Eau de Vie,Eau De Vie,Carmel Cider Company,WA,Bronze,78.0
155,Apple or Pear Spirits - Aged Spirit,Charles Oates Distilling Fine Apple Brandy Muscat Barrel,William Smith and Sons,TAS,Silver,88.0
156,Apple or Pear Spirits - Aged Spirit,Charles Oates Distilling Fine Apple Brandy Tokay Barrel,William Smith and Sons,TAS,Silver,85.0
157,Apple or Pear Spirits - Aged Spirit,LOBO Apple Brandy - Lobodos,LOBO Juice and Cider Pty Ltd,SA,Bronze,79.0
