ID,Year,ID2,WID,Medalist_Original,Class,Award,Medalist,Product,Score,Class #,BOC,Region_Original,Status,Region,Country,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
12,2011,47,1149,(Phoenix Beers) Domaine Dupont,Bottle Conditioned / Methode Champenoise Cider,🥈 Silver,Domaine Dupont,Domaine Dupont Reserve,,4,0,,Active,Normandy,France,"<a href=""https://www.calvados-dupont.com/"">Website</a>","<a href=""https://www.facebook.com/calvados.dupont/"">Facebook</a>","<a href=""https://www.instagram.com/domaine_dupont/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4283975466429458280"">Google</a>","<a href=""https://www.yelp.com/biz/domaine-familial-louis-dupont-victot-pontfol"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g3419860-d2344452"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/4744"">Untappd</a>"
13,2011,53,1187,Elephant's Rock Cider Company,Dry Perry,🥉 Bronze,Elephants Rock Cider Company,Oaked Pear Cider,,5,1,,Active,Western Australia,Australia,"<a href=""https://www.denmarkgoodfoodfactory.com.au/"">Website</a>","<a href=""https://www.facebook.com/denmarkgoodfoodfactory"">Facebook</a>","<a href=""https://www.instagram.com/denmarkgoodfoodfactory"">Instagram</a>","<a href=""https://maps.google.com/?cid=151466976562038455"">Google</a>","<a href=""https://www.yelp.com/biz/elephant-rock-cider-william-bay"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g488338-d2629193"">TripAdvisor</a>","<a href=""https://untappd.com/w/elephants-rock-cider-company/55250"">Untappd</a>"
14,2011,55,1184,The Hills Cider Company,Medium Perry,🥈 Silver,The Hills Cider Company,Pear / Perry,,6,1,,Active,South Australia,Australia,,"<a href=""https://www.facebook.com/thehillscidercompany"">Facebook</a>","<a href=""https://www.instagram.com/thehillscidercompany/"">Instagram</a>","<a href=""https://maps.google.com/?cid=40048064327732560"">Google</a>",,,"<a href=""https://untappd.com/thehillscidercompany"">Untappd</a>"
15,2011,56,1504,Core Cider House,Medium Perry,🥉 Bronze,Core Cider,Core Traditional Pear,,6,0,,Active,Western Australia,Australia,"<a href=""https://corecider.com.au/"">Website</a>","<a href=""https://www.facebook.com/pages/The-CORE-Cider-House/193269374050973"">Facebook</a>","<a href=""https://www.instagram.com/coreciderhouse/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9482101079872958147"">Google</a>","<a href=""https://www.yelp.com/biz/core-cider-pickering-brook-3"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g804216-d3191966"">TripAdvisor</a>","<a href=""https://untappd.com/w/core-cider-house/90179"">Untappd</a>"
16,2011,61,1176,Napoleone & Co / Punt Road,Bottle Conditioned / Methode Champenoise Perry,🥈 Silver,Napoleone Cider,Pear Cider Traditionelle,,8,1,,Active,Victoria,Australia,"<a href=""https://napoleone.com.au/"">Website</a>","<a href=""https://www.facebook.com/napoleoneorchardbar"">Facebook</a>","<a href=""https://www.instagram.com/napoleonecider"">Instagram</a>","<a href=""https://maps.google.com/?cid=3472985488113617215"">Google</a>","<a href=""https://www.yelp.com/biz/napoleone-brewery-and-ciderhouse-coldstream"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g1205102-d7980976"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/3800"">Untappd</a>"
17,2011,62,2839,Borrodell on the Mount,Bottle Conditioned / Methode Champenoise Perry,🥉 Bronze,Borrodell Vineyard,Borrodell Perry,,8,0,,Active,New South Wales,Australia,"<a href=""https://www.borrodell.com.au/"">Website</a>","<a href=""https://www.facebook.com/BorrodellVineyard/"">Facebook</a>","<a href=""https://www.instagram.com/borrodell_vineyard/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9113164481963775697"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g255326-d4469466"">TripAdvisor</a>","<a href=""https://untappd.com/w/borrodell-vineyard/42488"">Untappd</a>"
18,2011,72,3409,(Liquid Ideas) Carlton and United,Medium Cider made using water and/or sugar in production,🥈 Silver,Matilda Bay Brewing Company,Dirty Granny,,10,1,,Inactive,Victoria,Australia,,,,,,,
19,2011,73,1147,Old Mout Cider,Medium Cider made using water and/or sugar in production,🥉 Bronze,Redwood Cider Co.,Scrumpy,,10,0,,Active,Tasman,New Zealand,"<a href=""https://www.db.co.nz/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=6996062561310556831"">Google</a>",,,"<a href=""https://untappd.com/w/redwood-cider-co/184117"">Untappd</a>"
20,2012,1,1343,Ciderhaus,Dry Cider,🥇 Gold,Weidmann & Groh,Weidmann and Groh – Bohnapfel Halb-Trocken 2010,,1,1,,Active,Hesse,Germany,"<a href=""https://weidmann-groh.de/"">Website</a>","<a href=""https://www.facebook.com/pages/WEIDMANN-GROH/138116339592327"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=6569120976887073603"">Google</a>",,,"<a href=""https://untappd.com/w/weidmann-groh/73065"">Untappd</a>"
21,2012,2,1325,Ciderhaus,Dry Cider,🥈 Silver,Apfelweinkontor,Apfelwein Kontor ‘Wein aus Apfeln” 2010,,1,0,,Active,Hesse,Germany,"<a href=""https://www.apfelweinkontor.com/"">Website</a>","<a href=""https://www.facebook.com/Apfelweinkontor"">Facebook</a>","<a href=""https://www.instagram.com/apfelweinkontor/"">Instagram</a>","<a href=""https://maps.google.com/?cid=599143855742456461"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g187337-d6922559"">TripAdvisor</a>","<a href=""https://untappd.com/w/apfelweinkontor-frankfurt/468433"">Untappd</a>"
22,2012,3,X,Cider Garden,Dry Cider,🥈 Silver,Cider Garden,Cider Garden Dry Cider,,1,0,,Inactive,---,---,,,,,,,
23,2012,4,1292,Omadale Brook Estate,Dry Cider,🥉 Bronze,Tilse's Apple Truck Cider,Tilse’s Apple Wine,,1,0,,Active,New South Wales,Australia,"<a href=""https://www.theorchardlodge.com.au/"">Website</a>","<a href=""https://www.facebook.com/theorchardlodgensw/"">Facebook</a>","<a href=""https://www.instagram.com/appletruckcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=18205993928648034259"">Google</a>",,"<a href=""https://www.tripadvisor.com/Hotel_Review-g5788651-d23405360"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/30402"">Untappd</a>"
24,2012,5,1164,Ciderhaus,Dry Cider,🥉 Bronze,Kelterei Stier,Hessen – A La Carte Schoppen,,1,0,,Active,Hesse,Germany,"<a href=""https://www.kelterei-stier.de/"">Website</a>","<a href=""https://www.facebook.com/KeltereiStierBischofsheim/"">Facebook</a>","<a href=""https://www.instagram.com/keltereistier/"">Instagram</a>","<a href=""https://maps.google.com/?cid=7976250328587904866"">Google</a>",,,"<a href=""https://untappd.com/w/kelterei-stier/56262"">Untappd</a>"
25,2012,6,3422,Little Creatures,Medium Cider,🥈 Silver,Little Creatures,Pipsqueak Best Cider,,2,1,,Active,Western Australia,Australia,"<a href=""https://littlecreatures.com.au/"">Website</a>","<a href=""https://www.facebook.com/littlecreaturesbrewing"">Facebook</a>","<a href=""https://www.instagram.com/littlecreaturesbrewing/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1864054459948406266"">Google</a>","<a href=""https://www.yelp.com/biz/little-creatures-brewery-fremantle"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g285726-d778314"">TripAdvisor</a>","<a href=""https://untappd.com/LittleCreaturesBrewing"">Untappd</a>"
26,2012,7,3394,Red Sails,Medium Cider,🥈 Silver,Red Sails Ciders,Red Sails Cider Gold,,2,0,,Inactive,Tasmania,Australia,,,,,,,
27,2012,8,1179,Phoenix Beers,Medium Cider,🥉 Bronze,Henney's Cider,Henney’s Dry Cider,,2,0,,Active,Herefordshire,England,"<a href=""http://www.henneys.co.uk/"">Website</a>","<a href=""https://www.facebook.com/HenneysCider"">Facebook</a>",,,,,"<a href=""https://untappd.com/brewery/10577"">Untappd</a>"
28,2012,9,1292,Omadale Brook Estate,Medium Cider,🥉 Bronze,Tilse's Apple Truck Cider,Hunter River Cider,,2,0,,Active,New South Wales,Australia,"<a href=""https://www.theorchardlodge.com.au/"">Website</a>","<a href=""https://www.facebook.com/theorchardlodgensw/"">Facebook</a>","<a href=""https://www.instagram.com/appletruckcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=18205993928648034259"">Google</a>",,"<a href=""https://www.tripadvisor.com/Hotel_Review-g5788651-d23405360"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/30402"">Untappd</a>"
29,2012,10,3432,Australian Brewery,Medium Cider,🥉 Bronze,The Australian Brewery,AB Fresh Press Cider,,2,0,,Active,New South Wales,Australia,"<a href=""https://www.australianhotelbrewery.com.au/"">Website</a>","<a href=""https://www.facebook.com/australianhotelbrewery"">Facebook</a>","<a href=""https://www.instagram.com/australianhotelbrewery"">Instagram</a>","<a href=""https://maps.google.com/?cid=11658747106516787081"">Google</a>","<a href=""https://www.yelp.com/biz/the-australian-brewery-rouse-hill"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g1548245-d10063887"">TripAdvisor</a>","<a href=""https://untappd.com/TheAustralianBrewery"">Untappd</a>"
30,2012,11,3393,King Valley Cider Co,Medium Cider,🥉 Bronze,King Valley Cider Co.,King Valley Cider Company – Traditionally Tart,,2,0,,Inactive,Victoria,Australia,,,,,,,
31,2012,12,2860,Hillbilly Cider,Medium Cider,🥉 Bronze,Hillbilly Cider,Hillbilly Apple Cider,,2,0,,Active,New South Wales,Australia,"<a href=""https://hillbillycider.com.au/"">Website</a>","<a href=""https://www.facebook.com/HillbillyCider/"">Facebook</a>","<a href=""https://www.instagram.com/hillbillycider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=904695025997043027"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g1093762-d12290596"">TripAdvisor</a>","<a href=""https://untappd.com/w/hillbilly-harvest-co/44163"">Untappd</a>"
32,2012,13,3405,Oakvale Wines,Medium Cider,🥉 Bronze,Oakvale Wines,Oakvale Apple Cider,,2,0,,Active,New South Wales,Australia,"<a href=""https://www.oakvalewines.com.au/"">Website</a>","<a href=""https://www.facebook.com/oakvalewinery"">Facebook</a>","<a href=""https://www.instagram.com/oakvalewines/"">Instagram</a>","<a href=""https://maps.google.com/?cid=5190501698518241314"">Google</a>","<a href=""https://www.yelp.com/biz/oakvale-wines-pokolbin"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g255328-d2536109"">TripAdvisor</a>","<a href=""https://untappd.com/w/oakvale/157694"">Untappd</a>"
33,2012,14,2862,Kangaroo Island Cider,Medium Cider,🥉 Bronze,Kangaroo Island Ciders,Kangaroo Island Cider- Colony Cove,,2,0,,Active,South Australia,Australia,"<a href=""https://www.kangarooislandciders.com.au/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=7120331639179318476"">Google</a>",,,"<a href=""https://untappd.com/w/kangaroo-island-ciders/62318"">Untappd</a>"
34,2012,15,1179,Phoenix Beers,Sweet Cider,🥇 Gold,Henney's Cider,Henney’s Apple – Sweet Cider,,3,1,,Active,Herefordshire,England,"<a href=""http://www.henneys.co.uk/"">Website</a>","<a href=""https://www.facebook.com/HenneysCider"">Facebook</a>",,,,,"<a href=""https://untappd.com/brewery/10577"">Untappd</a>"
35,2012,16,1553,Franklin Cider Company,Sweet Cider,🥉 Bronze,Frank's Cider,Frank’s Summer Apple Cider,,3,0,,Active,Tasmania,Australia,"<a href=""https://www.frankscider.com.au/"">Website</a>","<a href=""https://www.facebook.com/FranksCider"">Facebook</a>","<a href=""https://www.instagram.com/frankscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12281895632138757991"">Google</a>","<a href=""https://www.yelp.com/biz/franks-cider-bar-and-cafe-franklin"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g504298-d7270183"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/66943"">Untappd</a>"
36,2012,17,1370,Cerbaco Distribution,Bottle Conditioned / Methode Champenoise Cider,🥈 Silver,Cidres la Pommeraie,Cidre Brut Artisanal de Normandie La Pommeraie,,4,1,,Inactive,Normandy,France,,,,,,,
37,2012,18,3392,Hazeldean – Baw Baw,Bottle Conditioned / Methode Champenoise Cider,🥈 Silver,Hazeldean Forest Farm,Baw Baw Sparkling Cider,,4,0,,Inactive,Victoria,Australia,,,,,,,
38,2012,19,1370,Cerbaco Distribution,Bottle Conditioned / Methode Champenoise Cider,🥉 Bronze,Cidres la Pommeraie,Cidre Doux Artisanal de Normandie La Pommeraie,,4,0,,Inactive,Normandy,France,,,,,,,
39,2012,20,1356,Henry of Harcourt,Bottle Conditioned / Methode Champenoise Cider,🥉 Bronze,Henry of Harcourt,Black Fox Cider,,4,0,,Active,Victoria,Australia,"<a href=""https://henrycider.com/"">Website</a>","<a href=""https://www.facebook.com/henrycider/"">Facebook</a>","<a href=""https://www.instagram.com/henrycider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8940355932051611367"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g552178-d8783234"">TripAdvisor</a>","<a href=""https://untappd.com/w/henry-of-harcourt/5374"">Untappd</a>"
40,2012,21,1427,St Ronan’s Cider,Bottle Conditioned / Methode Champenoise Cider,🥉 Bronze,St Ronan's Cider,Methode Traditionelle Apple Cider,,4,0,,Active,Victoria,Australia,"<a href=""https://stronanscider.com.au/"">Website</a>","<a href=""https://www.facebook.com/StRonansCider"">Facebook</a>","<a href=""https://www.instagram.com/st_ronans_cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1347860416011573691"">Google</a>",,,"<a href=""https://untappd.com/StRonansCider"">Untappd</a>"
41,2012,22,1420,Kellybrook,Bottle Conditioned / Methode Champenoise Cider,🥉 Bronze,Kellybrook Winery,Kellys Jazz Methode,,4,0,,Active,Victoria,Australia,"<a href=""https://www.kellybrookwinery.com.au/"">Website</a>","<a href=""https://www.facebook.com/kellybrookwinery"">Facebook</a>","<a href=""https://www.instagram.com/kellybrookwinery"">Instagram</a>","<a href=""https://maps.google.com/?cid=11638840488142948775"">Google</a>","<a href=""https://www.yelp.com/biz/kellybrook-winery-wonga-park-3"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g1982951-d21063415"">TripAdvisor</a>","<a href=""https://untappd.com/w/kellybrook-winery/306274"">Untappd</a>"
42,2012,23,1175,Small Acres Cyder,Bottle Conditioned / Methode Champenoise Cider,🥉 Bronze,Small Acres Cyder,Small Acres Sparkling 2010,,4,0,,Active,New South Wales,Australia,"<a href=""https://www.smallacrescyder.com.au/"">Website</a>","<a href=""https://www.facebook.com/SmallAcresCyder"">Facebook</a>","<a href=""https://www.instagram.com/smallacrescyder"">Instagram</a>","<a href=""https://maps.google.com/?cid=1497457670374953580"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g2642455-d5991203"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/14584"">Untappd</a>"
43,2012,24,1176,Napoleon Punt,Bottle Conditioned / Methode Champenoise Cider,🥉 Bronze,Napoleone Cider,Methode Traditionnelle Apple Cider,,4,0,,Active,Victoria,Australia,"<a href=""https://napoleone.com.au/"">Website</a>","<a href=""https://www.facebook.com/napoleoneorchardbar"">Facebook</a>","<a href=""https://www.instagram.com/napoleonecider"">Instagram</a>","<a href=""https://maps.google.com/?cid=3472985488113617215"">Google</a>","<a href=""https://www.yelp.com/biz/napoleone-brewery-and-ciderhouse-coldstream"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g1205102-d7980976"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/3800"">Untappd</a>"
44,2012,25,1176,Napoleon Punt,Bottle Conditioned / Methode Champenoise Cider,🥉 Bronze,Napoleone Cider,Methode Traditionnelle Early Disgorged Dry Apple Cider,,4,0,,Active,Victoria,Australia,"<a href=""https://napoleone.com.au/"">Website</a>","<a href=""https://www.facebook.com/napoleoneorchardbar"">Facebook</a>","<a href=""https://www.instagram.com/napoleonecider"">Instagram</a>","<a href=""https://maps.google.com/?cid=3472985488113617215"">Google</a>","<a href=""https://www.yelp.com/biz/napoleone-brewery-and-ciderhouse-coldstream"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g1205102-d7980976"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/3800"">Untappd</a>"
45,2012,26,1189,Lobo,Dry Perry,🥉 Bronze,Lobo Cider,Lobo Dry Perry,,5,1,,Active,South Australia,Australia,"<a href=""https://www.lobocider.com.au/"">Website</a>","<a href=""https://www.facebook.com/LOBOcider/"">Facebook</a>","<a href=""https://www.instagram.com/lobocider"">Instagram</a>",,,,"<a href=""https://untappd.com/brewery/8446"">Untappd</a>"
46,2012,27,1184,The Hills Cider Company,Medium Perry,🥈 Silver,The Hills Cider Company,Hills Cider – Pear Traditional,,6,1,,Active,South Australia,Australia,,"<a href=""https://www.facebook.com/thehillscidercompany"">Facebook</a>","<a href=""https://www.instagram.com/thehillscidercompany/"">Instagram</a>","<a href=""https://maps.google.com/?cid=40048064327732560"">Google</a>",,,"<a href=""https://untappd.com/thehillscidercompany"">Untappd</a>"
47,2012,28,3422,Little Creatures,Medium Perry,🥉 Bronze,Little Creatures,Pipsqueak Pear Cider,,6,0,,Active,Western Australia,Australia,"<a href=""https://littlecreatures.com.au/"">Website</a>","<a href=""https://www.facebook.com/littlecreaturesbrewing"">Facebook</a>","<a href=""https://www.instagram.com/littlecreaturesbrewing/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1864054459948406266"">Google</a>","<a href=""https://www.yelp.com/biz/little-creatures-brewery-fremantle"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g285726-d778314"">TripAdvisor</a>","<a href=""https://untappd.com/LittleCreaturesBrewing"">Untappd</a>"
48,2012,29,1175,Small Acres Cyder,Medium Perry,🥉 Bronze,Small Acres Cyder,Small Acres Poire,,6,0,,Active,New South Wales,Australia,"<a href=""https://www.smallacrescyder.com.au/"">Website</a>","<a href=""https://www.facebook.com/SmallAcresCyder"">Facebook</a>","<a href=""https://www.instagram.com/smallacrescyder"">Instagram</a>","<a href=""https://maps.google.com/?cid=1497457670374953580"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g2642455-d5991203"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/14584"">Untappd</a>"
49,2012,30,1553,Franklin Cider Company,Sweet Perry,🥉 Bronze,Frank's Cider,Franks’ Summer Pear Cider,,7,1,,Active,Tasmania,Australia,"<a href=""https://www.frankscider.com.au/"">Website</a>","<a href=""https://www.facebook.com/FranksCider"">Facebook</a>","<a href=""https://www.instagram.com/frankscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12281895632138757991"">Google</a>","<a href=""https://www.yelp.com/biz/franks-cider-bar-and-cafe-franklin"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g504298-d7270183"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/66943"">Untappd</a>"
50,2012,31,1427,St Ronan’s Cider,Bottle Conditioned / Methode Champenoise Perry,🥇 Gold,St Ronan's Cider,Methode Traditionelle Pear Cider,,8,1,,Active,Victoria,Australia,"<a href=""https://stronanscider.com.au/"">Website</a>","<a href=""https://www.facebook.com/StRonansCider"">Facebook</a>","<a href=""https://www.instagram.com/st_ronans_cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1347860416011573691"">Google</a>",,,"<a href=""https://untappd.com/StRonansCider"">Untappd</a>"
51,2012,32,1176,Napoleon Punt,Bottle Conditioned / Methode Champenoise Perry,🥈 Silver,Napoleone Cider,Methode Traditionnelle Pear Cider,,8,0,,Active,Victoria,Australia,"<a href=""https://napoleone.com.au/"">Website</a>","<a href=""https://www.facebook.com/napoleoneorchardbar"">Facebook</a>","<a href=""https://www.instagram.com/napoleonecider"">Instagram</a>","<a href=""https://maps.google.com/?cid=3472985488113617215"">Google</a>","<a href=""https://www.yelp.com/biz/napoleone-brewery-and-ciderhouse-coldstream"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g1205102-d7980976"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/3800"">Untappd</a>"
52,2012,33,1131,Westons / World Brands,Dry Cider made using water and/or sugar in production,🥉 Bronze,Westons Cider,Old Rosie Scrumpy (carbonated),,9,1,,Active,Herefordshire,England,"<a href=""https://www.westons-cider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/WestonsCiderMill"">Facebook</a>","<a href=""https://www.instagram.com/westonscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=11779156514256391794"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g186303-d218508"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/6135"">Untappd</a>"
53,2012,34,1131,Westons / World Brands,Medium Cider made using water and/or sugar in production,🥉 Bronze,Westons Cider,Old Rosie Scrumpy (still),,10,1,,Active,Herefordshire,England,"<a href=""https://www.westons-cider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/WestonsCiderMill"">Facebook</a>","<a href=""https://www.instagram.com/westonscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=11779156514256391794"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g186303-d218508"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/6135"">Untappd</a>"
54,2012,35,1147,Redwood – Old Mout,Medium Cider made using water and/or sugar in production,🥉 Bronze,Redwood Cider Co.,Old Mout Cider – Scrumpy,,10,0,,Active,Tasman,New Zealand,"<a href=""https://www.db.co.nz/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=6996062561310556831"">Google</a>",,,"<a href=""https://untappd.com/w/redwood-cider-co/184117"">Untappd</a>"
55,2012,36,1131,Westons / World Brands,Medium Cider made using water and/or sugar in production,🥉 Bronze,Westons Cider,Wyld Wood Apple – Organic,,10,0,,Active,Herefordshire,England,"<a href=""https://www.westons-cider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/WestonsCiderMill"">Facebook</a>","<a href=""https://www.instagram.com/westonscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=11779156514256391794"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g186303-d218508"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/6135"">Untappd</a>"
