ID,Style,Medal,Medalist,Entry,Region,Points,WID,Website,Facebook,Instagram,Google,TripAdvisor,Untappd,Latitude,Longitude
23,New World Cider - Medium Sweet,🥈 SILVER,Spreyton Cider Co,Apple Cider,Tasmania,88,1502,https://www.spreytonciderco.com.au/,https://www.facebook.com/SpreytonCiderCo,https://www.instagram.com/spreytonciderco/,https://maps.google.com/?cid=4719454766033276507,https://www.tripadvisor.com/Attraction_Review-g504292-d3738226,https://untappd.com/SpreytonCiderCo,-41.2451669,146.3426667
24,New World Cider - Medium Sweet,🥈 SILVER,Barossa Cider Co,Squashed Apple Cider,South Australia,87,2838,https://barossavalleyciderco.com/,https://www.facebook.com/barossacider/,https://www.instagram.com/barossacider.co/,,,https://untappd.com/TheBarossaValleyCiderCo,-34.479051,138.9579419
25,New World Cider - Medium Sweet,🥈 SILVER,Bruny Island Cider,Bruny Island Apple Cider,Tasmania,87,2840,https://www.brunyisland.com/catalogue/bruny-island-cider/,https://www.facebook.com/BrunyIslandCider/,https://www.instagram.com/brunyislandcider/,,,https://untappd.com/w/bruny-island-cider/235917,-43.3220335,147.2421817
26,New World Cider - Medium Sweet,🥈 SILVER,Gurneys Cider,Gold,Victoria,86,2857,https://gurneyscider.com.au/,https://www.facebook.com/gurneyscider,https://www.instagram.com/gurneyscidery/,https://maps.google.com/?cid=17296225831182939561,https://www.tripadvisor.com/Attraction_Review-g552172-d15180819,https://untappd.com/GurneysCider,-38.667425,146.1843654
27,New World Cider - Medium Sweet,🥈 SILVER,Lenswood Cider Company,Hazy Apple Cider,South Australia,86,2863,https://www.lenswoodciderco.com.au/,https://www.facebook.com/lenswoodciderco,https://www.instagram.com/lenswoodciderco/,,,https://untappd.com/w/lenswood-cider-co/472218,-34.94118,138.8195355
28,New World Cider - Medium Sweet,🥉 BRONZE,Small Acres Cyder,Pomme,New South Wales,84,1175,https://www.smallacrescyder.com.au/,https://www.facebook.com/SmallAcresCyder,https://www.instagram.com/smallacrescyder,https://maps.google.com/?cid=1497457670374953580,https://www.tripadvisor.com/Attraction_Review-g2642455-d5991203,https://untappd.com/brewery/14584,-33.2818782,148.9909171
29,New World Cider - Medium Sweet,🥉 BRONZE,Mountain Goat,Hazy Apple Cider,Victoria,83.5,3191,https://www.goatbeer.com.au/,https://www.facebook.com/goatbeer,https://www.instagram.com/goatbeer,https://maps.google.com/?cid=3590392710166252972,,https://untappd.com/mountaingoatbeer,-37.8167663,145.0128053
30,New World Cider - Medium Sweet,🥉 BRONZE,The Apple Thief,Pink Lady Cider,New South Wales,83.5,1494,https://theapplethief.com.au/,https://www.facebook.com/TheAppleThiefCiders/,https://www.instagram.com/theapplethiefciders/,https://maps.google.com/?cid=4762631239680624675,,https://untappd.com/brewery/21796,-35.4922551,148.1527324
31,New World Cider - Medium Sweet,🥉 BRONZE,Yallingup Cider Co.,Apple Cider,Western Australia,83.5,2877,https://www.yallingupciderco.com.au/,,https://www.instagram.com/yallingupciderco/,,,,-33.720299,115.030966
32,New World Cider - Medium Sweet,🥉 BRONZE,Bilpin Cider,Bilpin Archibald Cloudy apple cider,New South Wales,83,1190,https://bilpincider.com/,https://www.facebook.com/bilpincider,https://www.instagram.com/bilpincider/,https://maps.google.com/?cid=1982319036704250930,https://www.tripadvisor.com/Attraction_Review-g1093762-d10065632,https://untappd.com/brewery/18734,-33.5034269,150.5299259
33,New World Cider - Medium Sweet,🥉 BRONZE,Golden Axe,Crisp Apple Cider,Victoria,81,3195,https://kaijubeer.com.au/,https://www.facebook.com/KaijuBeer.au,https://www.instagram.com/kaijubeer,https://maps.google.com/?cid=487547657947015054,https://www.tripadvisor.com/Restaurant_Review-g4379937-d26699553,https://untappd.com/SouthEastBrewingCompanyPtyLtd,-37.9109742,145.1075402
34,New World Cider - Medium Sweet,🥉 BRONZE,Napoleone Cider,Louis Hard Cider,Victoria,80.5,1176,https://napoleone.com.au/,https://www.facebook.com/napoleoneorchardbar,https://www.instagram.com/napoleonecider,https://maps.google.com/?cid=3472985488113617215,https://www.tripadvisor.com/Attraction_Review-g1205102-d7980976,https://untappd.com/brewery/3800,-37.691864,145.4129791
35,New World Cider - Medium Sweet,🥉 BRONZE,Ci-Fi,Cold Pressed Alcoholic Apple CIder,New South Wales,80,3196,https://pinnacledrinks.com.au/,,,https://maps.google.com/?cid=18382720107027294885,,https://untappd.com/PinnacleDrinksQS,-33.886352,151.2105635
36,New World Cider - Medium Sweet,🥉 BRONZE,Lenswood Cider Company,Apple Cider,South Australia,80,2863,https://www.lenswoodciderco.com.au/,https://www.facebook.com/lenswoodciderco,https://www.instagram.com/lenswoodciderco/,,,https://untappd.com/w/lenswood-cider-co/472218,-34.94118,138.8195355
37,New World Cider - Medium Sweet,🥉 BRONZE,Plenty,Original,Tasmania,80,2699,https://www.plentycider.com.au/,https://www.facebook.com/plentycider/,https://www.instagram.com/plentycider/,https://maps.google.com/?cid=108618394510087143,,https://untappd.com/w/plenty-cider/454183,-42.7535512,146.9708462
38,New World Cider - Medium Sweet,🥉 BRONZE,The Apple Thief,Braeburn Gala Cider,New South Wales,79.5,1494,https://theapplethief.com.au/,https://www.facebook.com/TheAppleThiefCiders/,https://www.instagram.com/theapplethiefciders/,https://maps.google.com/?cid=4762631239680624675,,https://untappd.com/brewery/21796,-35.4922551,148.1527324
39,New World Cider - Medium Sweet,🥉 BRONZE,Twisted Sister,Twisted Sister Apple Cider,Victoria,79.5,2855,https://www.grand-ridge.com.au/,https://www.facebook.com/grandridgebrewery,https://www.instagram.com/grandridgebeer/,https://maps.google.com/?cid=8403918293255045179,https://www.tripadvisor.com/Restaurant_Review-g552213-d4791367,https://untappd.com/GrandRidgeBrewery,-38.4008598,146.1628112
40,New World Cider - Medium Sweet,🥉 BRONZE,Bilpin Cider,Bilpin Original Cider,New South Wales,78,1190,https://bilpincider.com/,https://www.facebook.com/bilpincider,https://www.instagram.com/bilpincider/,https://maps.google.com/?cid=1982319036704250930,https://www.tripadvisor.com/Attraction_Review-g1093762-d10065632,https://untappd.com/brewery/18734,-33.5034269,150.5299259
41,New World Cider - Medium Sweet,🥉 BRONZE,Bilpin Cider,Bilpin Pippndale Apple Cider,New South Wales,78,1190,https://bilpincider.com/,https://www.facebook.com/bilpincider,https://www.instagram.com/bilpincider/,https://maps.google.com/?cid=1982319036704250930,https://www.tripadvisor.com/Attraction_Review-g1093762-d10065632,https://untappd.com/brewery/18734,-33.5034269,150.5299259
42,New World Cider - Sweet,🥈 SILVER,Hillbilly Cider,Sweet Julie,New South Wales,87.5,2860,https://hillbillycider.com.au/,https://www.facebook.com/HillbillyCider/,https://www.instagram.com/hillbillycider/,https://maps.google.com/?cid=904695025997043027,https://www.tripadvisor.com/Attraction_Review-g1093762-d12290596,https://untappd.com/w/hillbilly-harvest-co/44163,-33.5050517,150.5450351
43,New World Cider - Sweet,🥈 SILVER,Sydney Brewery,Original Cider,New South Wales,86,2875,https://sydneybrewery.com/,https://www.facebook.com/SydneyBrewery/,https://www.instagram.com/sydneybrewery/,https://maps.google.com/?cid=6674617705014025022,https://www.tripadvisor.com/Restaurant_Review-g23197656-d15602287,https://untappd.com/SydneyBrewhouse,-33.8819999,151.2098009
44,New World Cider - Sweet,🥈 SILVER,Flying Brick Cider Co,Original Cider,Victoria,85,1488,https://flyingbrickciderco.com.au/,https://www.facebook.com/flyingbrickciderco,https://www.instagram.com/flyingbrickciderco/,https://maps.google.com/?cid=413601929230884265,https://www.tripadvisor.com/Restaurant_Review-g1937720-d7332877,https://untappd.com/brewery/33883,-38.2112991,144.5152589
45,New World Cider - Sweet,🥉 BRONZE,Monkey Rock Cider,Apple,Western Australia,84,2864,https://www.monkeyrockwinery.com.au/,https://www.facebook.com/monkeyrockwinerydenmarkWA,https://www.instagram.com/monkeyrockwineryandcider/,https://maps.google.com/?cid=4216191327395483874,https://www.tripadvisor.com/Attraction_Review-g488338-d18942597,https://untappd.com/w/monkey-rock-cider/488303,-34.9965582,117.2639961
46,New World Cider - Sweet,🥉 BRONZE,Bilpin Cider,Bilpin Blush Pink Lady Cider,New South Wales,80.5,1190,https://bilpincider.com/,https://www.facebook.com/bilpincider,https://www.instagram.com/bilpincider/,https://maps.google.com/?cid=1982319036704250930,https://www.tripadvisor.com/Attraction_Review-g1093762-d10065632,https://untappd.com/brewery/18734,-33.5034269,150.5299259
47,New World Cider - Sweet,🥉 BRONZE,The Wild Beyond,New World Cider,Western Australia,78,3197,https://newleaforchard.com.au/,https://www.facebook.com/wildbeyondcider,,,,,-34.3188398,116.1623223
48,New World Cider - Méthode Traditionnelle (Disgorged),🥈 SILVER,Bradys Lookout Cider,Cuvee 13 - Cox Orange Pippin Blend,Tasmania,90,1918,https://www.bradyslookoutcider.com.au/,https://www.facebook.com/bradyslookoutcider,https://www.instagram.com/bradys_lookout_cider/,https://maps.google.com/?cid=17861747211596541785,,https://untappd.com/w/brady-s-lookout/225207,-41.340095,147.0000822
49,New World Cider - Méthode Traditionnelle (Disgorged),🥈 SILVER,Bradys Lookout Cider,Cuvee 14 - Legana Wild Cider,Tasmania,87,1918,https://www.bradyslookoutcider.com.au/,https://www.facebook.com/bradyslookoutcider,https://www.instagram.com/bradys_lookout_cider/,https://maps.google.com/?cid=17861747211596541785,,https://untappd.com/w/brady-s-lookout/225207,-41.340095,147.0000822
50,New World Cider - Méthode Traditionnelle (Disgorged),🥈 SILVER,Bradys Lookout Cider,Cuvee 12 - Heritage Blend,Tasmania,85.5,1918,https://www.bradyslookoutcider.com.au/,https://www.facebook.com/bradyslookoutcider,https://www.instagram.com/bradys_lookout_cider/,https://maps.google.com/?cid=17861747211596541785,,https://untappd.com/w/brady-s-lookout/225207,-41.340095,147.0000822
51,New World Cider - Méthode Traditionnelle (Disgorged),🥈 SILVER,Sunshine Coast Cider,Brut+ Cider Methode Traditionelle,Queensland,85,2874,https://www.sunshinecoastcider.com.au/,https://www.facebook.com/sunshinecoastcider/,https://www.instagram.com/sunshinecoastcider/,https://maps.google.com/?cid=10163774916123498605,https://www.tripadvisor.com/Attraction_Review-g7815622-d21508891,https://untappd.com/SunshineCoastCider,-26.6619972,153.0417202
52,New World Cider - Méthode Traditionnelle (Disgorged),🥉 BRONZE,Roleystone Brewing Co,Le Pommier Brut,Western Australia,83.5,2869,https://www.roleystonebrewingco.com/,https://www.facebook.com/RoleystoneBrewingCo/,https://www.instagram.com/roleystonebrewingco/,https://maps.google.com/?cid=8363645666309319654,,https://untappd.com/RoleystoneBrewingCo,-32.1259944,116.0605632
53,New World Cider - Méthode Traditionnelle (Disgorged),🥉 BRONZE,Bradys Lookout Cider,Cuvee 17,Tasmania,83,1918,https://www.bradyslookoutcider.com.au/,https://www.facebook.com/bradyslookoutcider,https://www.instagram.com/bradys_lookout_cider/,https://maps.google.com/?cid=17861747211596541785,,https://untappd.com/w/brady-s-lookout/225207,-41.340095,147.0000822
54,Traditional Cider - Dry,🥇 GOLD,Simple,Wild Heritage Blend,Tasmania,94,2701,https://simplecider.com.au/,https://www.facebook.com/simplecider,https://www.instagram.com/simple.cider/,https://maps.google.com/?cid=16786558994979050480,,https://untappd.com/w/simple-cider/259809,-42.8789835,147.3223423
55,Traditional Cider - Dry,🥈 SILVER,Daylesford Cider,Organic Brut,Victoria,90,1186,https://daylesfordcider.com.au/,https://www.facebook.com/DaylesfordCider,https://www.instagram.com/daylesfordcider/,https://maps.google.com/?cid=3704200538482217988,https://www.tripadvisor.com/Attraction_Review-g2533620-d4506486,https://untappd.com/w/daylesford-cider-company/15899,-37.3566482,144.2004847
56,Traditional Cider - Dry,🥈 SILVER,LOBO Cider,Be Wulf,South Australia,86,1189,https://www.lobocider.com.au/,https://www.facebook.com/LOBOcider/,https://www.instagram.com/lobocider,,,https://untappd.com/brewery/8446,-34.9198542,138.8289368
57,Traditional Cider - Dry,🥈 SILVER,LOBO Cider,Norma,South Australia,85,1189,https://www.lobocider.com.au/,https://www.facebook.com/LOBOcider/,https://www.instagram.com/lobocider,,,https://untappd.com/brewery/8446,-34.9198542,138.8289368
58,Traditional Cider - Dry,🥈 SILVER,Peckham's,Reserve Dry,New Zealand,85,1432,http://www.peckhams.co.nz/,,,,,https://untappd.com/brewery/23755,-41.248697,172.9931881
59,Traditional Cider - Dry,🥉 BRONZE,Willie Smith's Tasmanian,Pet Nat Apple Cider,Tasmania,84,1442,https://www.williesmiths.com.au/,https://www.facebook.com/pages/Willie-Smiths-Organic-Cider/260319247336198,https://www.instagram.com/williesmithscider/,https://maps.google.com/?cid=16057012530083496420,https://www.tripadvisor.com/Restaurant_Review-g1175547-d7911074,https://untappd.com/WilliamSmithandSons,-42.987793,147.085402
60,Traditional Cider - Dry,🥉 BRONZE,LOBO Cider,Lenswulf,South Australia,80.5,1189,https://www.lobocider.com.au/,https://www.facebook.com/LOBOcider/,https://www.instagram.com/lobocider,,,https://untappd.com/brewery/8446,-34.9198542,138.8289368
61,Traditional Cider - Dry,🥉 BRONZE,3 Sons Cider,Son Of Cranky,Australian Capital Territory,80,2700,http://www.3sonscider.com.au/,https://www.facebook.com/3SonsCider/,https://www.instagram.com/3sonscider/,https://maps.google.com/?cid=16285596579467432961,,https://untappd.com/3sonscider,-35.2554047,149.0862457
62,Traditional Cider - Dry,🥉 BRONZE,Hart’s Farm,Original Dry Cider,Victoria,78.5,2859,https://www.hartsfarm.com.au/,https://www.facebook.com/Hartsfarm.morningtonpeninsula,https://www.instagram.com/hartsfarm,https://maps.google.com/?cid=10474103931088012940,https://www.tripadvisor.com/Attraction_Review-g552256-d2477464,https://untappd.com/w/hart-s-farm/278622,-38.4093246,145.0064544
63,Traditional Cider - Dry,🥉 BRONZE,The Apple Thief,Bulmers Norman,New South Wales,77.5,1494,https://theapplethief.com.au/,https://www.facebook.com/TheAppleThiefCiders/,https://www.instagram.com/theapplethiefciders/,https://maps.google.com/?cid=4762631239680624675,,https://untappd.com/brewery/21796,-35.4922551,148.1527324
64,Traditional Cider - Medium,🥇 GOLD,Plenty,2022 Cornucopia,Tasmania,93,2699,https://www.plentycider.com.au/,https://www.facebook.com/plentycider/,https://www.instagram.com/plentycider/,https://maps.google.com/?cid=108618394510087143,,https://untappd.com/w/plenty-cider/454183,-42.7535512,146.9708462
65,Traditional Cider - Medium,🥈 SILVER,LOBO Cider,Trad,South Australia,90,1189,https://www.lobocider.com.au/,https://www.facebook.com/LOBOcider/,https://www.instagram.com/lobocider,,,https://untappd.com/brewery/8446,-34.9198542,138.8289368
66,Traditional Cider - Medium,🥈 SILVER,Peckham's,Stoke Red,New Zealand,90,1432,http://www.peckhams.co.nz/,,,,,https://untappd.com/brewery/23755,-41.248697,172.9931881
67,Traditional Cider - Medium,🥈 SILVER,Kerisac,Brut,France,88,1141,https://kerisac.bzh/,https://www.facebook.com/cidrekerisac,https://www.instagram.com/cidreriekerisac/,https://maps.google.com/?cid=14431639837198759734,,https://untappd.com/w/cidres-kerisac/12846,47.519588,-1.9560451
68,Traditional Cider - Medium,🥈 SILVER,The Apple Thief,Kingston Black,New South Wales,88,1494,https://theapplethief.com.au/,https://www.facebook.com/TheAppleThiefCiders/,https://www.instagram.com/theapplethiefciders/,https://maps.google.com/?cid=4762631239680624675,,https://untappd.com/brewery/21796,-35.4922551,148.1527324
69,Traditional Cider - Medium,🥈 SILVER,Willie Smith's Tasmanian,Yarlington Mill,Tasmania,86.5,1442,https://www.williesmiths.com.au/,https://www.facebook.com/pages/Willie-Smiths-Organic-Cider/260319247336198,https://www.instagram.com/williesmithscider/,https://maps.google.com/?cid=16057012530083496420,https://www.tripadvisor.com/Restaurant_Review-g1175547-d7911074,https://untappd.com/WilliamSmithandSons,-42.987793,147.085402
70,Traditional Cider - Medium,🥈 SILVER,Kangaroo Island Ciders,Colony Cove Vintage Cider,South Australia,86,2862,https://www.kangarooislandciders.com.au/,,,https://maps.google.com/?cid=7120331639179318476,,https://untappd.com/w/kangaroo-island-ciders/62318,-35.7852747,137.5522015
71,Traditional Cider - Medium,🥈 SILVER,Spreyton Cider Co,Kingston Black Cider,Tasmania,86,1502,https://www.spreytonciderco.com.au/,https://www.facebook.com/SpreytonCiderCo,https://www.instagram.com/spreytonciderco/,https://maps.google.com/?cid=4719454766033276507,https://www.tripadvisor.com/Attraction_Review-g504292-d3738226,https://untappd.com/SpreytonCiderCo,-41.2451669,146.3426667
72,Traditional Cider - Medium,🥈 SILVER,Daylesford Cider,Organic Kingston / Dabinett,Victoria,85.5,1186,https://daylesfordcider.com.au/,https://www.facebook.com/DaylesfordCider,https://www.instagram.com/daylesfordcider/,https://maps.google.com/?cid=3704200538482217988,https://www.tripadvisor.com/Attraction_Review-g2533620-d4506486,https://untappd.com/w/daylesford-cider-company/15899,-37.3566482,144.2004847
73,Traditional Cider - Medium,🥉 BRONZE,Willie Smith's Tasmanian,Senescence Apple Cider,Tasmania,84.5,1442,https://www.williesmiths.com.au/,https://www.facebook.com/pages/Willie-Smiths-Organic-Cider/260319247336198,https://www.instagram.com/williesmithscider/,https://maps.google.com/?cid=16057012530083496420,https://www.tripadvisor.com/Restaurant_Review-g1175547-d7911074,https://untappd.com/WilliamSmithandSons,-42.987793,147.085402
74,Traditional Cider - Medium,🥉 BRONZE,Peckham's,Farmhouse,New Zealand,84,1432,http://www.peckhams.co.nz/,,,,,https://untappd.com/brewery/23755,-41.248697,172.9931881
75,Traditional Cider - Medium,🥉 BRONZE,Willie Smith's Tasmanian,Kingston Black,Tasmania,84,1442,https://www.williesmiths.com.au/,https://www.facebook.com/pages/Willie-Smiths-Organic-Cider/260319247336198,https://www.instagram.com/williesmithscider/,https://maps.google.com/?cid=16057012530083496420,https://www.tripadvisor.com/Restaurant_Review-g1175547-d7911074,https://untappd.com/WilliamSmithandSons,-42.987793,147.085402
76,Traditional Cider - Medium,🥉 BRONZE,The Apple Thief,Orchard Blend,New South Wales,83.5,1494,https://theapplethief.com.au/,https://www.facebook.com/TheAppleThiefCiders/,https://www.instagram.com/theapplethiefciders/,https://maps.google.com/?cid=4762631239680624675,,https://untappd.com/brewery/21796,-35.4922551,148.1527324
77,Traditional Cider - Medium,🥉 BRONZE,Willie Smith's Tasmanian,Heritage Blend,Tasmania,83.5,1442,https://www.williesmiths.com.au/,https://www.facebook.com/pages/Willie-Smiths-Organic-Cider/260319247336198,https://www.instagram.com/williesmithscider/,https://maps.google.com/?cid=16057012530083496420,https://www.tripadvisor.com/Restaurant_Review-g1175547-d7911074,https://untappd.com/WilliamSmithandSons,-42.987793,147.085402
78,Traditional Cider - Medium,🥉 BRONZE,Willie Smith's Tasmanian,Traditional Apple Cider,Tasmania,83,1442,https://www.williesmiths.com.au/,https://www.facebook.com/pages/Willie-Smiths-Organic-Cider/260319247336198,https://www.instagram.com/williesmithscider/,https://maps.google.com/?cid=16057012530083496420,https://www.tripadvisor.com/Restaurant_Review-g1175547-d7911074,https://untappd.com/WilliamSmithandSons,-42.987793,147.085402
79,Traditional Cider - Medium,🥉 BRONZE,Cider Infusion,The Cape,Victoria,82.5,2842,https://ciderinfusion.com/,https://www.facebook.com/ciderinfusion/,https://www.instagram.com/ciderinfusion/,,,https://untappd.com/w/cider-infusion/534576,-38.1510042,145.1803134
80,Traditional Cider - Medium,🥉 BRONZE,Spreyton Cider Co,Cidermakers Select - Four Orchards,Tasmania,79,1502,https://www.spreytonciderco.com.au/,https://www.facebook.com/SpreytonCiderCo,https://www.instagram.com/spreytonciderco/,https://maps.google.com/?cid=4719454766033276507,https://www.tripadvisor.com/Attraction_Review-g504292-d3738226,https://untappd.com/SpreytonCiderCo,-41.2451669,146.3426667
81,Traditional Cider - Medium,🥉 BRONZE,Peckham's,Knotted Kernel,New Zealand,77.5,1432,http://www.peckhams.co.nz/,,,,,https://untappd.com/brewery/23755,-41.248697,172.9931881
82,Traditional Cider - Medium Sweet,🥈 SILVER,Daylesford Cider,2023 Organic Kingston Black,Victoria,90,1186,https://daylesfordcider.com.au/,https://www.facebook.com/DaylesfordCider,https://www.instagram.com/daylesfordcider/,https://maps.google.com/?cid=3704200538482217988,https://www.tripadvisor.com/Attraction_Review-g2533620-d4506486,https://untappd.com/w/daylesford-cider-company/15899,-37.3566482,144.2004847
83,Traditional Cider - Medium Sweet,🥈 SILVER,Borrodell Estate,The Last Laugh,New South Wales,85,2839,https://www.borrodell.com.au/,https://www.facebook.com/BorrodellVineyard/,https://www.instagram.com/borrodell_vineyard/,https://maps.google.com/?cid=9113164481963775697,https://www.tripadvisor.com/Attraction_Review-g255326-d4469466,https://untappd.com/w/borrodell-vineyard/42488,-33.3106024,149.0192701
84,Traditional Cider - Medium Sweet,🥈 SILVER,Kangaroo Island Ciders,Colony Cove Draught Cider,South Australia,85,2862,https://www.kangarooislandciders.com.au/,,,https://maps.google.com/?cid=7120331639179318476,,https://untappd.com/w/kangaroo-island-ciders/62318,-35.7852747,137.5522015
